gate,position_m,velocity_boundary_mps,strict_obstruction_boundary_excluded
information_boxes,0,180408473343757008437040866793642436050909111236654737/863900890098953202357239645154065520858159747942310689236,False
shifted_triples,0,1512475440078226221544344088079662048746925089785261672/25798732336841467109732913940485081225566689984741023457925,True
information_boxes,27755149745193385913390902583637297853986017113331498/13278507618805796150318880280777540620792105939232852852525,17860438861031943835267045812570601169040002012428818963/86390089009895320235723964515406552085815974794231068923600,False
shifted_triples,27755149745193385913390902583637297853986017113331498/13278507618805796150318880280777540620792105939232852852525,56552910501794071085447965470128669221272359337716923881156394823358675928251586043391252951145949589019542489976/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,55510299490386771826781805167274595707972034226662996/13278507618805796150318880280777540620792105939232852852525,8840015193844093413415002472888479366494546450596082113/43195044504947660117861982257703276042907987397115534461800,False
shifted_triples,55510299490386771826781805167274595707972034226662996/13278507618805796150318880280777540620792105939232852852525,54462244372928843416445143316030281219030006113366292251587867406594423328710126014880379660497260188195132288296/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,83265449235580157740172707750911893561958051339994494/13278507618805796150318880280777540620792105939232852852525,17499621914344429818392964078983316296938183789955509489/86390089009895320235723964515406552085815974794231068923600,False
shifted_triples,83265449235580157740172707750911893561958051339994494/13278507618805796150318880280777540620792105939232852852525,52371578244063615747442321161931893216787652889015660622019339989830170729168665986369506369848570787370722086616/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,111020598980773543653563610334549191415944068453325992/13278507618805796150318880280777540620792105939232852852525,1082450840062542050622245200761854616305454667419928422/5399380563118457514732747782212909505363498424639441807725,False
shifted_triples,111020598980773543653563610334549191415944068453325992/13278507618805796150318880280777540620792105939232852852525,50280912115198388078439499007833505214545299664665028992450812573065918129627205957858633079199881386546311884936/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,27755149745193385913390902583637297853986017113331498/2655701523761159230063776056155508124158421187846570570505,3427760993531383160303776469079206284967273113496440003/17278017801979064047144792903081310417163194958846213784720,False
shifted_triples,27755149745193385913390902583637297853986017113331498/2655701523761159230063776056155508124158421187846570570505,48190245986333160409436676853735117212302946440314397362882285156301665530085745929347759788551191985721901683256/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,166530898471160315480345415501823787123916102679988988/13278507618805796150318880280777540620792105939232852852525,8479198247156579396540920739301194494392728228122772639/43195044504947660117861982257703276042907987397115534461800,False
shifted_triples,166530898471160315480345415501823787123916102679988988/13278507618805796150318880280777540620792105939232852852525,46099579857467932740433854699636729210060593215963765733313757739537412930544285900836886497902502584897491481576/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,194286048216353701393736318085461084977902119793320486/13278507618805796150318880280777540620792105939232852852525,16777988020969401784644800611808746552734547345008890541/86390089009895320235723964515406552085815974794231068923600,False
shifted_triples,194286048216353701393736318085461084977902119793320486/13278507618805796150318880280777540620792105939232852852525,44008913728602705071431032545538341207818239991613134103745230322773160331002825872326013207253813184073081279896/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,222041197961547087307127220669098382831888136906651984/13278507618805796150318880280777540620792105939232852852525,4149394886906411194051939936253776029170909558443058951/21597522252473830058930991128851638021453993698557767230900,False
shifted_triples,222041197961547087307127220669098382831888136906651984/13278507618805796150318880280777540620792105939232852852525,41918247599737477402428210391439953205575886767262502474176702906008907731461365843815139916605123783248671078216/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,249796347706740473220518123252735680685874154019983482/13278507618805796150318880280777540620792105939232852852525,16417171074281887767770718878221461680632729122535581067/86390089009895320235723964515406552085815974794231068923600,False
shifted_triples,249796347706740473220518123252735680685874154019983482/13278507618805796150318880280777540620792105939232852852525,39827581470872249733425388237341565203333533542911870844608175489244655131919905815304266625956434382424260876536/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,55510299490386771826781805167274595707972034226662996/2655701523761159230063776056155508124158421187846570570505,1623676260093813075933367801142781924458182001129892633/8639008900989532023572396451540655208581597479423106892360,False
shifted_triples,55510299490386771826781805167274595707972034226662996/2655701523761159230063776056155508124158421187846570570505,37736915342007022064422566083243177201091180318561239215039648072480402532378445786793393335307744981599850674856/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,305306647197127245047299928420010276393846188246646478/13278507618805796150318880280777540620792105939232852852525,16056354127594373750896637144634176808530910900062271593/86390089009895320235723964515406552085815974794231068923600,False
shifted_triples,305306647197127245047299928420010276393846188246646478/13278507618805796150318880280777540620792105939232852852525,35646249213141794395419743929144789198848827094210607585471120655716149932836985758282520044659055580775440473176/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,333061796942320630960690831003647574247832205359977976/13278507618805796150318880280777540620792105939232852852525,1984493206781327092807449534730066796560000223603202107/10798761126236915029465495564425819010726996849278883615450,False
shifted_triples,333061796942320630960690831003647574247832205359977976/13278507618805796150318880280777540620792105939232852852525,33555583084276566726416921775046401196606473869859975955902593238951897333295525729771646754010366179951030271496/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,360816946687514016874081733587284872101818222473309474/13278507618805796150318880280777540620792105939232852852525,15695537180906859734022555411046891936429092677588962119/86390089009895320235723964515406552085815974794231068923600,False
shifted_triples,360816946687514016874081733587284872101818222473309474/13278507618805796150318880280777540620792105939232852852525,31464916955411339057414099620948013194364120645509344326334065822187644733754065701260773463361676779126620069816/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,388572096432707402787472636170922169955804239586640972/13278507618805796150318880280777540620792105939232852852525,7757564353781551362792757272126624750189091783176153691/43195044504947660117861982257703276042907987397115534461800,False
shifted_triples,388572096432707402787472636170922169955804239586640972/13278507618805796150318880280777540620792105939232852852525,29374250826546111388411277466849625192121767421158712696765538405423392134212605672749900172712987378302209868136/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,83265449235580157740172707750911893561958051339994494/2655701523761159230063776056155508124158421187846570570505,3066944046843869143429694735491921412865454891023130529/17278017801979064047144792903081310417163194958846213784720,False
shifted_triples,83265449235580157740172707750911893561958051339994494/2655701523761159230063776056155508124158421187846570570505,27283584697680883719408455312751237189879414196808081067197010988659139534671145644239026882064297977477799666456/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,444082395923094174614254441338196765663776273813303968/13278507618805796150318880280777540620792105939232852852525,3788577940218897177177858202666491157069091335969749477/21597522252473830058930991128851638021453993698557767230900,False
shifted_triples,444082395923094174614254441338196765663776273813303968/13278507618805796150318880280777540620792105939232852852525,25192918568815656050405633158652849187637060972457449437628483571894886935129685615728153591415608576653389464776/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,471837545668287560527645343921834063517762290926635466/13278507618805796150318880280777540620792105939232852852525,14973903287531831700274391943872322192225456232642343171/86390089009895320235723964515406552085815974794231068923600,False
shifted_triples,471837545668287560527645343921834063517762290926635466/13278507618805796150318880280777540620792105939232852852525,23102252439950428381402811004554461185394707748106817808059956155130634335588225587217280300766919175828979263096/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,499592695413480946441036246505471361371748308039966964/13278507618805796150318880280777540620792105939232852852525,7396747407094037345918675538539339878087273560702844217/43195044504947660117861982257703276042907987397115534461800,False
shifted_triples,499592695413480946441036246505471361371748308039966964/13278507618805796150318880280777540620792105939232852852525,21011586311085200712399988850456073183152354523756186178491428738366381736046765558706407010118229775004569061416/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,527347845158674332354427149089108659225734325153298462/13278507618805796150318880280777540620792105939232852852525,14613086340844317683400310210285037320123638010169033697/86390089009895320235723964515406552085815974794231068923600,False
shifted_triples,527347845158674332354427149089108659225734325153298462/13278507618805796150318880280777540620792105939232852852525,18920920182219973043397166696357685180910001299405554548922901321602129136505305530195533719469540374180158859736/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,111020598980773543653563610334549191415944068453325992/2655701523761159230063776056155508124158421187846570570505,180408473343757008437040866793642436050909111236654737/1079876112623691502946549556442581901072699684927888361545,False
shifted_triples,111020598980773543653563610334549191415944068453325992/2655701523761159230063776056155508124158421187846570570505,16830254053354745374394344542259297178667648075054922919354373904837876536963845501684660428820850973355748658056/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,582858144649061104181208954256383254933706359379961458/13278507618805796150318880280777540620792105939232852852525,14252269394156803666526228476697752448021819787695724223/86390089009895320235723964515406552085815974794231068923600,False
shifted_triples,582858144649061104181208954256383254933706359379961458/13278507618805796150318880280777540620792105939232852852525,14739587924489517705391522388160909176425294850704291289785846488073623937422385473173787138172161572531338456376/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,610613294394254490094599856840020552787692376493292956/13278507618805796150318880280777540620792105939232852852525,7035930460406523329044593804952055005985455338229534743/43195044504947660117861982257703276042907987397115534461800,False
shifted_triples,610613294394254490094599856840020552787692376493292956/13278507618805796150318880280777540620792105939232852852525,12648921795624290036388700234062521174182941626353659660217319071309371337880925444662913847523472171706928254696/1000300498559620176243055491892344102228482591246829488391850988048397296453308316990044836846567615044251064657131025,True
information_boxes,27755149745193385913390902583637297853986017113331498/577326418208947658709516533946849592208352432140558819675,13891452447469289649652146743110467575920001565222414749/86390089009895320235723964515406552085815974794231068923600,False
