stratum,method,candidate_status,comparator_status,count
interior_pair,mean_shortcut,certified_common_prefix,revalidated,192
interior_pair,pairwise_shortcut,certified_common_prefix,not_applicable,192
interior_pair,predictive,certified_common_prefix,uncertified_information_or_terminal_bound,192
interior_pair,barrier,certified_common_prefix,uncertified_information,192
radial_boundary,mean_shortcut,certified_common_prefix,confirmed_false_safe,26
radial_boundary,mean_shortcut,certified_common_prefix,revalidated,164
radial_boundary,mean_shortcut,proved_no_common_held_command,confirmed_false_safe,2
radial_boundary,pairwise_shortcut,certified_common_prefix,not_applicable,190
radial_boundary,pairwise_shortcut,proved_no_common_held_command,not_applicable,2
radial_boundary,predictive,certified_common_prefix,uncertified_information_or_terminal_bound,190
radial_boundary,predictive,proved_no_common_held_command,uncertified_information_or_terminal_bound,2
radial_boundary,barrier,certified_common_prefix,uncertified_information,190
radial_boundary,barrier,proved_no_common_held_command,uncertified_information,2
three_face_boundary,mean_shortcut,certified_common_prefix,confirmed_false_safe,27
three_face_boundary,mean_shortcut,certified_common_prefix,revalidated,127
three_face_boundary,mean_shortcut,proved_no_common_held_command,confirmed_false_safe,29
three_face_boundary,mean_shortcut,unresolved,confirmed_false_safe,9
three_face_boundary,pairwise_shortcut,certified_common_prefix,admits_pairwise,154
three_face_boundary,pairwise_shortcut,proved_no_common_held_command,admits_pairwise,22
three_face_boundary,pairwise_shortcut,proved_no_common_held_command,does_not_admit,7
three_face_boundary,pairwise_shortcut,unresolved,admits_pairwise,5
three_face_boundary,pairwise_shortcut,unresolved,does_not_admit,4
three_face_boundary,predictive,certified_common_prefix,uncertified_information_or_terminal_bound,154
three_face_boundary,predictive,proved_no_common_held_command,uncertified_information_or_terminal_bound,29
three_face_boundary,predictive,unresolved,uncertified_information_or_terminal_bound,9
three_face_boundary,barrier,certified_common_prefix,uncertified_information,154
three_face_boundary,barrier,proved_no_common_held_command,uncertified_information,29
three_face_boundary,barrier,unresolved,uncertified_information,9
timing_bounded_pair,mean_shortcut,certified_common_prefix,revalidated,189
timing_bounded_pair,mean_shortcut,unresolved_budget,unresolved,3
timing_bounded_pair,pairwise_shortcut,certified_common_prefix,not_applicable,189
timing_bounded_pair,pairwise_shortcut,unresolved_budget,not_applicable,3
timing_bounded_pair,predictive,certified_common_prefix,uncertified_information_or_terminal_bound,189
timing_bounded_pair,predictive,unresolved_budget,uncertified_information_or_terminal_bound,3
timing_bounded_pair,barrier,certified_common_prefix,uncertified_information,189
timing_bounded_pair,barrier,unresolved_budget,uncertified_information,3
