stratum,baseline,candidate_delivered_diagnostic,native_baseline_protected,count
interior_pair,predictive,0,0,0
interior_pair,predictive,0,1,0
interior_pair,predictive,1,0,192
interior_pair,predictive,1,1,0
interior_pair,predictive,0,missing,0
interior_pair,predictive,1,missing,0
interior_pair,barrier,0,0,0
interior_pair,barrier,0,1,0
interior_pair,barrier,1,0,192
interior_pair,barrier,1,1,0
interior_pair,barrier,0,missing,0
interior_pair,barrier,1,missing,0
radial_boundary,predictive,0,0,0
radial_boundary,predictive,0,1,0
radial_boundary,predictive,1,0,192
radial_boundary,predictive,1,1,0
radial_boundary,predictive,0,missing,0
radial_boundary,predictive,1,missing,0
radial_boundary,barrier,0,0,0
radial_boundary,barrier,0,1,0
radial_boundary,barrier,1,0,192
radial_boundary,barrier,1,1,0
radial_boundary,barrier,0,missing,0
radial_boundary,barrier,1,missing,0
three_face_boundary,predictive,0,0,9
three_face_boundary,predictive,0,1,0
three_face_boundary,predictive,1,0,183
three_face_boundary,predictive,1,1,0
three_face_boundary,predictive,0,missing,0
three_face_boundary,predictive,1,missing,0
three_face_boundary,barrier,0,0,9
three_face_boundary,barrier,0,1,0
three_face_boundary,barrier,1,0,183
three_face_boundary,barrier,1,1,0
three_face_boundary,barrier,0,missing,0
three_face_boundary,barrier,1,missing,0
timing_bounded_pair,predictive,0,0,3
timing_bounded_pair,predictive,0,1,0
timing_bounded_pair,predictive,1,0,189
timing_bounded_pair,predictive,1,1,0
timing_bounded_pair,predictive,0,missing,0
timing_bounded_pair,predictive,1,missing,0
timing_bounded_pair,barrier,0,0,3
timing_bounded_pair,barrier,0,1,0
timing_bounded_pair,barrier,1,0,189
timing_bounded_pair,barrier,1,1,0
timing_bounded_pair,barrier,0,missing,0
timing_bounded_pair,barrier,1,missing,0
