time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,-6.988,-6.9879999999999995,-70.0,-70.0,-0.02,-0.019999999999999997,0.0,0.0
0.25,-6.992375838448766,-6.992375838448761,-69.99999870347564,-69.99999870347558,-0.015006707356729796,-0.015006707356725924,9.901424704437246e-06,9.90142470443851e-06
0.5,-6.995503353578322,-6.995503353578313,-69.99999528467293,-69.99999528467282,-0.010013413512900467,-0.010013413512892727,1.6978226693507474e-05,1.697822669351223e-05
0.75,-6.9973825451384615,-6.9973825451384455,-69.99999044974763,-69.99999044974746,-0.005020118867969491,-0.005020118867957886,2.1230405388679743e-05,2.1230405388690202e-05
1.0,-6.998013412978841,-6.998013412978818,-69.9999849048556,-69.99998490485537,-2.682382139553887e-05,-2.6823821380072062e-05,2.2657960437390588e-05,2.265796043740896e-05
1.25,-6.99797955885633,-6.997979558856299,-69.9997477823434,-69.99974778234312,0.0002978313799499347,0.0002978313799692552,0.0018742915286119963,0.001874291528612028
1.5,-6.997864410000725,-6.997864410000685,-69.99904777442036,-69.99904777442002,0.0006235340390275785,0.0006235340390507529,0.003725741148485121,0.003725741148485169
1.75,-6.997667704550847,-6.997667704550797,-69.99788492714761,-69.99788492714721,0.0009502841297768609,0.0009502841298038892,0.005577006227533491,0.005577006227533559
2.0,-6.997389180652045,-6.997389180651985,-69.99625928673443,-69.99625928673397,0.001278081626052985,0.0012780816260838676,0.0074280861732485964,0.007428086173248687
2.25,-6.997029649834775,-6.997029649834703,-69.9941736310659,-69.9941736310654,0.0015983374128192497,0.001598337412853987,0.009257128981295703,0.00925712898129582
2.5,-6.996589925696362,-6.996589925696278,-69.99163073736518,-69.99163073736462,0.0019196281909070298,0.0019196281909456213,0.011085990333237788,0.011085990333237936
2.75,-6.99606974949219,-6.996069749492092,-69.98863065106947,-69.98863065106885,0.002241953934608557,0.0022419539346510034,0.012914669643603539,0.012914669643603717
3.0,-6.995468862484077,-6.995468862483963,-69.98517341776235,-69.98517341776167,0.0025653146181343076,0.0025653146181806095,0.014743166326936199,0.014743166326936414
3.25,-6.994788057016074,-6.994788057015945,-69.98126177679745,-69.98126177679671,0.002881299577655722,0.002881299577705879,0.016549931601261097,0.016549931601261354
3.5,-6.99402812747043,-6.994028127470284,-69.97689846688151,-69.97689846688071,0.003198307235043732,0.0031983072350977447,0.01835651783888887,0.018356517838889173
3.75,-6.993188818175847,-6.993188818175684,-69.972083532846,-69.97208353284515,0.0035163375649341173,0.0035163375649919855,0.02016292446130233,0.02016292446130268
4.0,-6.992269873467379,-6.992269873467197,-69.96681701966705,-69.96681701966614,0.003835390541880482,0.0038353905419422057,0.021969150889998647,0.02196915088999905
4.25,-6.991272068827682,-6.99127206882748,-69.96110163365687,-69.9611016336559,0.004147215003221994,0.004147215003287574,0.023753907792695515,0.023753907792695973
4.5,-6.990196181753058,-6.990196181752836,-69.95494008049407,-69.95494008049305,0.004460050017128059,0.004460050017197496,0.02553848801565001,0.025538488015650524
4.75,-6.989041959608493,-6.98904195960825,-69.94833240442004,-69.94833240441896,0.004773895558567394,0.004773895558640689,0.02732289098721526,0.02732289098721583
5.0,-6.987809149765242,-6.987809149764977,-69.9412786498191,-69.94127864981796,0.0050887516024289755,0.005088751602506127,0.029107116135758566,0.029107116135759194
5.25,-6.986498512854881,-6.986498512854593,-69.93378149471745,-69.93378149471626,0.005396510104847019,0.005396510104928028,0.03087009566195512,0.03087009566195581
5.5,-6.985110811501661,-6.9851108115013485,-69.92584361651953,-69.92584361651828,0.005705267141193316,0.005705267141278182,0.032632900811849004,0.032632900811849774
5.75,-6.983645796075186,-6.983645796074848,-69.91746505889002,-69.91746505888871,0.006015022686762706,0.006015022686851429,0.03439553102059202,0.03439553102059287
6.0,-6.982103216951247,-6.9821032169508825,-69.9086458656348,-69.90864586563343,0.006325776716771245,0.006325776716863825,0.03615798572334995,0.03615798572335088
6.25,-6.980483821646688,-6.980483821646296,-69.89938869061045,-69.89938869060903,0.006629550158970262,0.0066295501590667005,0.03789938583175065,0.03789938583175166
6.5,-6.978788359653152,-6.978788359652732,-69.8896961870622,-69.88969618706072,0.006934310224529338,0.006934310224629633,0.03964061382149485,0.039640613821495946
6.75,-6.9770165843178455,-6.977016584317396,-69.87956839808949,-69.87956839808795,0.007240056889063968,0.007240056889168121,0.04138166913447188,0.04138166913447307
7.0,-6.9751682489940805,-6.975168248993602,-69.86900536693126,-69.86900536692967,0.00754679012810987,0.007546790128217881,0.04312255121258489,0.04312255121258617
7.25,-6.973244089586534,-6.973244089586024,-69.85800972683509,-69.85800972683344,0.007846647601743636,0.007846647601855508,0.044842541286315964,0.04484254128631734
7.5,-6.971244843959481,-6.97124484395894,-69.84658411044651,-69.84658411044481,0.008147479880149633,0.008147479880265365,0.04656236145992677,0.04656236145992824
7.75,-6.969170268414738,-6.969170268414163,-69.83472856030949,-69.83472856030772,0.008449286939257047,0.008449286939376641,0.048282011181992136,0.048282011181993705
8.0,-6.967020119260144,-6.967020119259535,-69.82244311910583,-69.82244311910401,0.008752068754917646,0.0087520687550411,0.050001489901100545,0.05000148990110221
8.25,-6.964795122083097,-6.964795122082454,-69.80973040255184,-69.80973040254996,0.00904806917415559,0.009048069174282908,0.05170021462400432,0.05170021462400609
8.5,-6.962496004417715,-6.962496004417035,-69.79659302577014,-69.7965930257682,0.009345032657651348,0.00934503265778253,0.053398771631975275,0.053398771631977156
8.75,-6.960122525500901,-6.960122525500184,-69.78303103075756,-69.78303103075557,0.009642959181644244,0.009642959181779287,0.05509716038022959,0.05509716038023158
9.0,-6.957674444575508,-6.957674444574754,-69.76904445964712,-69.76904445964507,0.009941848722296106,0.00994184872243501,0.056795380323996905,0.05679538032399901
9.25,-6.955152478028899,-6.955152478028107,-69.75463591328204,-69.75463591327994,0.010234042217504844,0.01023404221764761,0.05847296304865447,0.058472963048656686
