time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,7.9990499999999995,7.99905,-80.0,-80.0,0.0009999999999999998,0.001,0.0,0.0
0.25,7.998832209878662,7.998832209878667,-79.99999998250343,-79.99999998250337,-0.0027423209590662807,-0.0027423209590662742,4.928009615291032e-07,4.928009615291083e-07
0.5,7.997678839538745,7.997678839538753,-79.99999957718553,-79.99999957718542,-0.006484641698748515,-0.006484641698748499,3.1025704452188754e-06,3.1025704452188932e-06
0.75,7.995589889072515,7.9955898890725265,-79.99999825480423,-79.99999825480405,-0.010226961919663265,-0.010226961919663238,7.829308242289306e-06,7.82930824228935e-06
1.0,7.992565358647089,7.992565358647104,-79.99999548611747,-79.99999548611724,-0.013969281322427137,-0.013969281322427099,1.4673013974604177e-05,1.4673013974604258e-05
1.25,7.989036540353667,7.989036540353686,-79.9997024693432,-79.99970246934292,-0.014261047347430184,-0.014261047347430139,0.0023294886882251663,0.0023294886882251724
1.5,7.9854349438130905,7.985434943813113,-79.99883072805027,-79.99883072804992,-0.014551507295788971,-0.01455150729578892,0.004644469040239607,0.004644469040239621
1.75,7.981760895547426,7.981760895547452,-79.99738022116156,-79.99738022116117,-0.014840661144266876,-0.014840661144266815,0.006959613331185569,0.006959613331185591
2.0,7.978014722084538,7.978014722084567,-79.99535090778473,-79.99535090778427,-0.015128508869731761,-0.015128508869731692,0.009274920822217578,0.00927492082221761
2.25,7.974196506945411,7.974196506945444,-79.9927463792817,-79.99274637928119,-0.015416997289840405,-0.015416997289840329,0.01156133440112548,0.011561334401125525
2.5,7.97030633091729,7.970306330917326,-79.98957022701521,-79.98957022701464,-0.01570419597784637,-0.01570419597784628,0.013847910808333726,0.013847910808333783
2.75,7.966344516436075,7.966344516436115,-79.98582241036937,-79.98582241036874,-0.01599010491077393,-0.015990104910773826,0.016134649314255865,0.016134649314255938
3.0,7.962311385943396,7.96231138594344,-79.98150288891071,-79.98150288891003,-0.016274724065750538,-0.01627472406575042,0.01842154918929248,0.01842154918929257
3.25,7.958207031371728,7.958207031371775,-79.97661520121375,-79.97661520121301,-0.016559900238228,-0.016559900238227867,0.020679979273240695,0.020679979273240803
3.5,7.954031541959902,7.954031541959953,-79.97116288586089,-79.9711628858601,-0.016843802783223394,-0.016843802783223248,0.02293857031636104,0.022938570316361165
3.75,7.94978523611763,7.949785236117684,-79.9651459027024,-79.96514590270155,-0.01712643167802469,-0.017126431678024526,0.025197321598177252,0.025197321598177398
4.0,7.945468432260287,7.945468432260345,-79.95856421176867,-79.95856421176777,-0.01740778690002174,-0.017407786900021562,0.027456232398200258,0.02745623239820042
4.25,7.941081230038114,7.941081230038176,-79.9514213062109,-79.95142130620994,-0.017689621257644,-0.017689621257643808,0.0296870386357092,0.02968703863570938
4.5,7.936623726442251,7.936623726442316,-79.94372067919477,-79.94372067919375,-0.017970197885798737,-0.017970197885798532,0.031918003946477924,0.03191800394647814
4.75,7.9320962359078715,7.93209623590794,-79.9354622910409,-79.93546229103983,-0.018249516762039987,-0.01824951676203977,0.0341491276190235,0.03414912761902375
5.0,7.927499072875749,7.927499072875821,-79.9266461022478,-79.92664610224666,-0.01852757786402241,-0.018527577864022173,0.036380408941850316,0.0363804089418506
5.25,7.922832344116252,7.922832344116327,-79.91727556692086,-79.91727556691967,-0.018806045212259488,-0.01880604521225924,0.03858389992792353,0.03858389992792385
5.5,7.918096153770383,7.918096153770462,-79.90735413918614,-79.90735413918489,-0.019083270551289305,-0.019083270551289038,0.0407875480870418,0.040787548087042144
5.75,7.913290812343219,7.913290812343302,-79.8968817798382,-79.89688177983689,-0.019359253858933997,-0.019359253858933712,0.042991352716614945,0.04299135271661532
6.0,7.908416630345368,7.908416630345455,-79.88585844984723,-79.88585844984587,-0.01963399511311506,-0.019633995113114762,0.04519531311404027,0.04519531311404068
6.25,7.903473721152863,7.903473721152954,-79.87428756979246,-79.87428756979104,-0.01990907402178366,-0.019909074021783348,0.047371753258972915,0.04737175325897336
6.5,7.89846219553795,7.898462195538045,-79.86217256027942,-79.86217256027794,-0.020182926488721387,-0.020182926488721057,0.04954834866456996,0.04954834866457044
6.75,7.893382360113802,7.8933823601139,-79.84951338257966,-79.84951338257812,-0.0204555524920202,-0.020455552492019857,0.05172509863704758,0.051725098637048085
7.0,7.888234521499057,7.888234521499159,-79.83630999813819,-79.8363099981366,-0.020726952009870184,-0.020726952009869827,0.053902002482609554,0.053902002482610095
7.25,7.883018799232921,7.883018799233027,-79.82256579878165,-79.82256579878,-0.020998624286771968,-0.020998624286771597,0.0560516179833178,0.05605161798331837
7.5,7.877735310272787,7.8777353102728975,-79.80828417636842,-79.80828417636671,-0.021269085558231527,-0.021269085558231142,0.05820138682198167,0.058201386821982275
7.75,7.872384357372725,7.872384357372838,-79.79346509264964,-79.79346509264788,-0.02153833580261212,-0.021538335802611722,0.06035130831354946,0.060351308313550095
8.0,7.866966243292196,7.866966243292314,-79.77810850954772,-79.7781085095459,-0.02180637499837389,-0.021806374998373478,0.06250138177295722,0.06250138177295791
