time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,7.9990499999999995,7.99905,-80.0,-80.0,0.0009999999999999998,0.001,0.0,0.0
0.25,7.9988322099341795,7.998832209934185,-79.99999998251477,-79.99999998251471,-0.0027423205149394647,-0.002742320514934642,4.927101981830731e-07,4.927101981845938e-07
0.5,7.9976788397608045,7.997678839760815,-79.99999957723094,-79.99999957723082,-0.006484640810545304,-0.0064846408105356575,3.1023886750713988e-06,3.102388675077212e-06
0.75,7.9955898895721305,7.995589889572147,-79.99999825490647,-79.9999982549063,-0.01022696058743144,-0.010226960587416966,7.82903523251398e-06,7.829035232526854e-06
1.0,7.992565359535261,7.992565359535285,-79.9999954862994,-79.99999548629917,-0.01396927954621213,-0.013969279546192828,1.4672649503002796e-05,1.4672649503025511e-05
1.25,7.989036541740171,7.989036541740204,-79.99970246962732,-79.99970246962704,-0.014261045137001537,-0.01426104513697741,0.002329488235119031,0.002329488235119072
1.5,7.985434945806474,7.985434945806516,-79.99883072845876,-79.99883072845842,-0.014551504651194992,-0.014551504651166041,0.004644468498294375,0.004644468498294439
1.75,7.981760898256223,7.981760898256277,-79.99738022171667,-79.99738022171627,-0.014840658065562142,-0.014840658065528369,0.006959612700198184,0.006959612700198275
2.0,7.978014725617268,7.978014725617335,-79.99535090850873,-79.99535090850827,-0.015128505356977077,-0.015128505356938481,0.009274920101986488,0.009274920101986609
2.25,7.974196511399263,7.974196511399343,-79.99274638019448,-79.99274638019396,-0.015416993433631006,-0.015416993433587586,0.011561333611016099,0.011561333611016255
2.5,7.97030633637812,7.970306336378215,-79.98957022813426,-79.98957022813369,-0.015704191778244544,-0.015704191778196295,0.013847909948198713,0.013847909948198907
2.75,7.966344522989722,7.966344522989833,-79.98582241171222,-79.9858224117116,-0.015990100367848526,-0.015990100367795447,0.016134648383949367,0.01613464838394961
3.0,7.962311393675682,7.962311393675811,-79.98150289049492,-79.98150289049424,-0.016274719179577436,-0.016274719179519524,0.01842154818867014,0.018421548188670436
3.25,7.958207040358689,7.958207040358836,-79.97661520305486,-79.97661520305412,-0.016559895087019952,-0.016559895086957207,0.020679978218584708,0.020679978218585054
3.5,7.954031552267786,7.954031552267953,-79.97116288797243,-79.97116288797163,-0.016843797367058655,-0.01684379736699108,0.022938569207574217,0.02293856920757462
3.75,7.949785247812665,7.949785247812853,-79.96514590509791,-79.96514590509706,-0.017126425996988152,-0.017126425996915745,0.025197320435163893,0.025197320435164355
4.0,7.9454684454086815,7.945468445408892,-79.95856421446173,-79.95856421446082,-0.01740778095420451,-0.01740778095412727,0.027456231180866132,0.027456231180866656
4.25,7.941081244697909,7.941081244698143,-79.95142130921336,-79.95142130921239,-0.01768961511227359,-0.017689615112191515,0.029687037377787873,0.02968703737778846
4.5,7.936623742663322,7.936623742663581,-79.94372068251678,-79.94372068251576,-0.017970191540970418,-0.01797019154088351,0.031918002647914966,0.03191800264791563
4.75,7.932096253740071,7.932096253740356,-79.93546229469264,-79.93546229469156,-0.018249510217855924,-0.01824951021776419,0.03414912627976594,0.03414912627976669
5.0,7.927499092368904,7.9274990923692155,-79.92664610623943,-79.9266461062383,-0.018527571120590614,-0.01852757112049405,0.036380407561846656,0.03638040756184749
5.25,7.922832365312978,7.922832365313318,-79.91727557126116,-79.91727557125996,-0.018806038327141745,-0.01880603832704035,0.03858389851863826,0.03858389851863918
5.5,7.918096176706087,7.918096176706458,-79.90735414388242,-79.90735414388116,-0.0190832635245988,-0.019083263524492577,0.04078754664845884,0.04078754664845985
5.75,7.91329083705328,7.913290837053681,-79.89688178489777,-79.89688178489646,-0.019359246690790536,-0.01935924669067948,0.042991351248719674,0.04299135124872078
6.0,7.908416656865134,7.908416656865567,-79.88585845527746,-79.8858584552761,-0.01963398780364439,-0.019633987803528503,0.045195311616819514,0.045195311616820714
6.25,7.903473749512677,7.903473749513143,-79.8742875755995,-79.87428757559807,-0.019909066610897277,-0.01990906661077656,0.047371751741653735,0.04737175174165503
6.5,7.898462225763149,7.898462225763649,-79.86217256646829,-79.86217256646681,-0.020182918976551854,-0.02018291897642631,0.04954834712716459,0.04954834712716599
6.75,7.8933823922296895,7.893382392230225,-79.84951338915539,-79.84951338915386,-0.020455544878706256,-0.020455544878575878,0.05172509707956968,0.051725097079571195
7.0,7.888234555530901,7.888234555531474,-79.8363100051058,-79.83631000510421,-0.02072694429555574,-0.02072694429542053,0.05390200090507425,0.053902000905075874
7.25,7.883018835201833,7.883018835202444,-79.8225658061452,-79.82256580614356,-0.0209986165045682,-0.020998616504428157,0.056051616393308516,0.05605161639331025
7.5,7.8777353481957215,7.877735348196372,-79.80828418413104,-79.80828418412933,-0.02126907770829019,-0.021269077708145314,0.05820138521953504,0.05820138521953689
7.75,7.872384397266595,7.872384397267285,-79.79346510081442,-79.79346510081265,-0.021538327885090244,-0.021538327884940534,0.06035130669870354,0.060351306698705504
8.0,7.866966285173878,7.86696628517461,-79.77810851811775,-79.77810851811593,-0.02180636701343465,-0.021806367013280106,0.0625013801457515,0.06250138014575363
8.25,7.861481137235678,7.861481137236454,-79.76221780323979,-79.76221780323792,-0.02207461721367962,-0.022074617213520248,0.06462436416885867,0.06462436416886094
8.5,7.85592907620716,7.855929076207979,-79.74579632341616,-79.74579632341423,-0.022341671732419095,-0.022341671732254893,0.06674749959852432,0.06674749959852674
8.75,7.850310401011371,7.850310401012235,-79.72884404087974,-79.72884404087775,-0.02260753054829404,-0.022607530548125004,0.06887078575836662,0.06887078575836922
9.0,7.844625410576687,7.844625410577597,-79.71136091803254,-79.7113609180305,-0.022872193640041664,-0.022872193639867797,0.07099422197199172,0.07099422197199448
