case,information,role,plant,arm,physical_status,hold,overrides,changed_commands,geometry_checks,geometry_rejections,numerical_rejections,first_exit_lower_s,first_exit_upper_s,min_separation_lower_m,min_separation_upper_m,sampled_minimum_m,control_effort_mps,decision_cpu_s,decision_wall_max_s,fault_packet_dispositions,ambiguous_intervals
estimated_bias,estimator,estimator_mechanism,hcw,controlled_in_band,validated_violation,satisfied,0,0,300,0,0,98.235595703125,98.23583984375,24.0210845482655,24.021637396680426,24.02167917901848,2.5340312125474305,1.395119999999892,0.005655708024278283,"{""innovation_rejected"": 30}",1
estimated_bias,estimator,estimator_mechanism,hcw,controlled_union,validated_violation,satisfied,45,45,300,45,0,98.235595703125,98.23583984375,24.022208768043345,24.02273742194228,24.022793858911488,2.5299143454651314,1.4668690000000453,0.005775958998128772,"{""innovation_rejected"": 30}",1
estimated_bias,estimator,estimator_mechanism,hcw,no_gate,validated_violation,satisfied,0,0,0,0,0,98.235595703125,98.23583984375,24.0210845482655,24.021637396680426,24.02167917901848,2.5340312125474305,0.002902999999925271,1.8499908037483692e-05,"{""innovation_rejected"": 30}",1
estimated_bias,estimator,estimator_mechanism,hcw,original_gate,validated_violation,satisfied,0,0,300,0,0,98.235595703125,98.23583984375,24.0210845482655,24.021637396680426,24.02167917901848,2.5340312125474305,1.9660670000000593,0.018375208019278944,"{""innovation_rejected"": 30}",1
estimated_bias,estimator,estimator_mechanism,nonlinear,controlled_in_band,validated_violation,satisfied,0,0,300,0,0,98.235595703125,98.23583984375,24.021085979916673,24.02163883167292,24.021680609258926,2.5340189456330213,1.424916999999823,0.006005458068102598,"{""innovation_rejected"": 30}",1
estimated_bias,estimator,estimator_mechanism,nonlinear,controlled_union,validated_violation,satisfied,45,45,300,45,0,98.235595703125,98.23583984375,24.022210205727713,24.022738863057036,24.02279529651927,2.5299143454651314,1.480830999999995,0.0065232909983024,"{""innovation_rejected"": 30}",1
estimated_bias,estimator,estimator_mechanism,nonlinear,no_gate,validated_violation,satisfied,0,0,0,0,0,98.235595703125,98.23583984375,24.021085979916673,24.02163883167292,24.021680609258926,2.5340189456330213,0.003201000000046861,1.895800232887268e-05,"{""innovation_rejected"": 30}",1
estimated_bias,estimator,estimator_mechanism,nonlinear,original_gate,validated_violation,satisfied,0,0,300,0,0,98.235595703125,98.23583984375,24.021085979916673,24.02163883167292,24.021680609258926,2.5340189456330213,1.9247809999999674,0.023947666981257498,"{""innovation_rejected"": 30}",1
estimated_dropout,estimator,estimator_mechanism,hcw,controlled_in_band,validated_violation,satisfied,0,0,300,0,0,98.235595703125,98.23583984375,24.021326922041606,24.021876479924593,24.021919198767716,2.536852023325712,1.4143880000000308,0.005750457989051938,"{""dropout"": 6}",1
estimated_dropout,estimator,estimator_mechanism,hcw,controlled_union,validated_violation,satisfied,45,45,300,45,0,98.235595703125,98.23583984375,24.022208768043345,24.02273742194228,24.022793858911488,2.5301773561818144,1.4907930000000107,0.011585208936594427,"{""dropout"": 6}",1
estimated_dropout,estimator,estimator_mechanism,hcw,no_gate,validated_violation,satisfied,0,0,0,0,0,98.235595703125,98.23583984375,24.021326922041606,24.021876479924593,24.021919198767716,2.536852023325712,0.0028040000001539056,1.950003206729889e-05,"{""dropout"": 6}",1
estimated_dropout,estimator,estimator_mechanism,hcw,original_gate,validated_violation,satisfied,0,0,300,0,0,98.235595703125,98.23583984375,24.021326922041606,24.021876479924593,24.021919198767716,2.536852023325712,1.909775000000053,0.021748124971054494,"{""dropout"": 6}",1
estimated_dropout,estimator,estimator_mechanism,nonlinear,controlled_in_band,validated_violation,satisfied,0,0,300,0,0,98.235595703125,98.23583984375,24.021328355102835,24.02187791636472,24.021920630921667,2.536852023325712,1.4064619999998058,0.005878709023818374,"{""dropout"": 6}",1
