time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,0.0,0.0,-97.5,-97.5,0.0,0.0,0.12,0.12
0.25,4.10179113148159e-06,4.101791131481611e-06,-97.46939893336881,-97.46939893336875,3.326768057514015e-05,3.3267680575140276e-05,0.12480852991331413,0.1248085299133142
0.5,-5.482925052520092e-07,-5.48292505251902e-07,-97.43758233575353,-97.43758233575342,-7.000489258390661e-05,-7.000489258390615e-05,0.12972426074571544,0.12972426074571564
0.75,-3.8103099971518955e-05,-3.810309997151859e-05,-97.40453484706536,-97.4045348470652,-0.00022996863773617446,-0.00022996863773617343,0.1346556638413428,0.13465566384134312
1.0,-8.625634831888477e-05,-8.625634831888399e-05,-97.37024193097359,-97.37024193097336,-0.00015478293756566048,-0.0001547829375656589,0.13968765780447015,0.13968765780447057
1.25,-0.00014602500823747509,-0.00014602500823747368,-97.33468705919724,-97.33468705919695,-0.00032288894531043623,-0.0003228889453104338,0.14475133225568,0.14475133225568054
1.5,-0.000227978047609276,-0.0002279780476092737,-97.29787664893368,-97.29787664893334,-0.00033226580730371963,-0.0003322658073037166,0.14973195073703313,0.1497319507370338
1.75,-0.0003403873939296603,-0.0003403873939296568,-97.25979806574726,-97.25979806574686,-0.0005665220423465378,-0.0005665220423465335,0.1548967368403643,0.1548967368403651
2.0,-0.0004895483251514237,-0.0004895483251514184,-97.22042320426878,-97.22042320426833,-0.0006262746610521918,-0.0006262746610521864,0.16010216062116522,0.1601021606211661
2.25,-0.0006483234660969164,-0.000648323466096909,-97.1797615003304,-97.17976150032989,-0.0006434466687686649,-0.0006434466687686584,0.16519147250510996,0.16519147250511096
2.5,-0.0008107096098150775,-0.0008107096098150678,-97.13786402293854,-97.13786402293798,-0.0006551902549010158,-0.0006551902549010082,0.1699883477371959,0.169988347737197
2.75,-0.0009696717061150435,-0.000969671706115031,-97.09473456820207,-97.09473456820145,-0.0006160295813837631,-0.0006160295813837543,0.1750472864626842,0.17504728646268541
3.0,-0.0011454532869295245,-0.0011454532869295086,-97.05034309097184,-97.05034309097115,-0.0007897481774683949,-0.0007897481774683846,0.1800845477577488,0.18008454775775012
3.25,-0.0013588387352147177,-0.001358838735214698,-97.00471783619878,-97.00471783619804,-0.0009168797893093474,-0.0009168797893093356,0.1849175024129544,0.18491750241295585
3.5,-0.0016035750031875462,-0.0016035750031875222,-96.95788815831024,-96.95788815830944,-0.0010405576178723617,-0.0010405576178723478,0.18971993235602014,0.1897199323560217
3.75,-0.001887031423047874,-0.001887031423047845,-96.90982773852514,-96.90982773852429,-0.0012266182813383127,-0.0012266182813382967,0.19476344346692487,0.19476344346692656
4.0,-0.0022025196433316714,-0.002202519643331636,-96.86051916889811,-96.8605191688972,-0.0012968216273897704,-0.0012968216273897522,0.19970512016831576,0.19970512016831757
4.25,-0.0025153841923407894,-0.002515384192340747,-96.80996048147738,-96.80996048147641,-0.001205617825804686,-0.001205617825804666,0.20476437059906263,0.20476437059906455
4.5,-0.0028566874997713225,-0.0028566874997712727,-96.75815639672047,-96.75815639671944,-0.0015243463395279734,-0.0015243463395279507,0.20966833750630495,0.20966833750630698
4.75,-0.0032236650518897166,-0.0032236650518896585,-96.70510475843872,-96.70510475843764,-0.001410995528389893,-0.0014109955283898678,0.21474475806105195,0.2147447580610541
5.0,-0.0035628187855644812,-0.0035628187855644144,-96.65077718823953,-96.6507771882384,-0.0013017506384307546,-0.001301750638430727,0.21987579323306963,0.21987579323307188
5.25,-0.0038729661974133125,-0.0038729661974132366,-96.5951909730478,-96.59519097304661,-0.0011789631369616919,-0.0011789631369616617,0.22481391672442252,0.22481391672442488
5.5,-0.0041689641106890584,-0.004168964110688971,-96.53834995990638,-96.53834995990513,-0.0011885393600756218,-0.0011885393600755893,0.2299141893100536,0.22991418931005608
5.75,-0.004496557845612876,-0.004496557845612776,-96.48023888976365,-96.48023888976235,-0.0014317334927532897,-0.0014317334927532544,0.23497439476046594,0.23497439476046855
6.0,-0.0048441248253163205,-0.004844124825316209,-96.42085811520958,-96.42085811520822,-0.0013483218148753497,-0.0013483218148753117,0.24007179380828142,0.24007179380828414
6.25,-0.005183792035489146,-0.00518379203548902,-96.3602100381737,-96.36021003817228,-0.0013685406496950659,-0.0013685406496950253,0.24511282438526655,0.24511282438526938
6.5,-0.005543995477617885,-0.005543995477617744,-96.29828706100291,-96.29828706100143,-0.0015126006286905096,-0.0015126006286904662,0.250271006563331,0.25027100656333406
6.75,-0.00593953635720083,-0.005939536357200675,-96.23505802704513,-96.23505802704359,-0.0016512277015181761,-0.0016512277015181297,0.2555612781690343,0.2555612781690376
7.0,-0.006362382860080994,-0.006362382860080822,-96.17057377864403,-96.17057377864244,-0.0017310964209304913,-0.0017310964209304419,0.26031271657005706,0.2603127165700606
7.25,-0.006800818020906794,-0.006800818020906605,-96.10486873623611,-96.10486873623447,-0.001775912127296083,-0.0017759121272960302,0.2653276269187601,0.2653276269187639
7.5,-0.007264229015903292,-0.007264229015903086,-96.03790634215854,-96.03790634215683,-0.0019309003638688282,-0.001930900363868772,0.27037154031447197,0.27037154031447597
7.75,-0.007738528358543259,-0.007738528358543034,-95.96967839288365,-95.96967839288189,-0.0018630154601046083,-0.0018630154601045486,0.27545204748460445,0.27545204748460866
8.0,-0.00821406376341059,-0.008214063763410343,-95.90020192440475,-95.90020192440294,-0.0019408051579940565,-0.0019408051579939932,0.2803597076807982,0.28035970768080265
8.25,-0.00869418607663122,-0.00869418607663095,-95.82947482570903,-95.82947482570715,-0.001899692841688428,-0.001899692841688361,0.28545707800919545,0.2854570780092001
8.5,-0.009169490326781715,-0.00916949032678142,-95.75748858879624,-95.7574885887943,-0.001902272120081463,-0.0019022721200813923,0.29043281753658207,0.29043281753658695
8.75,-0.009647591782801513,-0.009647591782801192,-95.68423825145744,-95.68423825145545,-0.0019220552791879974,-0.0019220552791879228,0.29556988303913473,0.29556988303913984
9.0,-0.010114458622461416,-0.010114458622461067,-95.60973542040361,-95.60973542040156,-0.0018124191529076362,-0.0018124191529075575,0.30045275505525515,0.30045275505526053
9.25,-0.01056382288595624,-0.010563822885955865,-95.53398131420428,-95.53398131420218,-0.0017820116188087957,-0.0017820116188087128,0.30558009167274747,0.3055800916727531
9.5,-0.011015550795158103,-0.011015550795157699,-95.45697706381561,-95.45697706381345,-0.0018313522202130883,-0.0018313522202130013,0.3104539160886797,0.31045391608868556
9.75,-0.011460254329271552,-0.011460254329271119,-95.37875252623529,-95.37875252623307,-0.0017258152372665683,-0.0017258152372664768,0.31534237460410025,0.3153423746041063
10.0,-0.011906461390831128,-0.011906461390830663,-95.29928833565019,-95.29928833564792,-0.0018433672098172001,-0.0018433672098171038,0.32037116115980663,0.3203711611598129
10.25,-0.012381625974978985,-0.012381625974978489,-95.21857340671728,-95.21857340671495,-0.001957480293766713,-0.001957480293766611,0.3253482810622794,0.3253482810622859
10.5,-0.012867842989118758,-0.01286784298911823,-95.13660045791481,-95.13660045791242,-0.0019317762895251452,-0.0019317762895250386,0.3304353069343167,0.3304353069343235
10.75,-0.013354988799033154,-0.01335498879903259,-95.0533544732735,-95.05335447327106,-0.001964909694630965,-0.0019649096946308523,0.3355325733202049,0.3355325733202119
11.0,-0.013831958308642426,-0.013831958308641826,-94.96886347279336,-94.96886347279086,-0.0018503879867018938,-0.0018503879867017758,0.3403954197239536,0.3403954197239608
11.25,-0.014278309471045827,-0.01427830947104519,-94.8831580216268,-94.88315802162424,-0.0017199638632642055,-0.001719963863264082,0.34524817731231194,0.34524817731231944
11.5,-0.014715799255752046,-0.01471579925575137,-94.79621680354218,-94.79621680353956,-0.0017794799330486991,-0.0017794799330485703,0.350281572976056,0.3502815729760637
11.75,-0.015130662545175907,-0.01513066254517519,-94.70802615232917,-94.7080261523265,-0.0015389586247352529,-0.0015389586247351184,0.35524361405180094,0.3552436140518089
12.0,-0.015518648717834363,-0.015518648717833603,-94.61856684660557,-94.61856684660285,-0.00156444176462299,-0.0015644417646228502,0.3604308341397765,0.36043083413978466
12.25,-0.015917436120154456,-0.015917436120153648,-94.52784827490991,-94.52784827490713,-0.0016253967770607928,-0.001625396777060647,0.3653177451725889,0.3653177451725973
12.5,-0.016327505466253073,-0.016327505466252213,-94.43593273607486,-94.43593273607202,-0.001654715992496471,-0.0016547159924963195,0.37000656827227396,0.37000656827228257
12.75,-0.01674780435350215,-0.016747804353501237,-94.34280818716016,-94.34280818715726,-0.0017072053482531258,-0.0017072053482529684,0.3749898279942475,0.37498982799425634
13.0,-0.017179637401866524,-0.017179637401865556,-94.24844710489528,-94.24844710489232,-0.0017469962839575,-0.0017469962839573366,0.37989883387654383,0.3798988338765529
13.25,-0.017613638896045187,-0.017613638896044163,-94.1528431756202,-94.15284317561719,-0.0017245411528187024,-0.0017245411528185326,0.384932598207125,0.38493259820713427
13.5,-0.01802117721000129,-0.018021177210000208,-94.05598462778259,-94.05598462777952,-0.0015352937225400272,-0.001535293722539851,0.38993576665168067,0.38993576665169016
13.75,-0.01840613707522959,-0.018406137075228448,-93.95788199116859,-93.95788199116546,-0.001543918613577853,-0.0015439186135776703,0.3948853270737003,0.39488532707371005
14.0,-0.018768862876116166,-0.018768862876114966,-93.85853522504517,-93.85853522504198,-0.0013574161228253683,-0.0013574161228251786,0.3998887843303587,0.3998887843303687
14.25,-0.019108215532187726,-0.019108215532186463,-93.75793572732907,-93.7579357273258,-0.0013569320412801164,-0.00135693204127992,0.404907197353101,0.4049071973531112
14.5,-0.0194417149940856,-0.019441714994084276,-93.65609382069395,-93.65609382069063,-0.0013105997664175292,-0.0013105997664173258,0.4098280513597995,0.40982805135981
14.75,-0.019754629129478937,-0.019754629129477543,-93.55300240189865,-93.55300240189527,-0.0011922348706846207,-0.0011922348706844101,0.4149032878433465,0.4149032878433572
15.0,-0.020069434972919745,-0.020069434972918285,-93.44865503343148,-93.44865503342803,-0.0013257431280290174,-0.0013257431280287995,0.4198756724815429,0.41987567248155383
15.25,-0.02039412712200526,-0.02039412712200373,-93.34308375811315,-93.34308375810964,-0.0012713397925235039,-0.0012713397925232786,0.42469452493608756,0.4246945249360987
15.5,-0.020733987671523485,-0.020733987671521882,-93.2363142939655,-93.23631429396194,-0.0014470952527769051,-0.001447095252776672,0.4294612048155898,0.4294612048156012
15.75,-0.021099780992449458,-0.021099780992447782,-93.12831338100216,-93.12831338099853,-0.001478771966242234,-0.0014787719662419934,0.4345461018779508,0.4345461018779624
16.0,-0.021459855766731244,-0.021459855766729496,-93.01907032816148,-93.01907032815778,-0.0014013688164160867,-0.001401368816415838,0.439398313550166,0.4393983135501779
16.25,-0.021803203196386428,-0.0218032031963846,-92.90860503186298,-92.90860503185921,-0.0013449462744530587,-0.001344946274452802,0.44432405151855914,0.4443240515185713
16.5,-0.022137888083803844,-0.022137888083801936,-92.796903111315,-92.79690311131118,-0.0013320645623953002,-0.0013320645623950355,0.4492913116509402,0.4492913116509526
16.75,-0.022474070214771914,-0.022474070214769923,-92.68393934698359,-92.68393934697971,-0.0013569091161889921,-0.0013569091161887191,0.4544188053429259,0.45441880534293855
17.0,-0.022810229259468812,-0.022810229259466738,-92.56969110242538,-92.56969110242144,-0.0013318779064982996,-0.0013318779064980181,0.4595671487629864,0.45956714876299926
17.25,-0.023117499782592,-0.023117499782589843,-92.4541585992344,-92.45415859923041,-0.0011258030730031238,-0.0011258030730028337,0.46469285733617277,0.46469285733618587
17.5,-0.023389030612312085,-0.02338903061230984,-92.33735378400806,-92.33735378400401,-0.0010459672274524651,-0.0010459672274521663,0.46974565694783166,0.469745656947845
17.75,-0.02366526615580735,-0.02366526615580502,-92.21929289881503,-92.21929289881092,-0.0011634461599181827,-0.001163446159917875,0.4747414356725721,0.47474143567258564
18.0,-0.02391930356235897,-0.023919303562356546,-92.09999616392952,-92.09999616392534,-0.000868392008840918,-0.0008683920088406014,0.4796324155938971,0.47963241559391084
18.25,-0.024129075328219472,-0.024129075328216953,-91.97945665509225,-91.97945665508801,-0.0008093059184690343,-0.000809305918468709,0.484683649533778,0.484683649533792
18.5,-0.024307763491431763,-0.024307763491429147,-91.85764483330861,-91.85764483330432,-0.000619716015154788,-0.0006197160151544538,0.4898109068608915,0.4898109068609058
18.75,-0.024457358514775315,-0.0244573585147726,-91.73458970838128,-91.73458970837693,-0.0005765898404117265,-0.0005765898404113835,0.4946300884920251,0.4946300884920396
19.0,-0.02459095944593421,-0.024590959445931395,-91.61029433474896,-91.61029433474455,-0.0004917365350372094,-0.0004917365350368573,0.49973289256671444,0.49973289256672915
