time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,0.0,0.0,-97.5,-97.5,0.0,0.0,0.12,0.12
0.25,4.101875262415261e-06,4.1018752628367024e-06,-97.46939893336882,-97.46939893336877,3.3268353552186755e-05,3.326835355555825e-05,0.12480852991311407,0.12480852991311414
0.5,-5.479560526952515e-07,-5.479560508288581e-07,-97.43758233575366,-97.43758233575355,-7.000354706117391e-05,-7.000354705298589e-05,0.1297242607449347,0.1297242607449349
0.75,-3.8102343116506794e-05,-3.8102343112051434e-05,-97.4045348470658,-97.40453484706563,-0.00022996662011528455,-0.00022996662010276136,0.13465566383960137,0.13465566383960167
1.0,-8.625500309461146e-05,-8.62550030864833e-05,-97.37024193097463,-97.3702419309744,-0.00015478024831132742,-0.0001547802482944691,0.13968765780138861,0.13968765780138903
1.25,-0.00014602290679549087,-0.00014602290678260608,-97.33468705919925,-97.33468705919897,-0.00032288558490482886,-0.0003228855848836351,0.14475133225087924,0.1447513322508798
1.5,-0.00022797502222369397,-0.00022797502220496863,-97.29787664893715,-97.2978766489368,-0.00033226177624515413,-0.00033226177621962507,0.14973195073013468,0.14973195073013537
1.75,-0.00034038327700148033,-0.00034038327697583044,-97.25979806575275,-97.25979806575235,-0.0005665173411518174,-0.0005665173411219526,0.1548967368309902,0.15489673683099103
2.0,-0.0004895429492129827,-0.000489542949179324,-97.22042320427697,-97.22042320427651,-0.000626269290255271,-0.0006262692902210705,0.16010216060893837,0.16010216060893934
2.25,-0.0006483166638162123,-0.000648316663773461,-97.17976150034204,-97.17976150034153,-0.0006434406289208526,-0.0006434406288823163,0.16519147248965388,0.165191472489655
2.5,-0.0008107012140001624,-0.0008107012139472345,-97.13786402295449,-97.13786402295392,-0.0006551835465713147,-0.0006551835465284428,0.1699883477181345,0.16998834771813576
2.75,-0.0009696615497181724,-0.0009696615496541043,-97.09473456822327,-97.09473456822265,-0.0006160222051567823,-0.0006160222051105376,0.17504728643964174,0.17504728643964312
3.0,-0.0011454412030513232,-0.0011454412029752712,-97.05034309099933,-97.05034309099865,-0.0007897401339465564,-0.0007897401338969386,0.18008454773034988,0.1800845477303514
3.25,-0.0013588245571085188,-0.0013588245570195796,-97.00471783623371,-97.00471783623297,-0.0009168710791118143,-0.0009168710790583419,0.18491750238082438,0.18491750238082608
3.5,-0.0016035585642635883,-0.0016035585641607979,-96.95788815835382,-96.95788815835303,-0.001040548241635146,-0.0010405482415778182,0.18971993231878523,0.18971993231878706
3.75,-0.0018870125568774168,-0.0018870125567598114,-96.90982773857871,-96.90982773857786,-0.0012266082397136314,-0.0012266082396524482,0.19476344342421212,0.1947634434242141
4.0,-0.0022024981836511357,-0.0022024981835177507,-96.8605191689631,-96.86051916896218,-0.0012968109210467298,-0.001296810920981691,0.19970512011975308,0.19970512011975522
4.25,-0.002515359973055944,-0.0025153599729058154,-96.80996048155527,-96.8099604815543,-0.0012056064554289596,-0.0012056064553600655,0.20476437054427854,0.20476437054428084
4.5,-0.002856660354961456,-0.00285666035479362,-96.75815639681288,-96.75815639681186,-0.0015243343058220361,-0.001524334305749286,0.2096683374449284,0.20966833744493085
4.75,-0.0032236348158119032,-0.0032236348156253953,-96.70510475854735,-96.70510475854627,-0.0014109828320735516,-0.001410982831996946,0.21474475799271286,0.21474475799271547
5.0,-0.0035627852926578022,-0.003562785292451659,-96.65077718836615,-96.65077718836501,-0.0013017372802403243,-0.0013017372801598628,0.21987579315739822,0.219875793157401
5.25,-0.003872929282303052,-0.003872929282076309,-96.5951909731943,-96.59519097319311,-0.0011789491176504264,-0.0011789491175661089,0.22481391664104902,0.22481391664105196
5.5,-0.004168923608190944,-0.004168923607942637,-96.53834996007473,-96.53834996007348,-0.001188524680413818,-0.0011885246803256446,0.22991418921860834,0.22991418921861145
5.75,-0.004496513590737276,-0.0044965135904664385,-96.48023888995591,-96.4802388899546,-0.0014317181535277832,-0.0014317181534357535,0.23497439466057976,0.23497439466058304
6.0,-0.004844076653272406,-0.004844076652978075,-96.4208581154279,-96.42085811542654,-0.0013483058168897353,-0.0013483058167938493,0.24007179369958612,0.2400717936995896
6.25,-0.005183739781689194,-0.0051837397813704065,-96.36021003842033,-96.36021003841891,-0.0013685239937705907,-0.0013685239936708485,0.24511282426739434,0.24511282426739797
6.5,-0.00554393897768153,-0.005543938977337321,-96.29828706128019,-96.29828706127871,-0.001512583315664789,-0.0015125833155611903,0.25027100643591466,0.2502710064359186
6.75,-0.005939475446959266,-0.005939475446588672,-96.23505802735549,-96.23505802735396,-0.0016512097322461297,-0.0016512097321386742,0.2555612780317075,0.2555612780317117
7.0,-0.006362317375581291,-0.006362317375183347,-96.17057377899,-96.17057377898841,-0.001731077796284103,-0.0017310777961727908,0.26031271642245435,0.26031271642245885
7.25,-0.006800747798416014,-0.006800747797989756,-96.1048687366203,-96.10486873661866,-0.0017758928481632099,-0.0017758928480480407,0.26532762676051685,0.26532762676052163
7.5,-0.0072641538919124855,-0.00726415389145695,-96.03790634258365,-96.03790634258195,-0.001930880431153599,-0.0019308804310345725,0.27037154014522424,0.2703715401452293
7.75,-0.007738448169771614,-0.007738448169285835,-95.9696783933525,-95.96967839335073,-0.0018629948747280033,-0.0018629948746051194,0.2754520473039892,0.27545204730399453
8.0,-0.008213978346809654,-0.008213978346292665,-95.90020192492022,-95.90020192491839,-0.0019407839208939446,-0.0019407839207672031,0.28035970748845285,0.28035970748845845
8.25,-0.00869409526938897,-0.008694095268839805,-95.82947482627408,-95.82947482627219,-0.0018996709538183503,-0.0018996709536877512,0.28545707780475804,0.2854570778047639
8.5,-0.009169393966326569,-0.009169393965744265,-95.75748858941394,-95.75748858941199,-0.0019022495824114406,-0.001902249582276984,0.2904328173196911,0.29043281731969733
8.75,-0.009647489706806485,-0.009647489706190079,-95.68423825213097,-95.68423825212896,-0.001922032092704771,-0.0019220320925664564,0.29556988280942936,0.29556988280943586
9.0,-0.01011435066884821,-0.010114350668196735,-95.6097354211362,-95.60973542113413,-0.001812395318613964,-0.0018123953184717913,0.300452754812375,0.3004527548123818
9.25,-0.010563708892899313,-0.010563708892211806,-95.53398131499927,-95.53398131499715,-0.0017819871377239092,-0.0017819871375778782,0.3055800914163324,0.30558009141633957
9.5,-0.011015430601088708,-0.011015430600364204,-95.45697706467644,-95.45697706467426,-0.0018313270933721284,-0.001831327093222239,0.3104539158183702,0.31045391581837767
9.75,-0.011460127772881766,-0.011460127772119301,-95.37875252716546,-95.37875252716323,-0.001725789465720926,-0.0017257894655671776,0.3153423743195372,0.315342374319545
10.0,-0.011906328311077853,-0.011906328310276462,-95.29928833665332,-95.29928833665103,-0.0018433407946341043,-0.0018433407944764971,0.32037116086063155,0.3203711608606396
10.25,-0.012381486211087889,-0.012381486210246605,-95.21857340779708,-95.21857340779472,-0.0019574532360290744,-0.001957453235867607,0.3253482807481346,0.325348280748143
10.5,-0.012867696380588267,-0.012867696379706127,-95.13660045907505,-95.13660045907264,-0.0019317485903321357,-0.0019317485901668094,0.33043530660484544,0.3304353066048541
10.75,-0.013354835185638493,-0.01335483518471453,-95.05335447451807,-95.05335447451559,-0.0019648813550978404,-0.0019648813549286537,0.33553257297505096,0.33553257297505995
11.0,-0.013831797530439617,-0.01383179752947287,-94.96886347412622,-94.96886347412368,-0.0018503590079596954,-0.001850359007786649,0.34039541936276146,0.3403954193627708
11.25,-0.014278141368375685,-0.014278141367365186,-94.883158023052,-94.8831580230494,-0.0017199342464601533,-0.0017199342462832468,0.3452481769347265,0.34524817693473614
11.5,-0.014715623669243989,-0.014715623668188774,-94.79621680506386,-94.7962168050612,-0.0017794496793444455,-0.001779449679163679,0.35028157258172227,0.35028157258173226
11.75,-0.015130479315751878,-0.015130479314650981,-94.70802615395156,-94.70802615394885,-0.0015389277353093725,-0.0015389277351247456,0.35524361364036466,0.355243613640375
12.0,-0.015518457686712799,-0.015518457685565255,-94.618566848333,-94.61856684833023,-0.0015644102406688987,-0.0015644102404804114,0.3604308337108836,0.36043083371089424
12.25,-0.015917237128854223,-0.01591723712765906,-94.52784827674678,-94.52784827674395,-0.0016253646197884619,-0.001625364619596114,0.3653177447258858,0.3653177447258968
12.5,-0.016327298356597415,-0.01632729835535367,-94.43593273802567,-94.43593273802279,-0.0016546832031308057,-0.001654683202934597,0.370006567807408,0.3700065678074193
12.75,-0.0167475889676224,-0.016747588966329104,-94.3428081892295,-94.34280818922656,-0.0017071719280339665,-0.0017071719278338967,0.3749898275108668,0.37498982751087845
13.0,-0.01717941358220591,-0.0171794135808621,-94.24844710708781,-94.24844710708481,-0.0017469622341402045,-0.0017469622339362733,0.37989883337429736,0.3798988333743094
13.25,-0.017613406485362637,-0.017613406483967347,-94.15284317794071,-94.15284317793764,-0.0017245064746735275,-0.0017245064744657345,0.38493259768566257,0.38493259768567495
13.5,-0.018020936051375214,-0.01802093604992748,-94.0559846302359,-94.05598463023277,-0.001535258417352615,-0.0015352584171409599,0.38993576611065267,0.3899357661106654
13.75,-0.018405887012061806,-0.01840588701056066,-93.95788199375964,-93.95788199375644,-0.0015438826826497376,-0.0015438826824342206,0.3948853265127574,0.3948853265127705
14.0,-0.018768603752135727,-0.018768603750580204,-93.85853522777899,-93.85853522777572,-0.0013573795674729188,-0.0013573795672535392,0.39988878374915204,0.39988878374916553
14.25,-0.019107947191454724,-0.01910794718984386,-93.75793573021075,-93.75793573020742,-0.0013568948628352893,-0.0013568948626120473,0.4049071967512822,0.404907196751296
14.5,-0.019441437280994976,-0.019441437279327806,-93.6560938237287,-93.65609382372531,-0.001310561966227126,-0.0013105619660000215,0.40982805073702067,0.4098280507370348
14.75,-0.019754341888764213,-0.01975434188703977,-93.55300240509175,-93.55300240508831,-0.001192196450110509,-0.0011921964498795416,0.41490328719926034,0.4149032871992749
15.0,-0.020069138049656873,-0.02006913804787419,-93.4486550367883,-93.44865503678479,-0.0013257040884487236,-0.0013257040882138928,0.41987567181580265,0.4198756718158176
15.25,-0.020393820361616445,-0.02039382035977456,-93.34308376163915,-93.34308376163558,-0.0012713001353294934,-0.0012713001350907992,0.42469452424834747,0.4246945242483628
15.5,-0.02073367091978076,-0.020733670917878706,-93.23631429766623,-93.2363142976626,-0.0014470549793752796,-0.0014470549791327214,0.429461204105505,0.42946120410552063
15.75,-0.021099454095478296,-0.021099454093515102,-93.12831338488323,-93.12831338487953,-0.0014787310780544106,-0.0014787310778079886,0.43454610114517744,0.4345461011451935
16.0,-0.02145951857101425,-0.021459518568988954,-93.01907033222861,-93.01907033222484,-0.0014013273148777694,-0.0014013273146274829,0.43939831279436137,0.43939831279437774
16.25,-0.021802855548767,-0.021802855546678636,-92.90860503612197,-92.90860503611815,-0.0013449041610148554,-0.0013449041607607043,0.4443240507393809,0.4443240507393977
16.5,-0.022137529831489765,-0.022137529829337366,-92.79690311577176,-92.79690311576786,-0.0013320218385216723,-0.0013320218382636565,0.4492913108480468,0.44929131084806395
16.75,-0.022473701205338995,-0.022473701203121595,-92.68393935164407,-92.68393935164012,-0.0013568657833597287,-0.001356865783097848,0.4544188045159765,0.45441880451599403
17.0,-0.022809849340864666,-0.0228098493385813,-92.56969110729564,-92.56969110729163,-0.001331833966208118,-0.0013318339659423722,0.45956714791164105,0.4595671479116589
17.25,-0.023117108803139733,-0.02311710880078943,-92.45415860432058,-92.45415860431652,-0.0011257585267611576,-0.0011257585264915462,0.46469285646009223,0.4646928564601105
17.5,-0.02338862842071406,-0.023388628418295854,-92.33735378931638,-92.33735378931226,-0.0010459220767837013,-0.0010459220765102243,0.46974565604667695,0.4697456560466956
17.75,-0.02366485260114894,-0.02366485259866187,-92.21929290435182,-92.21929290434763,-0.0011634004063616101,-0.001163400406084267,0.47474143474600494,0.474741434746024
18.0,-0.023918878494112172,-0.02391887849155527,-92.09999616970116,-92.09999616969691,-0.0008683456539504921,-0.000868345653669283,0.47963241464158,0.47963241464159945
