time_s,x_m,y_m,vx_mps,vy_mps,sampled_inside_union,sampled_collision,sampled_keep_out,sampled_hold_eligible
0.0,0.0,-30.0,0.0,0.0,True,False,False,True
0.25,0.0,-30.0,0.0,0.0,True,False,False,True
0.5,0.0,-30.0,0.0,0.0,True,False,False,True
0.75,0.0,-30.0,0.0,0.0,True,False,False,True
1.0,0.0,-30.0,0.0,0.0,True,False,False,True
1.25,0.0,-30.0,0.0,0.0,True,False,False,True
1.5,0.0,-30.0,0.0,0.0,True,False,False,True
1.75,0.0,-30.0,0.0,0.0,True,False,False,True
2.0,0.0,-30.0,0.0,0.0,True,False,False,True
2.25,0.0,-30.0,0.0,0.0,True,False,False,True
2.5,0.0,-30.0,0.0,0.0,True,False,False,True
2.75,0.0,-30.0,0.0,0.0,True,False,False,True
3.0,0.0,-30.0,0.0,0.0,True,False,False,True
3.25,0.0,-30.0,0.0,0.0,True,False,False,True
3.5,0.0,-30.0,0.0,0.0,True,False,False,True
3.75,0.0,-30.0,0.0,0.0,True,False,False,True
4.0,0.0,-30.0,0.0,0.0,True,False,False,True
4.25,0.0,-30.0,0.0,0.0,True,False,False,True
4.5,0.0,-30.0,0.0,0.0,True,False,False,True
4.75,0.0,-30.0,0.0,0.0,True,False,False,True
5.0,0.0,-30.0,0.0,0.0,True,False,False,True
5.25,0.0,-30.0,0.0,0.0,True,False,False,True
5.5,0.0,-30.0,0.0,0.0,True,False,False,True
5.75,0.0,-30.0,0.0,0.0,True,False,False,True
6.0,0.0,-30.0,0.0,0.0,True,False,False,True
6.25,0.0,-30.0,0.0,0.0,True,False,False,True
6.5,0.0,-30.0,0.0,0.0,True,False,False,True
6.75,0.0,-30.0,0.0,0.0,True,False,False,True
7.0,0.0,-30.0,0.0,0.0,True,False,False,True
7.25,0.0,-30.0,0.0,0.0,True,False,False,True
7.5,0.0,-30.0,0.0,0.0,True,False,False,True
7.75,0.0,-30.0,0.0,0.0,True,False,False,True
8.0,0.0,-30.0,0.0,0.0,True,False,False,True
8.25,0.0,-30.0,0.0,0.0,True,False,False,True
8.5,0.0,-30.0,0.0,0.0,True,False,False,True
8.75,0.0,-30.0,0.0,0.0,True,False,False,True
9.0,0.0,-30.0,0.0,0.0,True,False,False,True
9.25,0.0,-30.0,0.0,0.0,True,False,False,True
9.5,0.0,-30.0,0.0,0.0,True,False,False,True
9.75,0.0,-30.0,0.0,0.0,True,False,False,True
10.0,0.0,-30.0,0.0,0.0,True,False,False,True
10.25,0.0,-30.0,0.0,0.0,True,False,False,True
10.5,0.0,-30.0,0.0,0.0,True,False,False,True
10.75,0.0,-30.0,0.0,0.0,True,False,False,True
11.0,0.0,-30.0,0.0,0.0,True,False,False,True
11.25,0.0,-30.0,0.0,0.0,True,False,False,True
11.5,0.0,-30.0,0.0,0.0,True,False,False,True
11.75,0.0,-30.0,0.0,0.0,True,False,False,True
12.0,0.0,-30.0,0.0,0.0,True,False,False,True
12.25,0.0,-30.0,0.0,0.0,True,False,False,True
12.5,0.0,-30.0,0.0,0.0,True,False,False,True
12.75,0.0,-30.0,0.0,0.0,True,False,False,True
13.0,0.0,-30.0,0.0,0.0,True,False,False,True
13.25,0.0,-30.0,0.0,0.0,True,False,False,True
13.5,0.0,-30.0,0.0,0.0,True,False,False,True
13.75,0.0,-30.0,0.0,0.0,True,False,False,True
14.0,0.0,-30.0,0.0,0.0,True,False,False,True
14.25,0.0,-30.0,0.0,0.0,True,False,False,True
14.5,0.0,-30.0,0.0,0.0,True,False,False,True
14.75,0.0,-30.0,0.0,0.0,True,False,False,True
15.0,0.0,-30.0,0.0,0.0,True,False,False,True
15.25,0.0,-30.0,0.0,0.0,True,False,False,True
15.5,0.0,-30.0,0.0,0.0,True,False,False,True
15.75,0.0,-30.0,0.0,0.0,True,False,False,True
16.0,0.0,-30.0,0.0,0.0,True,False,False,True
16.25,0.0,-30.0,0.0,0.0,True,False,False,True
16.5,0.0,-30.0,0.0,0.0,True,False,False,True
16.75,0.0,-30.0,0.0,0.0,True,False,False,True
17.0,0.0,-30.0,0.0,0.0,True,False,False,True
17.25,0.0,-30.0,0.0,0.0,True,False,False,True
17.5,0.0,-30.0,0.0,0.0,True,False,False,True
17.75,0.0,-30.0,0.0,0.0,True,False,False,True
18.0,0.0,-30.0,0.0,0.0,True,False,False,True
18.25,0.0,-30.0,0.0,0.0,True,False,False,True
18.5,0.0,-30.0,0.0,0.0,True,False,False,True
18.75,0.0,-30.0,0.0,0.0,True,False,False,True
19.0,0.0,-30.0,0.0,0.0,True,False,False,True
19.25,0.0,-30.0,0.0,0.0,True,False,False,True
19.5,0.0,-30.0,0.0,0.0,True,False,False,True
19.75,0.0,-30.0,0.0,0.0,True,False,False,True
20.0,0.0,-30.0,0.0,0.0,True,False,False,True
20.25,0.0,-30.0,0.0,0.0,True,False,False,True
20.5,0.0,-30.0,0.0,0.0,True,False,False,True
20.75,0.0,-30.0,0.0,0.0,True,False,False,True
21.0,0.0,-30.0,0.0,0.0,True,False,False,True
21.25,0.0,-30.0,0.0,0.0,True,False,False,True
21.5,0.0,-30.0,0.0,0.0,True,False,False,True
21.75,0.0,-30.0,0.0,0.0,True,False,False,True
22.0,0.0,-30.0,0.0,0.0,True,False,False,True
22.25,0.0,-30.0,0.0,0.0,True,False,False,True
22.5,0.0,-30.0,0.0,0.0,True,False,False,True
22.75,0.0,-30.0,0.0,0.0,True,False,False,True
23.0,0.0,-30.0,0.0,0.0,True,False,False,True
23.25,0.0,-30.0,0.0,0.0,True,False,False,True
23.5,0.0,-30.0,0.0,0.0,True,False,False,True
23.75,0.0,-30.0,0.0,0.0,True,False,False,True
24.0,0.0,-30.0,0.0,0.0,True,False,False,True
