time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,1.0,1.0,-70.0,-70.0,0.0,0.0,0.08,0.08
0.25,0.9999718353775475,0.999971835377548,-69.97937592339323,-69.97937592339318,-0.00022484627581693226,-0.00022484627581693186,0.08499263405300958,0.08499263405300964
0.5,0.9998878122147383,0.9998878122147392,-69.95750367244081,-69.9575036724407,-0.00044686831987494446,-0.0004468683198749435,0.08998539449899891,0.08998539449899903
0.75,0.999748636571737,0.9997486365717383,-69.93438321574418,-69.934383215744,-0.0006660661144124049,-0.000666066114412403,0.09497827974034215,0.09497827974034234
1.0,0.9995550145131203,0.9995550145131221,-69.91001452230421,-69.91001452230398,-0.0008824396418936201,-0.0008824396418936174,0.09997128817940346,0.09997128817940372
1.25,0.9993075155351964,0.9993075155351986,-69.88439756896389,-69.8843975689636,-0.0010970814716303842,-0.0010970814716303801,0.104964358779895,0.10496435877989534
1.5,0.9990067091329502,0.9990067091329529,-69.8575323328626,-69.85753233286226,-0.0013088990336281908,-0.0013088990336281854,0.10995755000087108,0.10995755000087148
1.75,0.9986533013754395,0.9986533013754426,-69.82941878404493,-69.82941878404453,-0.001517892310941761,-0.001517892310941754,0.11495086024468573,0.11495086024468619
2.0,0.9982479983359298,0.9982479983359334,-69.80005689295488,-69.80005689295443,-0.0017240612868517561,-0.0017240612868517477,0.11994428791368345,0.11994428791368397
2.25,0.9977913504851535,0.9977913504851575,-69.76944663895239,-69.76944663895188,-0.0019286508047822502,-0.00192865080478224,0.12493776339534315,0.12493776339534375
2.5,0.9972839082915047,0.9972839082915091,-69.73758800167944,-69.73758800167886,-0.0021304160271227793,-0.0021304160271227667,0.12993135381105428,0.129931353811055
2.75,0.9967263778309032,0.9967263778309081,-69.70448095260222,-69.70448095260159,-0.0023293569377322455,-0.0023293569377322303,0.13492505756315534,0.13492505756315618
3.0,0.996119465183276,0.9961194651832813,-69.67012546358636,-69.67012546358566,-0.0025254735206954935,-0.0025254735206954758,0.13991887305397577,0.1399188730539767
3.25,0.9954637000670115,0.9954637000670172,-69.6345215165966,-69.63452151659585,-0.0027201766915655734,-0.002720176691565553,0.14491272122101362,0.14491272122101467
3.5,0.9947596121970654,0.9947596121970717,-69.59766909386411,-69.5976690938633,-0.0029120555475703916,-0.002912055547570368,0.1499066787295557,0.14990667872955687
3.75,0.9940079076540778,0.9940079076540844,-69.55956816825322,-69.55956816825235,-0.0031011100733597534,-0.003101110073359727,0.15490074398192988,0.15490074398193115
4.0,0.9932092925224975,0.9932092925225046,-69.52021871302769,-69.52021871302676,-0.0032873402538094094,-0.00328734025380938,0.1598949153804553,0.15989491538045672
4.25,0.9923642738776165,0.992364273877624,-69.479620712856,-69.47962071285502,-0.003472338185619041,-0.003472338185619009,0.16488910343492202,0.16488910343492355
4.5,0.9914733587901101,0.9914733587901181,-69.43777415265599,-69.43777415265495,-0.003654511792365006,-0.0036545117923649714,0.16988339534079816,0.1698833953407998
4.75,0.9905372533430706,0.9905372533430791,-69.39467900666452,-69.39467900666342,-0.0038338610594735242,-0.0038338610594734865,0.17487778950040597,0.17487778950040772
5.0,0.9895566636232056,0.9895566636232145,-69.35033524951784,-69.35033524951669,-0.004010385972596762,-0.004010385972596718,0.17987228431605956,0.17987228431606142
5.25,0.9885320719845145,0.9885320719845239,-69.30474286870022,-69.30474286869901,-0.004185876417156204,-0.004185876417156157,0.18486677877052796,0.18486677877052993
5.5,0.987463960775096,0.9874639607751058,-69.25790185192653,-69.25790185192527,-0.0043585425360957,-0.004358542536095648,0.18986137169817854,0.18986137169818063
5.75,0.9863530360780863,0.9863530360780965,-69.20981217477822,-69.2098121747769,-0.004528384315602062,-0.0045283843156020045,0.1948560615013335,0.1948560615013357
6.0,0.9852000039800469,0.9852000039800576,-69.16047381323611,-69.16047381323473,-0.004695401742088048,-0.004695401742087986,0.19985084658230726,0.19985084658230956
6.25,0.9840053198205323,0.9840053198205435,-69.10988675772766,-69.10988675772623,-0.004861600815812315,-0.004861600815812247,0.20484561315484878,0.20484561315485122
6.5,0.9827694389317987,0.9827694389318103,-69.05805099889065,-69.05805099888916,-0.005024975573643238,-0.005024975573643165,0.20984047294460167,0.20984047294460423
6.75,0.9814930673944579,0.98149306739447,-69.00496651362046,-69.00496651361891,-0.005185526002510934,-0.005185526002510856,0.2148354243538938,0.21483542435389646
7.0,0.9801769112923607,0.9801769112923733,-68.95063327921193,-68.95063327921032,-0.005343252089571465,-0.005343252089571381,0.21983046578504573,0.2198304657850485
7.25,0.9788213964100702,0.9788213964100831,-68.8950512891817,-68.89505128918003,-0.005500396253933402,-0.005500396253933313,0.22482546927267283,0.22482546927267574
7.5,0.9774269485233237,0.9774269485233372,-68.83822053723439,-68.83822053723267,-0.005654716123141624,-0.005654716123141529,0.22982056085530586,0.22982056085530891
7.75,0.9759942737074577,0.9759942737074717,-68.78014100154599,-68.78014100154421,-0.005806211684850633,-0.005806211684850532,0.23481573893528465,0.23481573893528782
8.0,0.9745240780408667,0.9745240780408813,-68.72081266069183,-68.72081266069,-0.005954882926940874,-0.005954882926940767,0.2398110019149421,0.23981100191494537
8.25,0.9730167549267271,0.9730167549267421,-68.6602355114457,-68.66023551144382,-0.0061032312767284914,-0.006103231276728379,0.24480620604070785,0.24480620604071124
8.5,0.9714726977577164,0.9714726977577318,-68.59840955074493,-68.59840955074299,-0.006248755363951395,-0.006248755363951277,0.24980149328584306,0.24980149328584658
8.75,0.9698926126009355,0.9698926126009514,-68.53533475800937,-68.53533475800737,-0.006391455176967745,-0.006391455176967621,0.25479686205270613,0.2547968620527099
9.0,0.9682772055263679,0.9682772055263842,-68.4710111130583,-68.47101111305624,-0.00653133070436164,-0.00653133070436151,0.25979231074364906,0.25979231074365305
9.25,0.966626834397717,0.9666268343977338,-68.40543861611694,-68.40543861611482,-0.006671167622908287,-0.006671167622908151,0.26478767797132813,0.2647876779713324
9.5,0.9649418570663442,0.9649418570663615,-68.3386172675473,-68.33861726754513,-0.006808180324291716,-0.006808180324291573,0.2697831235036148,0.26978312350361927
9.75,0.963222979587915,0.9632229795879328,-68.27054704797294,-68.27054704797071,-0.006942368797550993,-0.006942368797550844,0.2747786457428933,0.274778645742898
10.0,0.9614709080208071,0.9614709080208254,-68.2012279384168,-68.2012279384145,-0.00707373303195112,-0.007073733031950964,0.27977424309154186,0.2797742430915468
10.25,0.959685961144483,0.9596859611445017,-68.13065994278173,-68.13065994277937,-0.0072053712865386725,-0.007205371286538509,0.28476973440016035,0.28476973440016556
10.5,0.9578684577240242,0.9578684577240433,-68.05884306507788,-68.05884306507546,-0.007334185383292191,-0.007334185383292021,0.2897652993755556,0.28976529937556106
10.75,0.9560191038001821,0.9560191038002016,-67.98577728708824,-67.98577728708577,-0.007460175311906626,-0.007460175311906449,0.2947609364201458,0.29476093642015144
11.0,0.954138605416256,0.9541386054162759,-67.91146259099523,-67.9114625909927,-0.007583341062302857,-0.007583341062302672,0.2997566439363431,0.299756643936349
11.25,0.9522272382696338,0.9522272382696543,-67.83589898464395,-67.83589898464135,-0.007707125430944311,-0.007707125430944119,0.3047522185446409,0.304752218544647
11.5,0.9502852780410572,0.9502852780410781,-67.7590864759543,-67.75908647595165,-0.007828085716307205,-0.007828085716307004,0.3097478623769242,0.3097478623769305
11.75,0.94831343075256,0.9483134307525815,-67.68102504782,-67.68102504781729,-0.007946221908714787,-0.007946221908714574,0.31474357383565343,0.31474357383566
12.0,0.9463124024285672,0.946312402428589,-67.60171468353413,-67.60171468353136,-0.00806153399871623,-0.008061533998716007,0.3197393513232836,0.3197393513232904
12.25,0.9442824211528035,0.9442824211528259,-67.52115539519558,-67.52115539519275,-0.008177845542830702,-0.008177845542830468,0.32473496635129195,0.32473496635129895
12.5,0.9422237149898166,0.9422237149898396,-67.43934719494214,-67.43934719493926,-0.008291333094969485,-0.008291333094969239,0.32973064637605937,0.3297306463760666
12.75,0.9401369899387401,0.9401369899387636,-67.35629006672433,-67.35629006672139,-0.008401996646053641,-0.008401996646053385,0.33472638980009806,0.3347263898001055
13.0,0.9380229520009489,0.938022952000973,-67.271983994892,-67.271983994889,-0.008509836187230153,-0.008509836187229886,0.3397221950259152,0.33972219502592294
13.25,0.935881776482361,0.9358817764823857,-67.18642899616682,-67.18642899616376,-0.008619097315170191,-0.008619097315169912,0.3447178050769335,0.34471780507694144
13.5,0.9337136386668751,0.9337136386669002,-67.09962508726956,-67.09962508726642,-0.008725534560977636,-0.008725534560977345,0.34971347613643905,0.3497134761364472
13.75,0.931519244526093,0.9315192445261187,-67.01157225314775,-67.01157225314455,-0.00882914791613757,-0.008829147916137266,0.35470920660700633,0.35470920660701477
14.0,0.9292993000337177,0.929299300033744,-66.92227047914831,-66.92227047914506,-0.008929937372360985,-0.008929937372360669,0.3597049948912052,0.3597049948912139
14.25,0.927053921799233,0.9270539217992597,-66.83171978705552,-66.8317197870522,-0.00903261787892257,-0.009032617878922242,0.3647005515321721,0.364700551532181
14.5,0.9247832264068918,0.9247832264069191,-66.73992019860846,-66.73992019860508,-0.009132474633861824,-0.009132474633861484,0.3696961654591154,0.3696961654591245
14.75,0.9224879197956032,0.9224879197956309,-66.6468716996853,-66.64687169968187,-0.009229507629190264,-0.009229507629189912,0.37469183507468345,0.3746918350746928
15.0,0.9201687079062447,0.920168707906273,-66.55257427656358,-66.55257427656008,-0.009323716857145307,-0.009323716857144943,0.37968755878152044,0.37968755878153
15.25,0.9178256418270049,0.9178256418270337,-66.45702795661808,-66.45702795661452,-0.009420341177758014,-0.009420341177757635,0.3846830098925138,0.38468300989252363
15.5,0.9154587726171912,0.9154587726172206,-66.36023276712903,-66.36023276712542,-0.009514141900466812,-0.00951414190046642,0.3896785148636436,0.3896785148636536
15.75,0.9130688061772223,0.9130688061772523,-66.26218869483107,-66.2621886948274,-0.009605119017767703,-0.009605119017767297,0.3946740720976453,0.3946740720976556
16.0,0.9106564484093647,0.9106564484093952,-66.16289572685812,-66.1628957268544,-0.009693272522382567,-0.009693272522382149,0.39966967999725045,0.39966967999726094
16.25,0.9082216769588181,0.9082216769588491,-66.06235389681393,-66.06235389681015,-0.009784428512935693,-0.009784428512935262,0.40466496895076276,0.4046649689507735
16.5,0.9057644694377235,0.9057644694377551,-65.96056323815223,-65.9605632381484,-0.009872761085569929,-0.009872761085569483,0.4096603086711192,0.4096603086711301
16.75,0.9032855317014487,0.9032855317014808,-65.85752373838096,-65.85752373837705,-0.009958270233218719,-0.009958270233218259,0.4146556975611573,0.41465569756116843
17.0,0.9007855696070998,0.9007855696071325,-65.75323538540734,-65.75323538540337,-0.010040955949041383,-0.010040955949040909,0.4196511340237106,0.419651134023722
17.25,0.8982644780965836,0.8982644780966169,-65.64769821984203,-65.64769821983799,-0.010127305600995751,-0.010127305600995264,0.42464619864013886,0.4246461986401505
17.5,0.8957221520739318,0.8957221520739657,-65.54091228208333,-65.54091228207923,-0.010210832044993868,-0.010210832044993366,0.429641311304605,0.42964131130461686
