time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,1.0,1.0,-70.0,-70.0,0.0,0.0,0.08,0.08
0.25,0.9999718354208953,0.9999718354208963,-69.97937592339449,-69.97937592339443,-0.0002248459290701982,-0.00022484592906538164,0.0849926340429953,0.08499263404299537
0.5,0.9998878123880937,0.9998878123880969,-69.95750367244584,-69.95750367244572,-0.00044686762659804053,-0.0004468676265884072,0.08998539447877783,0.08998539447877797
0.75,0.9997486369617042,0.9997486369617109,-69.93438321575556,-69.93438321575539,-0.0006660650748331856,-0.0006660650748187353,0.0949782797097226,0.09497827970972281
1.0,0.9995550152062451,0.9995550152062564,-69.91001452232457,-69.91001452232435,-0.0008824382562532792,-0.0008824382562340118,0.09997128813819461,0.0999712881381949
1.25,0.999307516617309,0.9993075166173262,-69.88439756899594,-69.88439756899565,-0.0010970797454113801,-0.0010970797453872952,0.10496435872762182,0.10496435872762219
1.5,0.9990067106891625,0.9990067106891868,-69.85753233290913,-69.85753233290879,-0.0013088969670955702,-0.0013088969670666676,0.10995754993734741,0.10995754993734787
1.75,0.9986533034907953,0.9986533034908279,-69.82941878410877,-69.82941878410837,-0.0015178899043728565,-0.0015178899043391363,0.11495086016972626,0.1149508601697268
2.0,0.9982480010954022,0.9982480010954444,-69.8000568930389,-69.80005689303844,-0.0017240585405367973,-0.001724058540498259,0.11994428782710373,0.11994428782710435
2.25,0.9977913539729415,0.9977913539729943,-69.76944663905955,-69.76944663905904,-0.0019286477246242936,-0.0019286477245809377,0.12493776329665163,0.12493776329665235
2.5,0.9972839125910299,0.9972839125910946,-69.73758800181281,-69.73758800181224,-0.002130412613436354,-0.0021304126133881796,0.12993135370007136,0.12993135370007222
2.75,0.9967263830255071,0.9967263830255849,-69.7044809527649,-69.70448095276427,-0.00232935319084442,-0.0023293531907914266,0.1349250574397023,0.13492505743970332
3.0,0.9961194713562168,0.996119471356309,-69.67012546378147,-69.67012546378079,-0.0025254694409445637,-0.0025254694408867514,0.13991887291787472,0.13991887291787589
3.25,0.9954637073007413,0.995463707300849,-69.63452151682739,-69.63452151682664,-0.002720172285063844,-0.002720172285001213,0.14491272107176736,0.14491272107176867
3.5,0.9947596205732268,0.9947596205733512,-69.59766909413388,-69.59766909413307,-0.002912050814681674,-0.002912050814614224,0.14990667856699133,0.1499066785669928
3.75,0.9940079172542207,0.994007917254363,-69.55956816856532,-69.55956816856445,-0.003101105014459141,-0.0031011050143868717,0.15490074380587532,0.15490074380587693
4.0,0.9932093034280767,0.9932093034282381,-69.5202187133855,-69.52021871338458,-0.0032873348692848575,-0.0032873348692077685,0.15989491519073934,0.15989491519074112
