time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,0.0,0.0,-30.0,-30.0,0.0,0.0,0.0,0.0
0.25,7.966495000584408e-12,7.966916411135589e-12,-30.000000000000007,-29.999999999999993,6.37319595530886e-11,6.373533083770535e-11,-1.8309119924033632e-14,-1.8308112174220056e-14
0.5,3.1865888398698645e-11,3.186772454491255e-11,-30.000000000000025,-29.999999999999996,1.2746318633022517e-10,1.2747113293159503e-10,-7.267239179940505e-14,-7.266811806672981e-14
0.75,7.169808539050382e-11,7.170248010199383e-11,-30.00000000000006,-30.000000000000018,1.911943874525675e-10,1.912069093746408e-10,-1.630899444366679e-13,-1.6307980602275397e-13
1.0,1.274630776501958e-10,1.2747117475779235e-10,-30.000000000000124,-30.000000000000068,2.549255476232718e-10,2.549426448718345e-10,-2.895617548751356e-13,-2.895431547749447e-13
1.25,1.9700090476955603e-10,1.9701384810576535e-10,-30.00000000000019,-30.000000000000117,3.0137709250625816e-10,3.0139876508893127e-10,-1.6176301458825278e-13,-1.6173335579602007e-13
1.5,2.781516297729435e-10,2.7817056317240665e-10,-30.000000000000224,-30.00000000000014,3.4782873007583474e-10,3.4785497800207484e-10,-6.024375879464583e-14,-6.020044260981363e-14
1.75,3.7091527443828485e-10,3.7094134173823624e-10,-30.000000000000234,-30.000000000000135,3.9428044918223254e-10,3.943112724633313e-10,1.4995966530770254e-14,1.5055535421354714e-14
2.0,4.752918577560617e-10,4.753262027967883e-10,-30.00000000000023,-30.000000000000117,4.4073223867566253e-10,4.4076763732474627e-10,6.395611710715215e-14,6.403453571143419e-14
2.25,5.896559436070092e-10,5.896997102323088e-10,-30.0000000000002,-30.00000000000007,4.741804835054624e-10,4.742204575374938e-10,2.450743555317704e-13,2.451742242465546e-13
2.5,7.123821079353122e-10,7.12436439992953e-10,-30.000000000000124,-29.999999999999982,5.076288660482282e-10,5.076734154800058e-10,4.072688494797987e-13,4.0739276531448473e-13
2.75,8.434703841655867e-10,8.435364255077656e-10,-30.00000000000001,-29.999999999999854,5.410773782749523e-10,5.4112650312511e-10,5.505395199063881e-13,5.506900815651687e-13
3.0,9.82920743513688e-10,9.829996680982441e-10,-29.999999999999865,-29.999999999999694,5.745255305445574e-10,5.745794716396072e-10,6.74886367735131e-13,6.750662386447725e-13
3.25,1.1296376475565595e-09,1.1297306594474483e-09,-29.99999999999968,-29.999999999999496,5.992097419713809e-10,5.992684993337618e-10,8.520086131600819e-13,8.522205275515414e-13
3.5,1.2825256227667964e-09,1.2826339260338248e-09,-29.999999999999453,-29.999999999999254,6.238940995540383e-10,6.239576732081218e-10,1.0151646397418064e-12,1.0154113335408722e-12
3.75,1.4415847651441438e-09,1.4417095638634528e-09,-29.999999999999186,-29.999999999998973,6.485790789788169e-10,6.48647468950906e-10,1.1643542316205838e-12,1.1646384356716114e-12
4.0,1.6068151692068995e-09,1.6069576674614474e-09,-29.999999999998884,-29.999999999998657,6.732641927078501e-10,6.733373990261784e-10,1.2995771760201378e-12,1.2999016228623135e-12
4.25,1.776484207994373e-09,1.776645609874418e-09,-29.9999999999985,-29.99999999999826,6.840881955219652e-10,6.841662182166978e-10,1.8382268160341777e-12,1.8385942399015196e-12
4.5,1.948859292324066e-09,1.9490408019276493e-09,-29.999999999997982,-29.999999999997726,6.949125569009635e-10,6.94995396004197e-10,2.3707506665093628e-12,2.3711637999425864e-12
4.75,2.1239406319152876e-09,2.124143453348716e-09,-29.999999999997332,-29.999999999997062,7.057382374695435e-10,7.058258930153066e-10,2.8971482473702404e-12,2.8976098262989592e-12
