time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,0.0,0.0,-97.5,-97.5,0.0,0.0,0.12,0.12
0.25,5.802738821960083e-08,5.8027388641027175e-08,-97.46969270834157,-97.46969270834151,6.959920629615429e-07,6.959920663329549e-07,0.12245833320202311,0.12245833320202318
0.5,4.638825059185087e-07,4.638825077848299e-07,-97.43877083346463,-97.43877083346452,2.7826218158918853e-06,2.782621824079631e-06,0.12491666561700485,0.12491666561700497
0.75,1.5652247560947915e-06,1.5652247606100982e-06,-97.40723437566427,-97.4072343756641,6.259889084297626e-06,6.259889097301751e-06,0.12737499645828465,0.1273749964582849
1.0,3.7097134841873413e-06,3.70971349255574e-06,-97.37508333543225,-97.37508333543202,1.1127793582198782e-05,1.1127793600019364e-05,0.12983332493920216,0.12983332493920252
1.25,6.4782235322249765e-06,6.478223545650591e-06,-97.3423217289655,-97.34232172896522,1.1249030825208687e-05,1.1249030847845788e-05,0.13225952678354214,0.1322595267835426
1.5,9.448600906288279e-06,9.448600925975249e-06,-97.3089535720786,-97.30895357207825,1.2742732178270039e-05,1.2742732205723715e-05,0.13468572817111016,0.13468572817111074
1.75,1.2963961620142092e-05,1.2963961647294574e-05,-97.27497886498277,-97.27497886498237,1.5608897513100742e-05,1.5608897545371088e-05,0.13711192832552618,0.1371119283255269
2.0,1.7367421641819216e-05,1.7367421677641394e-05,-97.24039760808336,-97.2403976080829,1.9847526592126595e-05,1.984752662921367e-05,0.13953812647041028,0.13953812647041114
2.25,2.225635200799699e-05,2.2256352053693057e-05,-97.20521375993172,-97.20521375993121,1.9489674872596062e-05,1.9489674914499968e-05,0.14193265877663896,0.14193265877663996
2.5,2.722513834522347e-05,2.7225138401997648e-05,-97.16943127871015,-97.16943127870958,2.0486374354913442e-05,2.048637440163426e-05,0.14432719090217483,0.14432719090217597
2.75,3.2612418445281353e-05,3.2612418514337896e-05,-97.1330501645596,-97.13305016455898,2.2837624951585502e-05,2.2837625003123334e-05,0.14672172208077086,0.14672172208077214
3.0,3.8756830064474295e-05,3.8756830147017466e-05,-97.0960704178126,-97.09607041781192,2.6543426466273042e-05,2.654342652262796e-05,0.1491162515461801,0.14911625154618155
3.25,4.52704639329155e-05,4.527046403014958e-05,-97.05849594748783,-97.05849594748709,2.578845486091415e-05,2.578845492208626e-05,0.15147951112338162,0.1514795111233832
3.5,5.176246268560792e-05,5.176246279873722e-05,-97.02033066224688,-97.02033066224608,2.6370345540116858e-05,2.637034560610624e-05,0.15384277074953753,0.15384277074953928
3.75,5.85670418891233e-05,5.856704201935215e-05,-96.98157456217206,-96.98157456217119,2.8289098449508812e-05,2.828909852031558e-05,0.1562060296684072,0.15620602966840907
4.0,6.601841708300398e-05,6.601841723153677e-05,-96.9422276475347,-96.94222764753377,3.1544713427227324e-05,3.154471350285156e-05,0.1585692871237499,0.15856928712375196
4.25,7.374186613115467e-05,7.374186629919579e-05,-96.90229378484737,-96.90229378484639,3.046277321871572e-05,3.046277329915753e-05,0.16090161447700263,0.16090161447700485
4.5,8.135975082480368e-05,8.135975101355751e-05,-96.86177684027633,-96.8617768402753,3.070019859554835e-05,3.0700198680807836e-05,0.16323394206911926,0.16323394206912162
4.75,8.920191255892501e-05,8.9201912769596e-05,-96.82067681385516,-96.82067681385406,3.2256989529239057e-05,3.2256989619316315e-05,0.16556626915375666,0.1655662691537592
5.0,9.759819270858011e-05,9.759819294237273e-05,-96.778993705804,-96.77899370580285,3.513314588897369e-05,3.513314598386883e-05,0.16789859498457177,0.16789859498457446
5.25,0.00010618573065059919,0.0001061857309087179,-96.73673134621092,-96.73673134620971,3.3784163242355404e-05,3.378416334206851e-05,0.17020028188748576,0.17020028188748865
5.5,0.00011459877713021659,0.00011459877741386588,-96.6938935648274,-96.69389356482614,3.373721419779513e-05,3.373721430232633e-05,0.1725019691852273,0.17250196918523036
5.75,0.00012316284054967618,0.00012316284086006065,-96.65048036164683,-96.6504803616455,3.4992298751769484e-05,3.49922988611189e-05,0.17480365614125767,0.17480365614126092
6.0,0.00013220342929716697,0.0001322034296354912,-96.60649173684668,-96.6064917368453,3.7549416795362556e-05,3.7549416909530305e-05,0.17710534201903821,0.17710534201904163
6.25,0.00014136840277029458,0.00014136840313776317,-96.56193148935066,-96.56193148934922,3.598451140832203e-05,3.5984511527308195e-05,0.17937663809694435,0.17937663809694795
6.5,0.00015030275521425986,0.00015030275561207744,-96.51680341775479,-96.5168034177533,3.5704448573116866e-05,3.570444869692157e-05,0.18164793469668425,0.18164793469668805
6.75,0.00015932769727096857,0.00015932769770033976,-96.47110752201945,-96.4711075220179,3.670922830419299e-05,3.6709228432816374e-05,0.18391923109144392,0.1839192310914479
7.0,0.0001687644395733398,0.00016876444003546928,-96.42484380228676,-96.42484380228515,3.899885051521124e-05,3.89988506486534e-05,0.18619052655440935,0.1861905265544135
7.25,0.00017827057577378524,0.00017827057626987775,-96.37801603086221,-96.37801603086055,3.726153439328329e-05,3.726153453154436e-05,0.1884316450059423,0.18843164500594667
7.5,0.00018750085442667674,0.000187500854957937,-96.33062797973183,-96.33062797973011,3.6791990148269596e-05,3.679199029134971e-05,0.19067276408166722,0.19067276408167178
7.75,0.0001967722185071231,0.0001967722190747559,-96.28267964882919,-96.28267964882741,3.7590217810310726e-05,3.759021795820999e-05,0.19291388306442667,0.1929138830644314
8.0,0.00020640161098514048,0.00020640161159035062,-96.23417103826718,-96.23417103826534,3.9656217308524576e-05,3.9656217461243126e-05,0.1951550012370632,0.19515500123706817
8.25,0.00021605551164612197,0.0002160555122901143,-96.18510589765914,-96.18510589765725,3.778345527439297e-05,3.7783455431930925e-05,0.1973661238039676,0.19736612380397275
8.5,0.00022539757227453222,0.0002253975729585116,-96.13548797630645,-96.13548797630449,3.716149706338834e-05,3.716149722574584e-05,0.1995772470764827,0.19957724707648805
8.75,0.0002347404938335782,0.00023474049455874952,-96.08531727412112,-96.0853172741191,3.779034271823731e-05,3.779034288541449e-05,0.20178837034704963,0.20178837034705518
9.0,0.0002443969772846083,0.0002443969780521766,-96.03459379119211,-96.03459379119003,3.966999218134488e-05,3.966999235334185e-05,0.2039994929081095,0.20399949290811528
9.25,0.00025404165830060775,0.000254041659111778,-95.98332125782801,-95.98332125782588,3.769310978269247e-05,3.7693109959509386e-05,0.20618077419129252,0.2061807741912985
9.5,0.00026334635909898836,0.00026334635995496554,-95.93150340403241,-95.93150340403022,3.6950150457353245e-05,3.695015063899023e-05,0.20836205624375997,0.20836205624376616
9.75,0.00027261956045676947,0.0002726195613587586,-95.87914022970024,-95.879140229698,3.744111425840557e-05,3.7441114444862756e-05,0.21054333836750214,0.21054333836750855
10.0,0.0002821697431517246,0.0002821697441009308,-95.82623173490094,-95.82623173489864,3.9166001138804604e-05,3.916600133008213e-05,0.2127246198645093,0.21272461986451593
10.25,0.0002916790722052159,0.00029167907320284427,-95.7727816335585,-95.77278163355614,3.71114840161489e-05,3.711148421224691e-05,0.21487619106904535,0.2148761910690522
10.5,0.0003008269115286085,0.00030082691257586413,-95.71879363929833,-95.7187936392959,3.627408331614587e-05,3.627408351706452e-05,0.21702776309153612,0.21702776309154323
10.75,0.0003099175402370876,0.00030991754133517574,-95.664267752002,-95.66426775199952,3.665379909874689e-05,3.665379930448641e-05,0.21917933524347916,0.2191793352434865
11.0,0.0003192552374488153,0.0003192552385989412,-95.60920397172323,-95.60920397172069,3.82506313278138e-05,3.8250631538374325e-05,0.22133090683637197,0.22133090683637954
11.25,0.000328529157703249,0.0003285291589066179,-95.5536059985159,-95.5536059985133,3.6140792780467694e-05,3.6140792995849395e-05,0.22345287902139369,0.22345287902140148
11.5,0.00033742566488100667,0.0003374256661388239,-95.49747753214143,-95.49747753213877,3.523132673341125e-05,3.523132695361426e-05,0.22557485206040043,0.22557485206040848
11.75,0.0003462448521174455,0.0003462448534309164,-95.44081857247119,-95.44081857246847,3.552223325291985e-05,3.552223347794434e-05,0.22769682527436147,0.22769682527436977
12.0,0.00035528681255238065,0.00035528681392271055,-95.38362911954631,-95.38362911954354,3.7013512308381616e-05,3.7013512538227774e-05,0.22981879798424606,0.2298187979842546
12.25,0.0003642472294765026,0.0003642472309048969,-95.32591286171363,-95.3259128617108,3.486710332771885e-05,3.486710356238681e-05,0.23191126487978542,0.23191126487979422
12.5,0.00037281900434345695,0.00037281900583112127,-95.26767348703319,-95.26767348703031,3.390437587067091e-05,3.3904376110160844e-05,0.234003732654718,0.23400373265472704
12.75,0.00038129805754499256,0.0003812980590931323,-95.20891099536884,-95.2089109953659,3.412533000821813e-05,3.412533025253022e-05,0.23609620063945486,0.23609620063946418
13.0,0.0003899803094786318,0.00038998031108845264,-95.14962538675184,-95.14962538674882,3.552996571556975e-05,3.55299659647042e-05,0.2381886681644071,0.23818866816441667
13.25,0.0003985675763233208,0.00039856757799602827,-95.08982033968023,-95.08982033967716,3.3362674879251255e-05,3.33626751332082e-05,0.24025170861294684,0.24025170861295667
13.5,0.0004067588998427372,0.000406758901579537,-95.02949953237075,-95.02949953236762,3.236241913343357e-05,3.236241939221317e-05,0.24231474995740063,0.24231474995741073
13.75,0.0004148460388206208,0.00041484604062271853,-94.96866296468194,-94.96866296467876,3.2529198551474415e-05,3.252919881507687e-05,0.24437779153759617,0.24437779153760653
14.0,0.0004231207520473378,0.00042312075391593925,-94.90731063663738,-94.90731063663414,3.386301311302914e-05,3.386301338145463e-05,0.24644083269336112,0.24644083269337175
14.25,0.00043129064959707077,0.0004312906515333817,-94.84544621848086,-94.84544621847756,3.168790493838705e-05,3.1687905211635755e-05,0.24847451276402358,0.24847451276403448
14.5,0.0004390605733491099,0.00043906057535433613,-94.78307338018,-94.78307338017665,3.06632227517631e-05,3.06632230298352e-05,0.25050819373971994,0.2505081937397312
14.75,0.00044671812981193266,0.0004467181318872801,-94.72019212158988,-94.72019212158646,3.0788966629603906e-05,3.078896691249962e-05,0.2525418749696734,0.25254187496968505
15.0,0.0004545509255014922,0.00045455092764816674,-94.65680244272826,-94.6568024427248,3.206513655526853e-05,3.206513684298807e-05,0.25457555580310715,0.2545755558031192
15.25,0.0004622720776529548,0.0004622720798721625,-94.5929080069509,-94.59290800694738,2.9893055318515e-05,2.9893055611058666e-05,0.2565799306207788,0.2565799306207912
15.5,0.00046959194049762005,0.00046959194279056686,-94.52851247734226,-94.52851247733868,2.885482212126906e-05,2.885482241863709e-05,0.258584306346461,0.25858430634647384
15.75,0.00047679397605687013,0.00047679397842476226,-94.46361585375551,-94.46361585375188,2.8950437040458638e-05,2.895043734265125e-05,0.26058868233875493,0.26058868233876814
16.0,0.0004841616463600002,0.0004841616488040438,-94.39821813620418,-94.39821813620048,3.0179900062457925e-05,3.0179900369475364e-05,0.2625930579562615,0.2625930579562751
16.25,0.0004914133292618042,0.0004914133317832058,-94.33232298232457,-94.33232298232082,2.801977913398148e-05,2.8019779445823996e-05,0.26456817328443777,0.2645681732844518
16.5,0.0004982646439238362,0.000498264646523802,-94.26593404948652,-94.26593404948271,2.6976954164637554e-05,2.6976954481305388e-05,0.26654328951854056,0.266543289518555
16.75,0.0005049949143473895,0.0005049949170271259,-94.19905133754253,-94.19905133753866,2.705142523161361e-05,2.7051425553107007e-05,0.2685184060265341,0.268518406026549
