case,plant,role,reference_status,predictive_status,predictive_fully_protected,barrier_status,barrier_fully_protected,barrier_external_guard_decisions
bounded_midpoint,hcw,bounded_information_development,validated_violation,validated_containment,True,validated_containment,False,8
bounded_midpoint,nonlinear,bounded_information_development,validated_violation,validated_containment,True,validated_containment,False,8
delayed_midpoint,hcw,bounded_information_development,validated_violation,validated_containment,True,validated_containment,False,8
delayed_midpoint,nonlinear,bounded_information_development,validated_violation,validated_containment,True,validated_containment,False,8
hold,hcw,main_admissible,validated_containment,validated_containment,True,validated_containment,True,0
hold,nonlinear,main_admissible,validated_containment,validated_containment,True,validated_containment,True,0
midpoint,hcw,main_admissible,validated_violation,validated_containment,True,validated_containment,False,8
midpoint,nonlinear,main_admissible,validated_violation,validated_containment,True,validated_containment,False,8
offset,hcw,main_admissible,validated_containment,validated_containment,True,validated_containment,True,0
offset,nonlinear,main_admissible,validated_containment,validated_containment,True,validated_containment,True,0
outward_boundary,hcw,proved_unrecoverable_control,validated_violation,validated_violation,False,validated_violation,False,111
outward_boundary,nonlinear,proved_unrecoverable_control,validated_violation,validated_violation,False,validated_violation,False,111
