time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,0.0,0.0,-97.5,-97.5,0.0,0.0,0.12,0.12
0.25,-8.681230335492704e-06,-8.681230335492669e-06,-97.4693739922327,-97.46937399223265,-6.89776805839372e-05,-6.8977680583937e-05,0.12500806864180805,0.1250080686418082
0.5,-3.454245737948953e-05,-3.454245737948935e-05,-97.43749616250933,-97.43749616250922,-0.00013744012365319886,-0.00013744012365319826,0.13001457560011134,0.1300145756001116
0.75,-7.671371009085608e-05,-7.671371009085559e-05,-97.40436821799116,-97.40436821799099,-0.00019945902896569446,-0.00019945902896569337,0.13500898639266845,0.13500898639266884
1.0,-0.00013274438091422032,-0.00013274438091421934,-97.36999245658001,-97.36999245657978,-0.000248316063572833,-0.0002483160635728313,0.13999710950305314,0.13999710950305363
1.25,-0.00020153189908981797,-0.0002015318990898163,-97.33436836756628,-97.334368367566,-0.0003015128316630481,-0.0003015128316630457,0.14499560762234695,0.1449956076223476
1.5,-0.00028289107954504065,-0.000282891079545038,-97.29749326902159,-97.29749326902125,-0.0003488883192436075,-0.00034888831924360437,0.1500051852020978,0.15000518520209857
1.75,-0.0003764060782332606,-0.00037640607823325676,-97.25936742383594,-97.25936742383554,-0.0003987606222590298,-0.00039876062225902584,0.15500158098532252,0.1550015809853234
2.0,-0.0004820360812357517,-0.00048203608123574646,-97.21999351973682,-97.21999351973636,-0.00044580914015987055,-0.0004458091401598657,0.1599896562435867,0.15998965624358769
2.25,-0.0006012011813469687,-0.0006012011813469615,-97.17937103724792,-97.1793710372474,-0.0005070402248674415,-0.0005070402248674354,0.16499020944069206,0.16499020944069318
2.5,-0.0007344628981168421,-0.0007344628981168326,-97.1374989813968,-97.13749898139623,-0.0005585825018713205,-0.0005585825018713132,0.16998624222784875,0.16998624222785
2.75,-0.0008801044937221102,-0.0008801044937220981,-97.09437857869334,-97.09437857869271,-0.0006060797563826842,-0.0006060797563826756,0.17497698387812283,0.1749769838781242
3.0,-0.0010380983752711413,-0.0010380983752711257,-97.05001033309858,-97.0500103330979,-0.0006574006725863298,-0.0006574006725863199,0.17996898571873463,0.1799689857187361
3.25,-0.001207366952158268,-0.0012073669521582486,-97.00439369092732,-97.00439369092658,-0.0006962770222334466,-0.0006962770222334353,0.18496415531691118,0.18496415531691277
3.5,-0.001385637538220931,-0.0013856375382209076,-96.95752878368077,-96.95752878367998,-0.0007294171452133212,-0.0007294171452133084,0.18995510578008334,0.18995510578008504
3.75,-0.0015710175357656064,-0.0015710175357655787,-96.90941485251858,-96.90941485251773,-0.0007531513451261342,-0.0007531513451261199,0.19495634575536658,0.19495634575536838
4.0,-0.0017640679516114557,-0.0017640679516114231,-96.86005187205281,-96.8600518720519,-0.0007907814435950534,-0.0007907814435950375,0.19994750151881735,0.19994750151881927
4.25,-0.0019659083998964403,-0.0019659083998964017,-96.80944152562557,-96.8094415256246,-0.0008234719251193725,-0.0008234719251193548,0.20493527298140066,0.20493527298140268
4.5,-0.002176620035361405,-0.00217662003536136,-96.75758305260949,-96.75758305260847,-0.0008617500495879676,-0.0008617500495879482,0.209932514756383,0.20993251475638514
4.75,-0.002395044291488592,-0.0023950442914885397,-96.70447476440411,-96.70447476440303,-0.0008851725110816834,-0.0008851725110816623,0.21493379309519953,0.21493379309520178
5.0,-0.002617638047856041,-0.0026176380478559807,-96.65011673122689,-96.65011673122575,-0.0008951064856956245,-0.0008951064856956015,0.21993047325944204,0.2199304732594444
5.25,-0.002844149316591932,-0.002844149316591864,-96.59451072881491,-96.59451072881372,-0.0009165135162555163,-0.0009165135162554914,0.224917548054916,0.22491754805491848
5.5,-0.0030763908639442963,-0.00307639086394422,-96.537655922249,-96.53765592224775,-0.0009409471802866887,-0.0009409471802866617,0.22992090677622257,0.22992090677622515
5.75,-0.003314770747575759,-0.003314770747575674,-96.47954987418215,-96.47954987418085,-0.0009656199043973516,-0.0009656199043973226,0.23492748008488698,0.23492748008488967
6.0,-0.003557165237751706,-0.0035571652377516115,-96.42019452627062,-96.42019452626926,-0.0009730658009966377,-0.0009730658009966065,0.23991530390962143,0.23991530390962423
6.25,-0.0038018041268612474,-0.003801804126861143,-96.35959227149351,-96.35959227149209,-0.0009835751332243005,-0.0009835751332242667,0.2449027352982689,0.2449027352982718
6.5,-0.004047529715143301,-0.004047529715143184,-96.29774196484655,-96.29774196484507,-0.0009817584940751795,-0.0009817584940751429,0.24989971770641484,0.2498997177064179
6.75,-0.0042924736252375,-0.0042924736252373695,-96.23464256471988,-96.23464256471834,-0.000977321822357112,-0.0009773218223570728,0.25489548288887753,0.2548954828888808
7.0,-0.004538435360817044,-0.0045384353608169,-96.17029405855656,-96.17029405855497,-0.0009899009737145425,-0.0009899009737145002,0.25989256760378154,0.25989256760378504
7.25,-0.004786078340368585,-0.004786078340368426,-96.10469649491351,-96.10469649491186,-0.0009907719356874215,-0.0009907719356873762,0.2648879416229689,0.26488794162297263
7.5,-0.005032472392792986,-0.005032472392792812,-96.03785075271433,-96.03785075271263,-0.0009799100581357248,-0.0009799100581356762,0.2698779949466478,0.26987799494665177
7.75,-0.005275320925490299,-0.005275320925490108,-95.9697552020633,-95.96975520206153,-0.0009624060462802753,-0.0009624060462802239,0.27488640861159147,0.2748864086115957
8.0,-0.0055150902857759015,-0.005515090285775694,-95.9004096619377,-95.90040966193588,-0.0009552782726858946,-0.0009552782726858401,0.27987791172142096,0.2798779117214254
8.25,-0.005753833878353717,-0.005753833878353492,-95.82981513989562,-95.82981513989374,-0.0009541990701008859,-0.0009541990701008282,0.28487826451371745,0.2848782645137221
8.5,-0.005990536574397327,-0.005990536574397084,-95.757972216666,-95.75797221666407,-0.0009389523726299609,-0.0009389523726298999,0.28986511988596697,0.28986511988597186
8.75,-0.006223549565342262,-0.006223549565341999,-95.6848799121077,-95.68487991210571,-0.0009246794167762892,-0.0009246794167762247,0.2948733152349555,0.29487331523496063
9.0,-0.006451271983286621,-0.0064512719832863375,-95.61053610652142,-95.61053610651938,-0.0008966282010834331,-0.0008966282010833651,0.2998771268108125,0.29987712681081785
9.25,-0.006672119470642521,-0.006672119470642216,-95.53494114152025,-95.53494114151815,-0.0008696798151915653,-0.0008696798151914937,0.30488259065812323,0.3048825906581288
9.5,-0.0068850837929324855,-0.0068850837929321585,-95.45809714571497,-95.4580971457128,-0.0008335646406558543,-0.0008335646406557788,0.30986937237941453,0.30986937237942036
9.75,-0.007088770838746161,-0.007088770838745812,-95.38000578191651,-95.38000578191428,-0.0007954610946377884,-0.0007954610946377089,0.31486153441609566,0.3148615344161017
10.0,-0.00728375471411564,-0.007283754714115266,-95.30066574328654,-95.30066574328426,-0.0007639387972171841,-0.0007639387972171005,0.31985877165192483,0.31985877165193116
10.25,-0.0074723487082108955,-0.0074723487082104965,-95.22007770431026,-95.22007770430791,-0.0007443430305934076,-0.0007443430305933198,0.3248455383111113,0.32484553831111784
10.5,-0.007654409454024766,-0.007654409454024341,-95.13824026598613,-95.13824026598373,-0.0007116707677821509,-0.0007116707677820586,0.32985396520181215,0.329853965201819
