time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,0.0,0.0,-97.5,-97.5,0.0,0.0,0.12,0.12
0.25,-8.681146204566207e-06,-8.681146204144749e-06,-97.46937399223273,-97.46937399223268,-6.897700760700536e-05,-6.897700760363379e-05,0.12500806864160804,0.12500806864160818
0.5,-3.454212092697929e-05,-3.4542120925173015e-05,-97.43749616250948,-97.43749616250936,-0.0001374387781308069,-0.00013743877812310033,0.130014575599331,0.13001457559933127
0.75,-7.671295323616965e-05,-7.671295323189475e-05,-97.40436821799162,-97.40436821799145,-0.00019945701134688247,-0.00019945701133484083,0.13500898639092795,0.13500898639092834
1.0,-0.00013274303569113516,-0.0001327430356833078,-97.36999245658106,-97.36999245658083,-0.0002483133743235115,-0.00024831337430713466,0.1399971094999731,0.1399971094999736
1.25,-0.00020152979838669095,-0.00020152979837422729,-97.33436836756833,-97.33436836756805,-0.00030150947715395593,-0.0003015094771332439,0.14499560761738556,0.1449956076173862
1.5,-0.0002828880571090887,-0.0002828880570909048,-97.29749326902514,-97.2974932690248,-0.00034888429997487327,-0.00034888429994982587,0.15000518519487993,0.15000518519488068
1.75,-0.0003764019679389206,-0.0003764019679139326,-97.25936742384161,-97.25936742384121,-0.0003987559387482808,-0.00039875593871889796,0.15500158097547345,0.15500158097547434
2.0,-0.0004820307170889382,-0.00048203071705606225,-97.21999351974533,-97.21999351974488,-0.00044580379294129155,-0.0004458037929075732,0.15998965623073222,0.15998965623073325
2.25,-0.0006011943982707878,-0.0006011943982289397,-97.17937103726008,-97.17937103725957,-0.0005070342207443943,-0.00050703422070634,0.16499020942427767,0.16499020942427883
2.5,-0.0007344545319558659,-0.0007344545319039617,-97.13749898141356,-97.13749898141299,-0.0005585758414121537,-0.0005585758413697634,0.16998624220750475,0.16998624220750605
2.75,-0.0008800943804650665,-0.0008800943804021425,-97.09437857871572,-97.0943785787151,-0.0006060724401722879,-0.0006060724401265249,0.17497698385347998,0.17497698385348143
3.0,-0.0010380863510551577,-0.0010380863509803703,-97.0500103331277,-97.05001033312702,-0.0006573927012270076,-0.0006573927011778718,0.17996898568942427,0.17996898568942588
3.25,-0.001207352854091102,-0.001207352854003608,-97.0043936909644,-97.00439369096367,-0.0006962684028879466,-0.0006962684028354379,0.1849641552823893,0.18496415528239107
3.5,-0.0013856212043852094,-0.0013856212042841053,-96.95752878372718,-96.95752878372639,-0.0007294078785178282,-0.0007294078784614648,0.18995510573998595,0.1899551057399879
3.75,-0.0015709988044051622,-0.0015709988042894845,-96.90941485257575,-96.9094148525749,-0.0007531414317341136,-0.0007531414316738953,0.19495634570933018,0.19495634570933226
4.0,-0.0017640466611355892,-0.001764046661004374,-96.86005187212227,-96.86005187212136,-0.0007907708841767731,-0.0007907708841127,0.1999475014664789,0.19994750146648116
