time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,0.0,0.0,-97.5,-97.5,0.0,0.0,0.12,0.12
0.25,-7.657952669806637e-06,-7.65795266938518e-06,-97.46941140369832,-97.46941140369826,-6.0819676627431305e-05,-6.081967662405977e-05,0.12470877614783686,0.12470877614783692
0.5,-3.0477564113467486e-05,-3.047756411166125e-05,-97.4376458091369,-97.43764580913678,-0.00012129342028632856,-0.00012129342027862214,0.12941598604520865,0.12941598604520885
0.75,-6.763118950855367e-05,-6.763118950427886e-05,-97.40470492460682,-97.40470492460665,-0.0001754929313896984,-0.000175492931377657,0.1341110953056472,0.1341110953056475
1.0,-0.00011671054768040814,-0.00011671054767258102,-97.3705910491157,-97.37059104911548,-0.00021669987762992722,-0.0002166998776135508,0.13879991250849968,0.1387999125085001
1.25,-0.00017663980345820692,-0.00017663980344574364,-97.3353036726105,-97.33530367261021,-0.0002622911358980688,-0.00026229113587735716,0.1434991038317376,0.14349910383173817
1.5,-0.0002472605071917888,-0.0002472605071736054,-97.29884011380712,-97.29884011380678,-0.0003022304188129152,-0.0003022304187878683,0.1482093703610099,0.1482093703610106
1.75,-0.0003281991412003701,-0.0003281991411753827,-97.26120063664723,-97.26120063664683,-0.0003448358229307558,-0.0003448358229013735,0.1529064509351068,0.15290645093510763
2.0,-0.00041945721808215653,-0.00041945721804928135,-97.22238792988603,-97.22238792988557,-0.00038478674829907247,-0.0003847867482653547,0.15759520692136766,0.15759520692136864
2.25,-0.0005224716803566194,-0.0005224716803147722,-97.18240147433309,-97.18240147433258,-0.0004388857313632445,-0.0004388857313251912,0.16229644260284143,0.16229644260284254
2.5,-0.0006378208968999438,-0.0006378208968480409,-97.14124027529716,-97.1412402752966,-0.0004834652109887857,-0.0004834652109463967,0.16699315388774333,0.16699315388774458
2.75,-0.000763830456027048,-0.0007638304559640053,-97.09890556027281,-97.09890556027219,-0.0005241689729599255,-0.0005241689729132006,0.17168457014491229,0.1716845701449137
3.0,-0.0009005150911259936,-0.0009005150910508476,-97.05539783418182,-97.05539783418114,-0.0005688657020205194,-0.0005688657019704217,0.17637724279734193,0.1763772427973435
