time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,0.0,0.0,-97.5,-97.5,0.0,0.0,0.12,0.12
0.25,5.631081086180647e-07,5.63108109039493e-07,-97.46969083068977,-97.46969083068971,4.738054079450002e-06,4.738054082821423e-06,0.12247335403531008,0.12247335403531015
0.5,2.195923262767534e-06,2.195923264633863e-06,-97.43876352325375,-97.43876352325364,8.557505404374841e-06,8.557505412562606e-06,0.12494510509290285,0.12494510509290299
0.75,5.409955710057369e-06,5.409955714572694e-06,-97.40721979507542,-97.40721979507525,1.7386648426185866e-05,1.738664843919003e-05,0.12740471950163806,0.1274047195016383
1.0,1.2297350778929837e-05,1.2297350787298275e-05,-97.37506195407595,-97.37506195407572,3.7943810416920345e-05,3.7943810434741003e-05,0.12985800655619384,0.1298580065561942
1.25,1.9632800986789802e-05,1.9632801000215494e-05,-97.34229681592018,-97.3422968159199,2.09665459154696e-05,2.096654593810679e-05,0.13226310029078914,0.1322631002907896
1.5,2.326809306802891e-05,2.326809308771599e-05,-97.30892902185612,-97.30892902185577,8.343587495676564e-06,8.343587523130345e-06,0.13467925341199347,0.13467925341199405
1.75,2.3252327111343804e-05,2.325232713849643e-05,-97.27495883968854,-97.27495883968814,-8.243163574868403e-06,-8.243163542597945e-06,0.13708220549266747,0.13708220549266817
2.0,1.9259572395093617e-05,1.925957243091597e-05,-97.24038896185219,-97.24038896185174,-2.3473109418311736e-05,-2.347310938122452e-05,0.13947681863422212,0.13947681863422293
2.25,2.0109955820480278e-06,2.0109956277443253e-06,-97.20523102867196,-97.20523102867145,-0.00011429773523794328,-0.00011429773519603908,0.14178665537083085,0.1417866553708318
2.5,-3.692283257855137e-05,-3.6922832521776814e-05,-97.1694961991162,-97.16949619911563,-0.0001969555482375107,-0.00019695554819078938,0.14409198886854777,0.14409198886854885
2.75,-9.620567267665478e-05,-9.620567260765783e-05,-97.13318569529437,-97.13318569529375,-0.00027709033114633335,-0.0002770903310952763,0.14639204926140562,0.14639204926140684
3.0,-0.00017619042959822912,-0.00017619042951592576,-97.09630001655192,-97.09630001655124,-0.0003625707655461618,-0.00036257076549076896,0.14869338873759005,0.14869338873759144
3.25,-0.0002658549689924862,-0.0002658549688957923,-97.05883574445666,-97.05883574445592,-0.00035452613561591967,-0.0003545261355561911,0.1510207872662755,0.15102078726627702
3.5,-0.0003529799025371792,-0.0003529799024250109,-97.02079015333574,-97.02079015333494,-0.0003422543185891952,-0.00034225431852513076,0.153343940544361,0.1533439405443627
3.75,-0.00043604989288899444,-0.0004360498927602677,-96.98216249077096,-96.98216249077011,-0.0003220856217062121,-0.00032208562163781176,0.1556773580726016,0.15567735807260347
4.0,-0.0005160032081123257,-0.0005160032079659564,-96.94295273758318,-96.94295273758227,-0.00031732187011026885,-0.00031732187003753244,0.1580006669806953,0.1580006669806973
4.25,-0.0005995062939673896,-0.0005995062938022937,-96.9031593579865,-96.90315935798553,-0.0003504816757248636,-0.000350481675647791,0.16034637291939927,0.16034637291940146
4.5,-0.0006921847054423098,-0.0006921847052574032,-96.86277836811352,-96.86277836811249,-0.0003907235836072795,-0.00039072358352587063,0.1627015498586877,0.16270154985869004
4.75,-0.000793253490833988,-0.000793253490628307,-96.82180807908608,-96.82180807908499,-0.00041760428768862197,-0.0004176042876038399,0.1650607648953865,0.165060764895389
5.0,-0.0008995431444828685,-0.0008995431442555699,-96.78024856063257,-96.78024856063142,-0.00043249096379569614,-0.00043249096370754085,0.16741538413647816,0.16741538413648083
5.25,-0.001013753820874054,-0.0010137538206242938,-96.73811425129264,-96.73811425129144,-0.0004809829273844115,-0.0004809829272928828,0.16965909515506386,0.1696590951550667
5.5,-0.0011406599800373226,-0.0011406599797642578,-96.69541697679124,-96.69541697678997,-0.0005340532912614109,-0.0005340532911665085,0.17191910585988324,0.17191910585988623
5.75,-0.0012810576210567956,-0.0012810576207595223,-96.65215429573153,-96.65215429573021,-0.000588914479752174,-0.0005889144796534162,0.1741823477902697,0.17418234779027286
6.0,-0.0014332109550330146,-0.001433210954710569,-96.6083281455005,-96.60832814549912,-0.0006281006028578413,-0.0006281006027552279,0.17642685775274228,0.1764268577527456
6.25,-0.0015943415262030425,-0.0015943415258544604,-96.56393876606559,-96.56393876606415,-0.0006607307935929794,-0.0006607307934865105,0.17868818080310753,0.17868818080311102
6.5,-0.0017622817654069803,-0.001762281765031298,-96.51898286024488,-96.51898286024338,-0.0006825770465235966,-0.0006825770464132721,0.18095906782252577,0.18095906782252946
6.75,-0.001935548803444429,-0.0019355488030406826,-96.47345938308207,-96.47345938308052,-0.0007033452985721744,-0.0007033452984579941,0.18322875143811754,0.18322875143812142
7.0,-0.0021163276516617665,-0.0021163276512289908,-96.42736831845576,-96.42736831845416,-0.0007426714033742006,-0.0007426714032561642,0.1854997692803085,0.1854997692803126
7.25,-0.002306937517122449,-0.00230693751665968,-96.38071900196725,-96.38071900196559,-0.0007820006053750146,-0.0007820006052531222,0.18769476633603666,0.18769476633604093
7.5,-0.0025061110243890534,-0.0025061110238953277,-96.33352159840673,-96.33352159840501,-0.0008111810387377353,-0.0008111810386119866,0.18988446489948557,0.18988446489949
7.75,-0.0027119475981863803,-0.0027119475976607335,-96.28577447221568,-96.28577447221389,-0.0008353034054871012,-0.0008353034053574962,0.19209254690351013,0.19209254690351477
8.0,-0.0029253096023397337,-0.0029253096017812018,-96.23747743648453,-96.23747743648268,-0.0008713860748654201,-0.0008713860747319586,0.19428374234781126,0.1942837423478161
8.25,-0.0031410258112685146,-0.0031410258106761334,-96.18862612389819,-96.18862612389628,-0.000854132158551472,-0.000854132158414154,0.19652675671641673,0.19652675671642175
8.5,-0.003350852415150302,-0.003350852414523107,-96.13921574583719,-96.13921574583523,-0.0008242705069136512,-0.0008242705067724766,0.19875626495637716,0.19875626495638238
8.75,-0.0035535305454607526,-0.0035535305447977803,-96.08924532422726,-96.08924532422523,-0.0007969423576312703,-0.000796942357486239,0.20100710534680882,0.20100710534681424
9.0,-0.0037478492746165887,-0.0037478492739168746,-96.03871274121536,-96.03871274121327,-0.0007573957102996943,-0.000757395710150806,0.20325355502017192,0.20325355502017753
9.25,-0.003938498493217766,-0.003938498492480343,-95.98763329300087,-95.98763329299872,-0.0007675973951712838,-0.0007675973950185386,0.20538203165781446,0.20538203165782026
9.5,-0.004130755493743931,-0.0041307554929678365,-95.93602405811943,-95.93602405811723,-0.0007702597252944673,-0.000770259725137865,0.2074918476449221,0.2074918476449281
9.75,-0.004323633022874522,-0.004323633022058791,-95.88388669389802,-95.88388669389576,-0.0007725611147364684,-0.0007725611145760089,0.20960706634351536,0.20960706634352155
10.0,-0.004518112043941395,-0.004518112043085063,-95.83121988778423,-95.83121988778191,-0.0007830711803511901,-0.0007830711801868732,0.21172738355796208,0.2117273835579685
10.25,-0.004716858430251639,-0.004716858429353741,-95.77801449444128,-95.7780144944389,-0.0008066936201953013,-0.0008066936200271268,0.21391576541296473,0.21391576541297136
10.5,-0.004920073996014103,-0.004920073995073676,-95.72425929485824,-95.72425929485581,-0.0008188225721993867,-0.0008188225720273545,0.21612583239504418,0.216125832395051
10.75,-0.005125905510221386,-0.005125905509237465,-95.66995327264105,-95.66995327263857,-0.0008276224859772357,-0.0008276224858013456,0.21832234617239155,0.21832234617239857
11.0,-0.005334036684032459,-0.005334036683004079,-95.61509691234271,-95.61509691234016,-0.0008372189370299038,-0.0008372189368501556,0.22052853711929957,0.2205285371193068
11.25,-0.005537075106581813,-0.00553707510550801,-95.55970450262404,-95.55970450262143,-0.0007868921651213564,-0.0007868921649377501,0.2226107358854582,0.22261073588546568
11.5,-0.005729693788766838,-0.0057296937876466485,-95.5037910596166,-95.50379105961392,-0.0007538606475449791,-0.0007538606473575144,0.2246968050601088,0.22469680506011652
11.75,-0.005913859760723256,-0.005913859759555713,-95.44735491850604,-95.4473549185033,-0.0007192695913360613,-0.000719269591144738,0.2267923205633886,0.22679232056339654
12.0,-0.006089326028755256,-0.006089326027539397,-95.39039533157104,-95.39039533156824,-0.0006842633413891035,-0.0006842633411939215,0.2288843716163707,0.2288843716163789
12.25,-0.006258893080963675,-0.006258893079698534,-95.33291199230632,-95.33291199230347,-0.0006720753057879154,-0.0006720753055888747,0.23098234135247916,0.23098234135248757
12.5,-0.006425891070031722,-0.006425891068716335,-95.27490413979801,-95.2749041397951,-0.0006637108201267048,-0.0006637108199238051,0.2330804779255821,0.23308047792559072
12.75,-0.006591075095793076,-0.006591075094426477,-95.21637311022398,-95.21637311022101,-0.0006575646225937056,-0.0006575646223869469,0.235167758087362,0.23516775808737087
13.0,-0.006753932433591655,-0.006753932432172881,-95.15731760723995,-95.15731760723692,-0.0006450953148203102,-0.0006450953146096924,0.23727626460955717,0.23727626460956625
13.25,-0.006920103100648091,-0.006920103099176176,-95.09773901813502,-95.09773901813192,-0.0006840743042623924,-0.0006840743040479152,0.23935245190511303,0.23935245190512236
13.5,-0.007097306068482877,-0.007097306066956856,-95.03763945952109,-95.03763945951793,-0.0007333522725472622,-0.0007333522723289254,0.24144402165243395,0.24144402165244352
13.75,-0.007284530978479735,-0.007284530976898644,-94.97701791695357,-94.97701791695036,-0.0007642505285453526,-0.0007642505283231562,0.24352832180104808,0.2435283218010579
14.0,-0.0074790309334366225,-0.007479030931799496,-94.91587434513602,-94.91587434513275,-0.0007915519137148013,-0.0007915519134887452,0.24562025531356754,0.24562025531357762
14.25,-0.007672815561516696,-0.00767281555982257,-94.85421992381096,-94.85421992380763,-0.0007585370658579993,-0.0007585370656280831,0.2476151121744467,0.24761511217445703
14.5,-0.007856717715528726,-0.007856717713776629,-94.79206478743959,-94.7920647874362,-0.0007124906105903806,-0.0007124906103566043,0.24962597445551282,0.2496259744555234
14.75,-0.008030781772657902,-0.008030781770846871,-94.72940896660046,-94.72940896659702,-0.0006798338210508781,-0.0006798338208132414,0.2516205891788074,0.25162058917881835
15.0,-0.008195442241555726,-0.008195442239684795,-94.66625463718667,-94.66625463718317,-0.0006372620127696613,-0.0006372620125281639,0.25361404211807514,0.25361404211808647
15.25,-0.008353526259914323,-0.008353526257982528,-94.6025935213928,-94.60259352138925,-0.0006272158622863228,-0.0006272158620409647,0.2556748832858455,0.2556748832858572
15.5,-0.008509074679699842,-0.008509074677706218,-94.53841856539462,-94.53841856539101,-0.0006169782571630616,-0.0006169782569138425,0.2577247637346411,0.2577247637346532
15.75,-0.008663385952558812,-0.008663385950502393,-94.47373124937778,-94.47373124937411,-0.0006173187696204419,-0.0006173187693673615,0.2597737644324635,0.259773764432476
16.0,-0.008816704637427312,-0.008816704635307133,-94.40853121280708,-94.40853121280335,-0.0006090371983771305,-0.0006090371981201886,0.2618265273525585,0.2618265273525714
16.25,-0.00896423466214004,-0.008964234659955135,-94.34282638373571,-94.34282638373193,-0.0005710158220312366,-0.000571015821770433,0.2638121016338587,0.2638121016338719
16.5,-0.009102436957406942,-0.009102436955156347,-94.27662762209982,-94.27662762209599,-0.0005344172175063821,-0.0005344172172417164,0.2657779880028955,0.2657779880029091
16.75,-0.009231870092834755,-0.009231870090517503,-94.20993673753222,-94.20993673752832,-0.0005008620506202446,-0.0005008620503517166,0.2677490853745471,0.26774908537456105
17.0,-0.00935365765696544,-0.009353657654580566,-94.14275402913186,-94.1427540291279,-0.0004732533627712049,-0.00047325336249881474,0.26971257922556663,0.26971257922558095
17.25,-0.009476200149625795,-0.009476200147172334,-94.07508221159563,-94.0750822115916,-0.0005069028091686025,-0.0005069028088923496,0.2716619642370021,0.27166196423701683
17.5,-0.009604694518592905,-0.00960469451606989,-94.00692275336334,-94.00692275335926,-0.0005208681522713342,-0.0005208681519912184,0.27361370293814685,0.27361370293816195
17.75,-0.009737768910091225,-0.009737768907497692,-93.93827367687233,-93.93827367686819,-0.0005435417202412167,-0.0005435417199572378,0.27557891112781774,0.2755789111278332
18.0,-0.009877011021902131,-0.009877011019237113,-93.86913275533482,-93.86913275533061,-0.0005702095061702699,-0.0005702095058824277,0.2775484636868023,0.2775484636868182
18.25,-0.010023194823803724,-0.010023194821066256,-93.79951375030382,-93.79951375029955,-0.0005990860312585514,-0.0005990860309668456,0.2794035792839374,0.27940357928395365
18.5,-0.010179030585147871,-0.010179030582336986,-93.72943063217484,-93.72943063217052,-0.0006474249310154159,-0.0006474249307198461,0.281261370305503,0.2812613703055197
18.75,-0.010345564809861943,-0.010345564806976675,-93.65888329200286,-93.65888329199848,-0.0006846739102714764,-0.0006846739099720424,0.28311735458247295,0.28311735458249
19.0,-0.010520563907075694,-0.010520563904115076,-93.58786935926376,-93.58786935925933,-0.00071514195403435,-0.0007151419537310516,0.2849941102029899,0.2849941102030074
19.25,-0.010695071320621021,-0.01069507131758409,-93.51637846583337,-93.51637846582888,-0.0006807345795965357,-0.0006807345792893727,0.2869330339964352,0.2869330339964531
19.5,-0.010862527488538594,-0.01086252748542438,-93.44440416762465,-93.44440416762009,-0.0006587329880311547,-0.0006587329877201268,0.288861349599239,0.2888613495992573
19.75,-0.011023852240377061,-0.011023852237184599,-93.37194589106213,-93.3719458910575,-0.0006316818173765711,-0.000631681817061678,0.29080486035081043,0.29080486035082914
20.0,-0.01117795748226186,-0.011177957478990185,-93.2990017726547,-93.29900177265003,-0.000600976934314504,-0.0006009769339957455,0.29274808401386754,0.29274808401388663
20.25,-0.01132753121943929,-0.011327531216087434,-93.22558428864075,-93.22558428863601,-0.0005954391618038224,-0.0005954391614811982,0.29459178757591026,0.29459178757592974
20.5,-0.011476721984242004,-0.011476721980809002,-93.15170611371987,-93.15170611371508,-0.0005979133324202382,-0.0005979133320937481,0.296433612024555,0.29643361202457486
20.75,-0.011625569216915741,-0.011625569213400626,-93.07736777486649,-93.07736777486163,-0.0005926911251612101,-0.0005926911248308538,0.29827309831040627,0.29827309831042653
21.0,-0.011773810884478084,-0.011773810880879887,-93.00256906519478,-93.00256906518985,-0.0005930684348291194,-0.0005930684344948967,0.3001165790991162,0.3001165790991369
21.25,-0.011921890671927116,-0.011921890668244874,-92.92731415575491,-92.92731415574991,-0.0005913996068929983,-0.0005913996065549089,0.3019226962627303,0.30192269626275137
21.5,-0.012070170172856436,-0.01207017016908918,-92.85160623003789,-92.85160623003283,-0.0005946650211092652,-0.000594665020767309,0.30374070978158013,0.3037407097816016
21.75,-0.012220277491823958,-0.012220277487970723,-92.77544403876108,-92.77544403875596,-0.000606022330794363,-0.0006060223304485396,0.3055568215038673,0.3055568215038892
22.0,-0.012373047817618735,-0.012373047813678553,-92.69882923180522,-92.69882923180003,-0.0006159701413496001,-0.0006159701409999092,0.3073616350811515,0.3073616350811738
22.25,-0.012528092328274065,-0.012528092324245971,-92.6217674327804,-92.62176743277514,-0.0006242189864273307,-0.0006242189860737721,0.30913275789538014,0.3091327578954029
22.5,-0.012686686763819243,-0.012686686759702269,-92.54426350271312,-92.5442635027078,-0.000644370030934659,-0.0006443700305772323,0.31089868454291897,0.3108986845429421
22.75,-0.012848234930040725,-0.012848234925833904,-92.4663179312383,-92.46631793123292,-0.0006478487119721088,-0.0006478487116108138,0.31266588758385955,0.31266588758388314
23.0,-0.01301282038905067,-0.013012820384753035,-92.38793138781645,-92.38793138781101,-0.0006686689987027434,-0.0006686689983375799,0.3144264617540679,0.31442646175409195
23.25,-0.013173585993755673,-0.013173585989366257,-92.30909873816252,-92.30909873815702,-0.0006172853802386408,-0.0006172853798696083,0.31623473063311514,0.3162347306331396
23.5,-0.013319837576232674,-0.013319837571750509,-92.2298136778661,-92.22981367786053,-0.0005525565596512761,-0.0005525565592783744,0.31804574563576493,0.31804574563578986
23.75,-0.013449138240242837,-0.013449138235666956,-92.15007677994575,-92.15007677994012,-0.0004816787208307926,-0.00048167872045402156,0.31984943104489105,0.3198494310449164
24.0,-0.013562230851775095,-0.01356223084710453,-92.06988791795769,-92.06988791795199,-0.00042289135066580813,-0.00042289135028516757,0.32166145931737766,0.3216614593174035
24.25,-0.013669229528004711,-0.013669229523238496,-91.98925096097405,-91.98925096096828,-0.00043293094172706644,-0.0004329309413425562,0.32343419749850916,0.3234341974985354
24.5,-0.013777305033435605,-0.013777305028572771,-91.90817180295089,-91.90817180294506,-0.00043150672635477544,-0.00043150672596639514,0.32519906655270453,0.32519906655273123
24.75,-0.013885596158440296,-0.013885596153479875,-91.82664942114884,-91.82664942114296,-0.00043465438490906906,-0.0004346543845168185,0.3269799881606443,0.3269799881606714
25.0,-0.013993479357520069,-0.013993479352461095,-91.7446829990463,-91.74468299904036,-0.00042824421660337135,-0.0004282442162072502,0.32875138805552656,0.32875138805555415
25.25,-0.014096225335938802,-0.014096225330780306,-91.66228465561153,-91.66228465560552,-0.0003935648619178901,-0.00039356486151789804,0.33043535615333697,0.33043535615336506
25.5,-0.014189371738177324,-0.01418937173291834,-91.57946664703772,-91.57946664703164,-0.0003514486064885613,-0.00035144860608469803,0.33210870846668133,0.33210870846670987
25.75,-0.014273016888037494,-0.014273016882677052,-91.49622962401064,-91.4962296240045,-0.0003175543311465151,-0.0003175543307387803,0.33378747255456853,0.33378747255459756
26.0,-0.014348829208775088,-0.014348829203312222,-91.41257184518037,-91.41257184517417,-0.00028878516910458527,-0.0002887851686929786,0.3354747553754308,0.3354747553754603
26.25,-0.014416000413159925,-0.014416000407593665,-91.32848565445195,-91.32848565444569,-0.00024842042767511403,-0.00024842042725963523,0.33721476664649946,0.33721476664652944
26.5,-0.014471760330070391,-0.014471760324399771,-91.24396540442436,-91.24396540441803,-0.00019749557922211445,-0.00019749557880276326,0.33894722877322986,0.33894722877326033
26.75,-0.014514626295508344,-0.014514626289732397,-91.15901245722003,-91.15901245721363,-0.00014526912938622088,-0.00014526912896299703,0.3406763439376883,0.34067634393771923
27.0,-0.014544362875957017,-0.014544362870074773,-91.0736266537646,-91.07362665375814,-9.246006166713103e-05,-9.246006124003426e-05,0.342410078727076,0.34241007872710744
27.25,-0.01456592956880902,-0.014565929562819512,-90.98781289746668,-90.98781289746015,-7.99141608528365e-05,-7.991416042186657e-05,0.3440999704737312,0.34409997047376306
27.5,-0.014583310339231685,-0.014583310333133943,-90.90157670519665,-90.90157670519004,-5.8972709518338034e-05,-5.8972709083494684e-05,0.34578956571246855,0.34578956571250086
27.75,-0.014595673034748353,-0.014595673028541409,-90.81491661100212,-90.81491661099544,-3.97684270712934e-05,-3.976842663257633e-05,0.34749118603338514,0.34749118603341794
28.0,-0.014602005455325149,-0.014602005449008033,-90.72782993210893,-90.72782993210218,-1.0729619402029774e-05,-1.072961895943867e-05,0.3492022423745441,0.34920224237457737
28.25,-0.0146018211598662,-0.014601821153437946,-90.64032054515347,-90.64032054514666,1.2361488832233947e-05,1.2361489278699352e-05,0.35087285109228006,0.3508728510923138
28.5,-0.014596637463929973,-0.014596637457389611,-90.55239524192932,-90.55239524192244,2.9264275969364788e-05,2.9264276419704827e-05,0.3525295731076014,0.35252957310763566
28.75,-0.014586256185735634,-0.014586256179082196,-90.46405417636862,-90.46405417636167,5.3943340747448326e-05,5.394334120166337e-05,0.35419894905150207,0.3541989490515368
29.0,-0.014569674938838116,-0.014569674932070632,-90.37529748040096,-90.37529748039395,7.886273412650101e-05,7.886273458459139e-05,0.3558546163405728,0.35585461634060805
29.25,-0.014548785192335921,-0.014548785185453423,-90.28613863118177,-90.28613863117471,8.840246580246826e-05,8.840246626443429e-05,0.3574161765137256,0.35741617651376134
29.5,-0.014526597014801808,-0.014526597007803326,-90.19658946345417,-90.19658946344705,8.925012871143198e-05,8.925012917727395e-05,0.35897716522730544,0.3589771652273417
29.75,-0.014502798451262655,-0.014502798444147222,-90.10665059830633,-90.10665059829914,0.00010128513934834057,0.00010128513981805884,0.36053375482100664,0.3605337548210434
