time_s,x_m,y_m,vx_mps,vy_mps
0.0,0.0,-97.5,0.0,0.12
0.25,8.407356644312874e-06,-97.46999875856761,6.725979024528258e-05,0.12000992511782037
0.5,3.33406650792138e-05,-97.43999524062689,0.00013220746254190117,0.12001821228456365
0.75,7.496305614119882e-05,-97.4099911722061,0.0002007713064592162,0.1200143286173793
1.0,0.0001350182945410925,-97.37998886967421,0.00027966964449927634,0.12000408419923793
1.25,0.00019807838739858787,-97.34940240698643,0.00022525267503240522,0.12468762243343141
1.5,0.00024823951251365416,-97.31764367464845,0.00017647894514352512,0.12938224086868688
1.75,0.00028587300371368845,-97.2847129353526,0.00012503035899997608,0.13406367834873595
2.0,0.00031097516472793134,-97.25061287660343,7.622751727730422e-05,0.13873679624585888
2.25,0.00032246702070326956,-97.21534497943105,1.6147583951016766e-05,0.14340638679750195
2.5,0.00032012666103401773,-97.17891024963482,-3.4430636335716075e-05,0.14807145634092736
2.75,0.000305624049867451,-97.14130991386092,-8.115092887119474e-05,0.1527312342550375
3.0,0.0002789400064018045,-97.1025444761803,-0.000131881977902373,0.1573922719728892
3.25,0.0002405246846073805,-97.06261339924708,-0.00017500087096657807,0.16205634755819345
3.5,0.00019202332170438371,-97.0215168304374,-0.00021257070593583884,0.16671620646136848
3.75,0.00013528172328724887,-96.97925401028444,-0.00024092178605596162,0.17138635743540775
4.0,6.969209052819011e-05,-96.93582491274732,-0.0002833559325807664,0.17604642686224564
4.25,-5.961546698066064e-06,-96.8912312219701,-0.0003214341433300796,0.1807031029455542
4.5,-9.185670014208558e-05,-96.84547217806347,-0.00036528717080286366,0.18536925244195093
4.75,-0.0001868815966754727,-96.79854609163857,-0.0003944717086339744,0.19003944170875198
5.0,-0.0002875399091522599,-96.75045303209798,-0.0004103549324575536,0.19470503611342985
5.25,-0.00039310384081272246,-96.7011947594209,-0.0004337175569519359,0.19936114750573866
5.5,-0.0005049103376129026,-96.650770423298,-0.00046029391920725195,0.20403354398304785
