time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,0.0,0.0,-30.0,-30.0,0.0,0.0,0.0,0.0
0.25,-1.342031664391677e-30,-1.3420316631576781e-30,-30.000000000000007,-29.999999999999993,-1.0736253238625375e-29,-1.073625323862048e-29,3.036659743573473e-33,3.0366597463656847e-33
0.5,-5.368126548971589e-30,-5.368126546502359e-30,-30.000000000000014,-29.999999999999986,-2.1472505618356873e-29,-2.1472505618347076e-29,1.2146638734153735e-32,1.2146638739740943e-32
0.75,-1.2078284331654537e-29,-1.2078284327948845e-29,-30.00000000000002,-29.99999999999998,-3.220875628030069e-29,-3.220875628028597e-29,2.732993624294787e-32,2.732993625133288e-32
1.0,-2.1472504475631887e-29,-2.1472504470688493e-29,-30.00000000000003,-29.99999999999997,-4.294500436556313e-29,-4.294500436554349e-29,4.85865510553011e-32,4.8586551066486706e-32
1.25,-3.166586788175016e-29,-3.166586787556783e-29,-30.000000000000036,-29.999999999999964,-3.8601902443234425e-29,-3.860190244320987e-29,7.050136736374549e-32,7.05013673777345e-32
1.5,-4.0773455495351925e-29,-4.077345548792942e-29,-30.000000000000043,-29.999999999999957,-3.4258798083338627e-29,-3.425879808330915e-29,8.995936262228457e-32,8.995936263907977e-32
1.75,-4.879526675047612e-29,-4.8795266741812215e-29,-30.00000000000005,-29.99999999999995,-2.9915691633321503e-29,-2.9915691633287104e-29,1.0696053555029938e-31,1.069605355699036e-31
2.0,-5.573130116802316e-29,-5.57313011581166e-29,-30.000000000000057,-29.999999999999943,-2.5572583440628994e-29,-2.557258344058967e-29,1.2150488506371534e-31,1.2150488508613136e-31
2.25,-6.162357347071107e-29,-6.162357345956064e-29,-30.000000000000064,-29.999999999999936,-2.1565594827335416e-29,-2.1565594827291174e-29,1.3308056710811208e-31,1.330805671333427e-31
2.5,-6.651409852197826e-29,-6.651409850958271e-29,-30.00000000000007,-29.99999999999993,-1.7558605482689328e-29,-1.7558605482640165e-29,1.4238956228129823e-31,1.4238956230934622e-31
2.75,-7.040287617905619e-29,-7.04028761654143e-29,-30.000000000000078,-29.999999999999922,-1.3551615727247494e-29,-1.3551615727193406e-29,1.4943187026022668e-31,1.4943187029109481e-31
3.0,-7.328990637931552e-29,-7.328990636442606e-29,-30.000000000000085,-29.999999999999915,-9.544625881566712e-30,-9.544625881507703e-30,1.5420749090318393e-31,1.54207490936875e-31
3.25,-7.521528363976072e-29,-7.521528362362247e-29,-30.000000000000092,-29.999999999999908,-5.858392271305621e-30,-5.8583922712416914e-30,1.5668746784430925e-31,1.5668746788082601e-31
3.5,-7.621910256561135e-29,-7.621910254822308e-29,-30.0000000000001,-29.9999999999999,-2.1721592539596243e-30,-2.172159253890773e-30,1.570822040471966e-31,1.5708220408654183e-31
3.75,-7.630136334195825e-29,-7.630136332331872e-29,-30.000000000000107,-29.999999999999893,1.514072875574824e-30,1.5140728756486003e-30,1.5539169993065715e-31,1.5539169997283365e-31
4.0,-7.546206622761636e-29,-7.546206620772434e-29,-30.000000000000114,-29.999999999999886,5.200303822401343e-30,5.2003038224800486e-30,1.516159560803201e-31,1.5161595612533065e-31
4.25,-7.373940872311432e-29,-7.373940870196857e-29,-30.00000000000012,-29.99999999999988,8.580955977267888e-30,8.58095597735153e-30,1.4613334047182254e-31,1.4613334051966996e-31
4.5,-7.117158837212506e-29,-7.117158834972433e-29,-30.000000000000128,-29.999999999999872,1.196160654922407e-29,1.196160654931265e-29,1.3873834674054899e-31,1.3873834679123605e-31
