time_s,x_m,y_m,vx_mps,vy_mps
0.0,0.0,-30.0,0.0,0.0
0.25,-1.3420316637746773e-30,-30.0,-1.0736253238622927e-29,3.036659744969578e-33
0.5,-5.368126547736973e-30,-30.0,-2.1472505618351975e-29,1.2146638736947336e-32
0.75,-1.2078284329801689e-29,-30.0,-3.2208756280293323e-29,2.732993624714037e-32
1.0,-2.1472504473160185e-29,-30.0,-4.2945004365553304e-29,4.858655106089389e-32
1.25,-3.1665867878658993e-29,-30.0,-3.8601902443222144e-29,7.050136737073999e-32
1.5,-4.077345549164067e-29,-30.0,-3.4258798083323885e-29,8.995936263068216e-32
1.75,-4.8795266746144155e-29,-30.0,-2.9915691633304307e-29,1.0696053556010147e-31
2.0,-5.573130116306988e-29,-30.0,-2.557258344060933e-29,1.2150488507492332e-31
2.25,-6.162357346513584e-29,-30.0,-2.156559482731329e-29,1.3308056712072734e-31
2.5,-6.651409851578049e-29,-30.0,-1.7558605482664738e-29,1.4238956229532214e-31
2.75,-7.040287617223525e-29,-30.0,-1.355161572722044e-29,1.4943187027566065e-31
3.0,-7.328990637187079e-29,-30.0,-9.544625881537196e-30,1.5420749092002936e-31
3.25,-7.521528363169159e-29,-30.0,-5.858392271273645e-30,1.5668746786256749e-31
3.5,-7.621910255691722e-29,-30.0,-2.1721592539251874e-30,1.5708220406686905e-31
3.75,-7.63013633326385e-29,-30.0,1.5140728756117234e-30,1.553916999517452e-31
4.0,-7.546206621767035e-29,-30.0,5.200303822440707e-30,1.5161595610282514e-31
4.25,-7.373940871254144e-29,-30.0,8.580955977309721e-30,1.4613334049574601e-31
4.5,-7.11715883609247e-29,-30.0,1.1961606549268372e-29,1.3873834676589226e-31
4.75,-6.775860559235397e-29,-30.0,1.5342255267866623e-29,1.2943097588518444e-31
5.0,-6.350046090397559e-29,-30.0,1.8722901862654588e-29,1.1821122897853212e-31
5.25,-5.843351905512494e-29,-30.0,2.1812632568462582e-29,1.0579729303004371e-31
5.5,-5.259414480988739e-29,-30.0,2.4902360992553803e-29,9.163554857067329e-32
5.75,-4.598233876958916e-29,-30.0,2.7992086887751807e-29,7.57259969610618e-32
6.0,-3.859810159735061e-29,-30.0,3.108181000688036e-29,5.806863970167371e-32
6.25,-3.047598055637505e-29,-30.0,3.3895157884983335e-29,3.9661126415406125e-32
6.5,-2.165052288220712e-29,-30.0,3.670850303490827e-29,1.9662149903024762e-32
6.75,-1.2121729285024584e-29,-30.0,3.952184523158922e-29,-1.928288228527507e-33
7.0,-1.8896005312716542e-30,-30.0,4.233518424996049e-29,-2.511018624499184e-32
7.25,9.013077208546328e-30,-30.0,4.488623719270129e-29,-4.8660085776121965e-32
7.5,2.0553517818634506e-29,-30.0,4.743728717810825e-29,-7.365307259592199e-32
7.75,3.2731720534149095e-29,-30.0,4.998833400209888e-29,-1.000891449737544e-31
8.0,4.554768453922573e-29,-30.0,5.253937746059094e-29,-1.2796830106353575e-31
8.25,5.897034000665296e-29,-30.0,5.484186579406485e-29,-1.5588891452002778e-31
8.5,7.296861718620228e-29,-30.0,5.71443511268681e-29,-1.8511200639689866e-31
8.75,8.754251530468134e-29,-30.0,5.944683327480324e-29,-2.156375749446203e-31
9.0,1.0269203354284844e-28,-30.0,6.174931205367305e-29,-2.474656183094672e-31
9.25,1.1838777185302858e-28,-30.0,6.381659396047208e-29,-2.790585131958379e-31
9.5,1.346003302825455e-28,-30.0,6.58838729808036e-29,-3.118208341800744e-31
9.75,1.5132970808910966e-28,-30.0,6.795114894928651e-29,-3.457525795825734e-31
10.0,1.685759044890863e-28,-30.0,7.001842170053999e-29,-3.808537476301785e-31
10.25,1.863111540022602e-28,-30.0,7.186357397714055e-29,-4.154879231121228e-31
10.5,2.0450769125765093e-28,-30.0,7.370872361367324e-29,-4.511658697325946e-31
10.75,2.2316551557679024e-28,-30.0,7.555387046252717e-29,-4.878875859564008e-31
11.0,2.4228462624430705e-28,-30.0,7.739901437609169e-29,-5.256530701648477e-31
11.25,2.6183883044638033e-28,-30.0,7.903461887073326e-29,-5.627594567099808e-31
11.5,2.818019354893411e-28,-30.0,8.067022108138375e-29,-6.007910768071412e-31
