time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,0.0,0.0,-30.0,-30.0,0.0,0.0,0.0,0.0
0.25,-6.169978838101894e-40,6.169978838101894e-40,-30.000000000000004,-29.999999999999996,-2.4390387381770996e-42,2.4390387381770996e-42,-1.3961016621828329e-42,1.3961016621828329e-42
0.5,-1.234605700119968e-39,1.234605700119968e-39,-30.00000000000001,-29.99999999999999,-4.879460224416445e-42,4.879460224416445e-42,-2.7935834389476434e-42,2.7935834389476434e-42
0.75,-1.8528237947871633e-39,1.8528237947871633e-39,-30.000000000000018,-29.999999999999982,-7.321265825343993e-42,7.321265825343993e-42,-4.192446112878457e-42,4.192446112878457e-42
1.0,-2.4716525140113564e-39,2.4716525140113564e-39,-30.000000000000025,-29.999999999999975,-9.764456908360799e-42,9.764456908360799e-42,-5.592690467332597e-42,5.592690467332597e-42
1.25,-3.091092204334075e-39,3.091092204334075e-39,-30.000000000000032,-29.999999999999968,-1.2209034841643786e-41,1.2209034841643786e-41,-6.994317286441122e-42,6.994317286441122e-42
1.5,-3.711143212638989e-39,3.711143212638989e-39,-30.00000000000004,-29.99999999999996,-1.4655000994146505e-41,1.4655000994146505e-41,-8.397327355109264e-42,8.397327355109264e-42
1.75,-4.3318058861521036e-39,4.3318058861521036e-39,-30.000000000000046,-29.999999999999954,-1.7102356735599903e-41,1.7102356735599903e-41,-9.801721459016871e-42,9.801721459016871e-42
2.0,-4.9530805724419535e-39,4.9530805724419535e-39,-30.000000000000053,-29.999999999999947,-1.9551103436513095e-41,1.9551103436513095e-41,-1.1207500384618843e-41,1.1207500384618843e-41
2.25,-5.5749676194197985e-39,5.5749676194197985e-39,-30.00000000000006,-29.99999999999994,-2.2001242468174123e-41,2.2001242468174123e-41,-1.2614664919145576e-41,1.2614664919145576e-41
2.5,-6.197467375339819e-39,6.197467375339819e-39,-30.000000000000068,-29.999999999999932,-2.4452775202650736e-41,2.4452775202650736e-41,-1.40232158506034e-41,1.40232158506034e-41
2.75,-6.820580188799308e-39,6.820580188799308e-39,-30.000000000000075,-29.999999999999925,-2.690570301279114e-41,2.690570301279114e-41,-1.5433153967775023e-41,1.5433153967775023e-41
3.0,-7.444306408738869e-39,7.444306408738869e-39,-30.00000000000008,-29.99999999999992,-2.9360027272224784e-41,2.9360027272224784e-41,-1.6844480060219968e-41,1.6844480060219968e-41
3.25,-8.06864638444261e-39,8.06864638444261e-39,-30.00000000000009,-29.99999999999991,-3.181574935536312e-41,3.181574935536312e-41,-1.8257194918275024e-41,1.8257194918275024e-41
3.5,-8.693600465538339e-39,8.693600465538339e-39,-30.000000000000096,-29.999999999999904,-3.4272870637400377e-41,3.4272870637400377e-41,-1.9671299333054677e-41,1.9671299333054677e-41
3.75,-9.319169001997763e-39,9.319169001997763e-39,-30.000000000000103,-29.999999999999897,-3.673139249431433e-41,3.673139249431433e-41,-2.1086794096451562e-41,2.1086794096451562e-41
4.0,-9.945352344136679e-39,9.945352344136679e-39,-30.00000000000011,-29.99999999999989,-3.9191316302867075e-41,3.9191316302867075e-41,-2.2503680001136905e-41,2.2503680001136905e-41
4.25,-1.0572150842615175e-38,1.0572150842615175e-38,-30.000000000000117,-29.999999999999883,-4.165264344060579e-41,4.165264344060579e-41,-2.3921957840560966e-41,2.3921957840560966e-41
4.5,-1.1199564848437823e-38,1.1199564848437823e-38,-30.000000000000124,-29.999999999999876,-4.411537528586351e-41,4.411537528586351e-41,-2.534162840895348e-41,2.534162840895348e-41
4.75,-1.1827594712953875e-38,1.1827594712953875e-38,-30.00000000000013,-29.99999999999987,-4.65795132177599e-41,4.65795132177599e-41,-2.67626925013241e-41,2.67626925013241e-41
5.0,-1.2456240787857463e-38,1.2456240787857463e-38,-30.00000000000014,-29.99999999999986,-4.904505861620205e-41,4.904505861620205e-41,-2.8185150913462856e-41,2.8185150913462856e-41
5.25,-1.3085503425187796e-38,1.3085503425187796e-38,-30.000000000000146,-29.999999999999854,-5.151201286188518e-41,5.151201286188518e-41,-2.9609004441940585e-41,2.9609004441940585e-41
5.5,-1.371538297732935e-38,1.371538297732935e-38,-30.000000000000153,-29.999999999999847,-5.39803773362935e-41,5.39803773362935e-41,-3.1034253884109385e-41,3.1034253884109385e-41
5.75,-1.4345879797012075e-38,1.4345879797012075e-38,-30.00000000000016,-29.99999999999984,-5.645015342170091e-41,5.645015342170091e-41,-3.246090003810306e-41,3.246090003810306e-41
6.0,-1.497699423731159e-38,1.497699423731159e-38,-30.000000000000167,-29.999999999999833,-5.892134250117183e-41,5.892134250117183e-41,-3.388894370283757e-41,3.388894370283757e-41
6.25,-1.560872665164937e-38,1.560872665164937e-38,-30.000000000000174,-29.999999999999826,-6.139394595856194e-41,6.139394595856194e-41,-3.531838567801147e-41,3.531838567801147e-41
6.5,-1.6241077393792966e-38,1.6241077393792966e-38,-30.00000000000018,-29.99999999999982,-6.386796517851897e-41,6.386796517851897e-41,-3.6749226764106365e-41,3.6749226764106365e-41
6.75,-1.687404681785618e-38,1.687404681785618e-38,-30.00000000000019,-29.99999999999981,-6.634340154648348e-41,6.634340154648348e-41,-3.8181467762387357e-41,3.8181467762387357e-41
7.0,-1.7507635278299278e-38,1.7507635278299278e-38,-30.000000000000195,-29.999999999999805,-6.88202564486896e-41,6.88202564486896e-41,-3.961510947490349e-41,3.961510947490349e-41
