time_s,x_m,y_m,vx_mps,vy_mps
0.0,0.0,-30.0,0.0,0.0
0.25,3.8605227437695503e-10,-30.00000000000048,6.373361560729762e-11,-6.240890066017927e-13
0.5,5.195965462276226e-10,-30.000000000001222,1.2746594058032912e-10,-2.04955270117544e-12
0.75,2.0107688735185813e-09,-30.00000000000423,1.9119654470767244e-10,-3.5110678607945118e-12
1.0,1.813097021422702e-09,-30.00000000000423,2.549326999501389e-10,-2.612960284101912e-12
1.25,2.468040347184157e-09,-30.00000000000408,3.119689367947487e-10,-3.272077453412276e-12
1.5,2.7917650669699203e-09,-30.000000000005258,3.690038205550472e-10,-3.386766276611629e-12
1.75,2.5317643927383784e-09,-30.000000000005926,4.260362895802672e-10,-3.722346427445206e-12
2.0,3.2981739981225395e-09,-30.000000000007994,4.830750313655763e-10,-3.5135118212459764e-12
2.25,2.9758533306495985e-09,-30.000000000003688,5.342220762982741e-10,-3.2222314125081225e-12
2.5,4.106240150777082e-09,-30.000000000004906,5.853687326529133e-10,-4.058013446477774e-12
2.75,3.6428777744935515e-09,-29.99999999999977,6.365200033719987e-10,-3.6251844696379175e-12
3.0,4.127196701227626e-09,-30.000000000000814,6.876651262310851e-10,-4.031055354822277e-12
3.25,5.306690002511848e-09,-30.000000000005695,7.339014396201549e-10,-6.022923561333367e-12
3.5,5.9975244763755314e-09,-30.000000000011568,7.801381068928137e-10,-7.508717217115528e-12
3.75,7.809813206660137e-09,-30.00000000002588,8.263560113963564e-10,-1.0451533818761715e-11
4.0,7.697161241307234e-09,-30.00000000002211,8.726102271316982e-10,-1.0636900072322941e-11
4.25,8.20091811552748e-09,-30.000000000029686,9.122665747818282e-10,-1.1049801291874875e-11
4.5,9.068596989947291e-09,-30.00000000004105,9.51925961667488e-10,-1.2483578382926945e-11
4.75,9.116391352612468e-09,-30.00000000004679,9.915966381335295e-10,-1.1921409959568823e-11
5.0,1.0885736583052746e-08,-30.000000000057025,1.0312600565165475e-09,-1.4199087692840112e-11
5.25,1.0398826358654069e-08,-30.000000000060396,1.0652071724681633e-09,-1.3104768772452965e-11
5.5,1.019713648599032e-08,-30.000000000059607,1.0991586113506813e-09,-1.2595583070662256e-11
5.75,1.0959437859257229e-08,-30.00000000006245,1.1330997667924336e-09,-1.3580955777485692e-11
6.0,1.057058940797831e-08,-30.000000000058343,1.1670373417649316e-09,-1.4718888684053977e-11
6.25,1.1571959330076194e-08,-30.000000000067043,1.1983810749294221e-09,-1.536989849189543e-11
6.5,1.0917161845402021e-08,-30.000000000062627,1.2297290200025124e-09,-1.4974181740069768e-11
6.75,1.1147503066777055e-08,-30.00000000007275,1.2610635938270498e-09,-1.472947584738224e-11
7.0,1.1079313908409954e-08,-30.00000000006915,1.292417610432306e-09,-1.4347675982714824e-11
7.25,1.1391241803161183e-08,-30.000000000073687,1.3207464497067e-09,-1.4713349024894545e-11
7.5,1.183080575528047e-08,-30.000000000079073,1.3490775094271434e-09,-1.5705444252501687e-11
7.75,1.2145469479109418e-08,-30.00000000008481,1.3774112753162093e-09,-1.62702645823788e-11
8.0,1.1151478620773354e-08,-30.000000000074223,1.4057578295867401e-09,-1.6119543410629416e-11
8.25,1.1390090479451631e-08,-30.000000000078423,1.4316886148835195e-09,-1.6428509895885372e-11
8.5,1.260889744399372e-08,-30.000000000082522,1.4576056403536874e-09,-1.7983575146951506e-11
8.75,1.1761318503472214e-08,-30.000000000079854,1.483530860657556e-09,-1.6570079492772294e-11
9.0,1.3251272084104689e-08,-30.00000000010689,1.509410318956128e-09,-1.913096860662145e-11
9.25,1.4032613331494931e-08,-30.00000000011236,1.5315592821751878e-09,-2.050323080262015e-11
9.5,1.3852594374764604e-08,-30.00000000011505,1.5537130332310412e-09,-2.0579658040368047e-11
9.75,1.3390193213552625e-08,-30.000000000099885,1.575893318617183e-09,-2.0270032504203662e-11
10.0,1.3323910568823815e-08,-30.000000000096,1.598057276785969e-09,-2.0483440766518975e-11
10.25,1.4332382877033853e-08,-30.000000000118586,1.618298064998136e-09,-2.1197760407539094e-11
10.5,1.336954789164847e-08,-30.000000000110024,1.6385643258898241e-09,-2.0038665144730853e-11
10.75,1.4839085105640466e-08,-30.0000000001288,1.6588041357179506e-09,-2.122050709032575e-11
11.0,1.569496521606731e-08,-30.000000000116348,1.6790759893581253e-09,-2.2348150627066898e-11
11.25,1.5684226921211162e-08,-30.00000000010424,1.695839427218182e-09,-2.4141941692613387e-11
11.5,1.5485306632951456e-08,-30.000000000121123,1.712580244284112e-09,-2.4825122187987433e-11
11.75,1.4846334741491459e-08,-30.000000000111093,1.7293506626714361e-09,-2.42541701390382e-11
12.0,1.6308227328871284e-08,-30.00000000012846,1.7461062595813814e-09,-2.544560102733468e-11
12.25,1.682443966922456e-08,-30.000000000152767,1.7609592117828754e-09,-2.7796510647578578e-11
12.5,1.8005216521476612e-08,-30.00000000018211,1.7758371925746808e-09,-2.8747991850680188e-11
12.75,1.86671272260168e-08,-30.00000000017593,1.7907357471869112e-09,-2.9830788846516e-11
13.0,1.855693902681096e-08,-30.000000000178577,1.8056470693639248e-09,-2.99910245109713e-11
13.25,1.9284895816568547e-08,-30.000000000189097,1.8175886629112625e-09,-3.023777109046118e-11
13.5,1.8735941422503704e-08,-30.000000000180368,1.8295626333375559e-09,-2.927219690029861e-11
13.75,1.8519890936927007e-08,-30.000000000180624,1.8415513072800316e-09,-2.7238228666938046e-11
