time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,0.0,0.0,-30.0,-30.0,0.0,0.0,0.0,0.0
0.25,7.966495000584407e-12,7.96691641113559e-12,-30.000000000000007,-29.999999999999993,6.373195955308859e-11,6.373533083770536e-11,-1.8309119924033636e-14,-1.8308112174220053e-14
0.5,3.186588839869864e-11,3.186772454491256e-11,-30.000000000000025,-29.999999999999996,1.2746318633022514e-10,1.2747113293159509e-10,-7.267239179940505e-14,-7.26681180667298e-14
0.75,7.169808539050382e-11,7.170248010199386e-11,-30.00000000000006,-30.000000000000018,1.9119438745256744e-10,1.9120690937464088e-10,-1.630899444366679e-13,-1.6307980602275397e-13
1.0,1.274630776501958e-10,1.274711747577924e-10,-30.000000000000124,-30.000000000000068,2.5492554762327176e-10,2.549426448718346e-10,-2.895617548751356e-13,-2.895431547749447e-13
1.25,1.983233094301203e-10,1.9833625276632973e-10,-30.00000000000022,-30.00000000000015,3.1195630514652135e-10,3.119779777291946e-10,-4.2539992609625427e-13,-4.2537026730402143e-13
1.5,2.8344122362989436e-10,2.8346015702935765e-10,-30.000000000000355,-30.00000000000027,3.689870062213591e-10,3.6901325414759935e-10,-5.93502023958567e-13,-5.934587077737343e-13
1.75,3.828168044263227e-10,3.828428717262744e-10,-30.000000000000536,-30.000000000000437,4.260176371590472e-10,4.260484604401466e-10,-7.938680107096333e-13,-7.938084401249817e-13
2.0,4.964500325740276e-10,4.964843776147548e-10,-30.00000000000077,-30.000000000000657,4.830481842708643e-10,4.830835829199503e-10,-1.0264978418207538e-12,-1.026419419828337e-12
2.25,6.236045041154381e-10,6.236482707407393e-10,-30.00000000000107,-30.000000000000938,5.341875831066385e-10,5.342275571386741e-10,-1.2948230110149816e-12,-1.294723138912061e-12
2.5,7.635438113080093e-10,7.63598143365653e-10,-30.000000000001435,-30.00000000000129,5.853268687979914e-10,5.85371418229776e-10,-1.5920794481309132e-12,-1.591955525519957e-12
2.75,9.162678641297798e-10,9.163339355727176e-10,-30.00000000000188,-30.00000000000172,6.364655474580723e-10,6.365149131142843e-10,-1.918267013824737e-12,-1.9181163755856385e-12
3.0,1.0817765694900876e-09,1.0818555843769298e-09,-30.00000000000241,-30.000000000002235,6.876040884241253e-10,6.876582703253704e-10,-2.273385569447352e-12,-2.2732054813498802e-12
3.25,1.2594570918252528e-09,1.2595502542200029e-09,-30.000000000003034,-30.000000000002846,7.338400818018125e-10,7.338990799706284e-10,-2.6645935668677326e-12,-2.6643812946808914e-12
3.5,1.448696651996832e-09,1.4488051659693688e-09,-30.00000000000376,-30.000000000003556,7.800763904986371e-10,7.801402049594927e-10,-3.081959313499694e-12,-3.0817121263798542e-12
3.75,1.6494952672458378e-09,1.6496203368723989e-09,-30.00000000000459,-30.000000000004373,8.263125218044266e-10,8.263811525837213e-10,-3.5254828495559123e-12,-3.525198014964614e-12
4.0,1.861852891837243e-09,1.861995721200907e-09,-30.000000000005535,-30.000000000005304,8.725484646210342e-10,8.726219117470984e-10,-3.995164068560005e-12,-3.994838853958022e-12
4.25,2.0849481666157794e-09,2.08510995980695e-09,-30.00000000000659,-30.000000000006345,9.122137307384127e-10,9.122919942415085e-10,-4.404186060174653e-12,-4.403817731327931e-12
4.5,2.3179598581959992e-09,2.3181418193128866e-09,-30.000000000007752,-30.000000000007493,9.518797985053094e-10,9.519628784176313e-10,-4.83564899193872e-12,-4.835234814612438e-12
4.75,2.560887985195616e-09,2.5610913183447198e-09,-30.000000000009024,-30.00000000000875,9.915452135643931e-10,9.91633109920067e-10,-5.2895529014274785e-12,-5.289090141386051e-12
5.0,2.813732443449025e-09,2.8139583527456184e-09,-30.000000000010413,-30.000000000010125,1.0312104480064601e-09,1.0313031608415441e-09,-5.765897554556229e-12,-5.765383477563304e-12
5.25,3.0757767049509395e-09,3.076026394519551e-09,-30.00000000001192,-30.000000000011617,1.0651436427399435e-09,1.0652411720924276e-09,-6.224045300232419e-12,-6.223477172050881e-12
5.5,3.3463042431089097e-09,3.346578917083808e-09,-30.000000000013543,-30.000000000013227,1.099076660802148e-09,1.0991790067119544e-09,-6.701391167254129e-12,-6.700766253646097e-12
5.75,3.6253150127369383e-09,3.6256158752626125e-09,-30.000000000015287,-30.000000000014957,1.133009494047652e-09,1.133116656556634e-09,-7.197935053368262e-12,-7.197250623483222e-12
