time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,0.0,0.0,-30.0,-30.0,0.0,0.0,0.0,0.0
0.25,7.966495000584408e-12,7.966916411135589e-12,-30.000000000000007,-29.999999999999993,6.37319595530886e-11,6.373533083770535e-11,-1.8309119924033632e-14,-1.8308112174220056e-14
0.5,3.1865888398698645e-11,3.186772454491255e-11,-30.000000000000025,-29.999999999999996,1.2746318633022517e-10,1.2747113293159503e-10,-7.267239179940505e-14,-7.266811806672981e-14
0.75,7.169808539050382e-11,7.170248010199383e-11,-30.00000000000006,-30.000000000000018,1.911943874525675e-10,1.912069093746408e-10,-1.630899444366679e-13,-1.6307980602275397e-13
1.0,1.274630776501958e-10,1.2747117475779235e-10,-30.000000000000124,-30.000000000000068,2.549255476232718e-10,2.549426448718345e-10,-2.895617548751356e-13,-2.895431547749447e-13
1.25,1.9832330942613883e-10,1.9833625276234815e-10,-30.00000000000022,-30.00000000000015,3.119563051146695e-10,3.1197797769734263e-10,-4.2539992617523977e-13,-4.2537026738300693e-13
1.5,2.8344122361396844e-10,2.834601570134316e-10,-30.000000000000355,-30.00000000000027,3.689870061576554e-10,3.690132540838955e-10,-5.93502024116538e-13,-5.934587079317053e-13
1.75,3.8281680439048945e-10,3.828428716904409e-10,-30.000000000000536,-30.000000000000437,4.26017637063492e-10,4.260484603445908e-10,-7.938680092525238e-13,-7.938084403619383e-13
2.0,4.964500325103241e-10,4.964843775510508e-10,-30.00000000000077,-30.000000000000657,4.83048184143458e-10,4.830835827925425e-10,-1.0264978404426297e-12,-1.0264194201442794e-12
2.25,6.236045040124534e-10,6.236482706377535e-10,-30.00000000000107,-30.000000000000938,5.34187582919795e-10,5.342275569518281e-10,-1.2948230098600925e-12,-1.2947231394512388e-12
2.5,7.63543811150884e-10,7.635981432085259e-10,-30.000000000001435,-30.00000000000129,5.853268685517107e-10,5.853714179834917e-10,-1.5920794471992588e-12,-1.5919555262823701e-12
2.75,9.162678639036547e-10,9.163339353465895e-10,-30.00000000000188,-30.00000000000172,6.364655471523541e-10,6.365149128085616e-10,-1.9182670131163174e-12,-1.9181163765712868e-12
3.0,1.0817765691801031e-09,1.0818555840669414e-09,-30.00000000000241,-30.000000000002235,6.876040880589694e-10,6.87658269960209e-10,-2.2733855689621673e-12,-2.273205482558764e-12
3.25,1.2594570914138777e-09,1.2595502538086222e-09,-30.000000000003034,-30.000000000002846,7.338400813558423e-10,7.338990795246517e-10,-2.6645935667505218e-12,-2.6643812962577496e-12
3.5,1.4486966514638623e-09,1.448805165436392e-09,-30.00000000000376,-30.000000000003556,7.800763899718522e-10,7.801402044327003e-10,-3.081959313750457e-12,-3.0817121283246867e-12
3.75,1.6494952665710702e-09,1.649620336197622e-09,-30.00000000000459,-30.000000000004373,8.263125211968273e-10,8.263811519761136e-10,-3.525482848480583e-12,-3.525198015583355e-12
4.0,1.8618528910004737e-09,1.8619957203641263e-09,-30.000000000005535,-30.000000000005304,8.725484639326207e-10,8.726219110586761e-10,-3.99516406785265e-12,-3.994838853250671e-12
4.25,2.0849481655920325e-09,2.0851099587831895e-09,-30.00000000000659,-30.000000000006345,9.122137299310058e-10,9.122919934340932e-10,-4.404186059763444e-12,-4.403817729222659e-12
4.5,2.3179598569555265e-09,2.318141818072398e-09,-30.000000000007752,-30.000000000007493,9.518797975789087e-10,9.519628774912231e-10,-4.8356489918236574e-12,-4.8352348128033125e-12
4.75,2.5608879837086688e-09,2.561091316857755e-09,-30.000000000009024,-30.00000000000875,9.915452125189984e-10,9.916331088746659e-10,-5.289552901608562e-12,-5.289090139873071e-12
