time_s,x_m,y_m,vx_mps,vy_mps
0.0,0.0,-30.0,0.0,0.0
0.25,3.8605227437695503e-10,-30.00000000000048,6.373361560729762e-11,-6.240890066017927e-13
0.5,5.195965462276226e-10,-30.000000000001222,1.2746594058032912e-10,-2.04955270117544e-12
0.75,2.0107688735185813e-09,-30.00000000000423,1.9119654470767244e-10,-3.5110678607945118e-12
1.0,1.813097021422702e-09,-30.00000000000423,2.549326999501389e-10,-2.612960284101912e-12
1.25,2.468040347184157e-09,-30.00000000000408,3.013889693370686e-10,-3.257115158500115e-12
1.5,2.7917650669699203e-09,-30.000000000005258,3.4784389257858095e-10,-3.3508567823749698e-12
1.75,2.5317643927383784e-09,-30.000000000005926,3.9429640802390864e-10,-3.659504822695448e-12
2.0,3.2981739981225395e-09,-30.000000000007994,4.407516643323284e-10,-3.4177451649221784e-12
2.25,2.9758533306495985e-09,-30.000000000003688,4.742062784113266e-10,-3.0694563759629728e-12
2.5,4.106240150777082e-09,-30.000000000004906,5.076569858930569e-10,-3.838211662824328e-12
2.75,3.6428777744935515e-09,-29.99999999999977,5.411158882084877e-10,-3.3283566810525196e-12
3.0,4.127196701227626e-09,-30.000000000000814,5.745686912361769e-10,-3.6471932639456595e-12
3.25,5.306690002511848e-09,-30.000000000005695,5.992474017002536e-10,-5.527806267815057e-12
3.5,5.9975244763755314e-09,-30.000000000011568,6.239300673338555e-10,-6.8901639670456665e-12
3.75,7.809813206660137e-09,-30.00000000002588,6.485940326483863e-10,-9.697351891348965e-12
4.0,7.697161241307234e-09,-30.00000000002211,6.732979243584403e-10,-9.734912765863063e-12
4.25,7.269606282319763e-09,-30.00000000002521,6.841119060130296e-10,-8.89907532765409e-12
4.5,8.13728646125163e-09,-30.000000000036312,6.949288713919977e-10,-9.211968903353195e-12
4.75,8.185082211695588e-09,-30.000000000041783,7.057528728093843e-10,-8.422082775979305e-12
5.0,9.954428913181373e-09,-30.000000000051756,7.165748550086448e-10,-9.546244332665158e-12
5.25,9.467520215339355e-09,-30.000000000054865,7.19601031540229e-10,-8.179249101918609e-12
5.5,9.265831952498992e-09,-30.00000000005381,7.226302126128736e-10,-6.470373942832673e-12
5.75,1.0028134991100437e-08,-30.000000000056392,7.256556813772796e-10,-5.329089257545685e-12
6.0,9.639288288422782e-09,-30.000000000052022,7.286725528521387e-10,-5.232349683733348e-12
6.25,1.0640660042388657e-08,-30.000000000060457,7.318744291162638e-10,-4.6508398688461696e-12
6.5,9.985864445093626e-09,-30.000000000055778,7.350815858786497e-10,-3.916205798572994e-12
6.75,1.0216207637114529e-08,-30.000000000065636,7.382826294755063e-10,-3.3167171931909105e-12
7.0,1.0148020532660023e-08,-30.000000000061775,7.414961838980716e-10,-2.5641629155578063e-12
7.25,1.0459950564590575e-08,-30.00000000006605,7.427863810138824e-10,-1.6426731844888066e-12
7.5,1.0899578446978116e-08,-30.000000000063896,7.440800059432817e-10,-2.241841237710161e-12
7.75,1.1214246504631637e-08,-30.00000000006937,7.453611824970174e-10,-2.398304296619427e-12
8.0,1.0220260035626196e-08,-30.00000000005852,7.466411031109565e-10,-1.823792989244688e-12
8.25,1.045894430581655e-08,-30.000000000055177,7.47517346633142e-10,-1.7124360407326227e-12
8.5,1.0746478386101458e-08,-30.00000000005006,7.483676872643841e-10,-1.7791694071208938e-12
8.75,9.898908668297806e-09,-30.000000000046864,7.49216598483482e-10,8.322341049280472e-14
9.0,1.1389019807574405e-08,-30.000000000058822,7.500549278893764e-10,-1.9585456231882082e-13
9.25,1.1239103166527096e-08,-30.00000000005402,7.478073785205375e-10,-4.4236711468210065e-14
9.5,1.1059100823293365e-08,-30.000000000055923,7.455541045642278e-10,3.6341182788691225e-13
9.75,1.0596716497597564e-08,-30.000000000039964,7.433275800439176e-10,1.1709213744408376e-12
10.0,1.0530450910403855e-08,-30.000000000035293,7.410952476694099e-10,2.3786417967591293e-12
10.25,1.0607680540130367e-08,-30.000000000046285,7.41446688767855e-10,3.191176685644655e-12
10.5,9.644866164940423e-09,-30.000000000036668,7.418260936087329e-10,4.834617486265269e-12
10.75,1.0183170581379156e-08,-30.000000000043066,7.421667932994147e-10,4.292707486449615e-12
11.0,1.0107824666584868e-08,-30.000000000017707,7.425369347169308e-10,4.725855554785991e-12
11.25,1.009711453135578e-08,-30.000000000004018,7.438763355294142e-10,3.3933794521953776e-12
11.5,9.898222791271552e-09,-30.000000000019323,7.451790712265094e-10,3.1804261955554772e-12
11.75,9.259279892045957e-09,-30.000000000007713,7.465137397133503e-10,3.3207374373831793e-12
12.0,1.0721201915718442e-08,-30.000000000023498,7.478314079101267e-10,2.6170036119635006e-12
12.25,1.1237444191933129e-08,-30.000000000046224,7.473318838768783e-10,7.61344501157778e-13
12.5,1.2418251424103537e-08,-30.000000000073985,7.468575757840767e-10,3.1380068760346597e-13
12.75,1.3080192897107213e-08,-30.000000000066226,7.464182674721265e-10,-2.5657705261004485e-13
13.0,1.2970035965931638e-08,-30.000000000067292,7.459501349948994e-10,-8.046932032485351e-13
13.25,1.3698024467774455e-08,-30.000000000076234,7.399395263174569e-10,-4.824555524429764e-13
13.5,1.314910222984915e-08,-30.000000000065924,7.339757412960779e-10,1.0620434838607282e-12
13.75,1.2933084344465643e-08,-30.0000000000646,7.280126987363467e-10,3.685307065372744e-12
14.0,1.3728547537818168e-08,-30.000000000087397,7.219912029343689e-10,2.8402424611043886e-12
