time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,0.0,0.0,-30.0,-30.0,0.0,0.0,0.0,0.0
0.25,7.966495000584408e-12,7.966916411135589e-12,-30.000000000000007,-29.999999999999993,6.37319595530886e-11,6.373533083770535e-11,-1.8309119924033632e-14,-1.8308112174220056e-14
0.5,3.1865888398698645e-11,3.186772454491255e-11,-30.000000000000025,-29.999999999999996,1.2746318633022517e-10,1.2747113293159503e-10,-7.267239179940505e-14,-7.266811806672981e-14
0.75,7.169808539050382e-11,7.170248010199383e-11,-30.00000000000006,-30.000000000000018,1.911943874525675e-10,1.912069093746408e-10,-1.630899444366679e-13,-1.6307980602275397e-13
1.0,1.274630776501958e-10,1.2747117475779235e-10,-30.000000000000124,-30.000000000000068,2.549255476232718e-10,2.549426448718345e-10,-2.895617548751356e-13,-2.895431547749447e-13
1.25,1.983233094301032e-10,1.9833625276631252e-10,-30.00000000000022,-30.00000000000015,3.1195630514638445e-10,3.1197797772905756e-10,-4.253999260957787e-13,-4.2537026730354584e-13
1.5,2.834412236298259e-10,2.8346015702928905e-10,-30.000000000000355,-30.00000000000027,3.6898700622108524e-10,3.6901325414732534e-10,-5.935020239576158e-13,-5.934587077727831e-13
1.75,3.828168044261687e-10,3.828428717261202e-10,-30.000000000000536,-30.000000000000437,4.260176371586364e-10,4.260484604397357e-10,-7.938680107082065e-13,-7.938084401235549e-13
2.0,4.964500325737537e-10,4.964843776144808e-10,-30.00000000000077,-30.000000000000657,4.830481842703166e-10,4.830835829194024e-10,-1.0264978418188514e-12,-1.0264194198264347e-12
2.25,6.236045041149952e-10,6.236482707402963e-10,-30.00000000000107,-30.000000000000938,5.341875831058351e-10,5.342275571378704e-10,-1.2948230110126178e-12,-1.2947231389096973e-12
2.5,7.635438113073336e-10,7.635981433649771e-10,-30.000000000001435,-30.00000000000129,5.853268687969323e-10,5.853714182287165e-10,-1.592079448128088e-12,-1.591955525517132e-12
2.75,9.162678641288074e-10,9.163339355717448e-10,-30.00000000000188,-30.00000000000172,6.364655474567574e-10,6.365149131129691e-10,-1.91826701382145e-12,-1.918116375582352e-12
3.0,1.0817765694887544e-09,1.0818555843755964e-09,-30.00000000000241,-30.000000000002235,6.876040884225546e-10,6.876582703237995e-10,-2.273385569443604e-12,-2.2732054813461325e-12
3.25,1.2594570918234834e-09,1.2595502542182331e-09,-30.000000000003034,-30.000000000002846,7.338400817998933e-10,7.338990799687091e-10,-2.6645935668636763e-12,-2.6643812946768354e-12
3.5,1.4486966519945392e-09,1.4488051659670756e-09,-30.00000000000376,-30.000000000003556,7.800763904963694e-10,7.801402049572249e-10,-3.0819593134953296e-12,-3.08171212637549e-12
3.75,1.6494952672429346e-09,1.6496203368694953e-09,-30.00000000000459,-30.000000000004373,8.263125218018105e-10,8.263811525811051e-10,-3.5254828495512396e-12,-3.525198014959942e-12
4.0,1.861852891833642e-09,1.8619957211973058e-09,-30.000000000005535,-30.000000000005304,8.725484646180695e-10,8.726219117441336e-10,-3.995164068555024e-12,-3.994838853953042e-12
4.25,2.0849481666113734e-09,2.085109959802544e-09,-30.00000000000659,-30.000000000006345,9.122137307349385e-10,9.122919942380342e-10,-4.404186060167793e-12,-4.403817731321072e-12
4.5,2.317959858190661e-09,2.3181418193075484e-09,-30.000000000007752,-30.000000000007493,9.518797985013257e-10,9.519628784136474e-10,-4.835648991929982e-12,-4.8352348146037e-12
4.75,2.5608879851892182e-09,2.561091318338322e-09,-30.000000000009024,-30.00000000000875,9.915452135598999e-10,9.916331099155734e-10,-5.289552901416861e-12,-5.289090141375434e-12
