time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,0.0,0.0,-97.5,-97.5,0.0,0.0,0.12,0.12
0.25,5.794325720143028e-08,5.7943257201435596e-08,-97.46969270834155,-97.4696927083415,6.953190845629998e-07,6.953190845630429e-07,0.12245833320222316,0.12245833320222323
0.5,4.635460520489319e-07,4.6354605204896434e-07,-97.4387708334645,-97.43877083346439,2.781276282626867e-06,2.7812762826270395e-06,0.12491666561778551,0.12491666561778564
0.75,1.5644678943760219e-06,1.5644678943761208e-06,-97.40723437566383,-97.40723437566366,6.257871427316305e-06,6.25787142731665e-06,0.12737499646002626,0.1273749964600265
1.0,3.708368238391106e-06,3.708368238391327e-06,-97.37508333543121,-97.37508333543099,1.1125104240505722e-05,1.1125104240506317e-05,0.1298333249422848,0.1298333249422852
1.25,6.476139556493735e-06,6.476139556494149e-06,-97.34232172896371,-97.34232172896343,1.1245810402585995e-05,1.1245810402586898e-05,0.1322595267865281,0.13225952678652864
1.5,9.445645487044613e-06,9.445645487045311e-06,-97.30895357207604,-97.3089535720757,1.2738981129332628e-05,1.273898112933392e-05,0.1346857281742998,0.13468572817430044
1.75,1.2960002158566162e-05,1.2960002158567251e-05,-97.27497886497935,-97.27497886497895,1.5604616301292865e-05,1.5604616301294624e-05,0.13711192832921956,0.1371119283292203
2.0,1.7362325655993058e-05,1.7362325655994674e-05,-97.24039760807891,-97.24039760807845,1.9842715689217584e-05,1.984271568921988e-05,0.1395381264749072,0.1395381264749081
2.25,2.225000153201869e-05,2.2250001532020976e-05,-97.20521375992617,-97.20521375992566,1.9484449934818876e-05,1.9484449934821773e-05,0.14193265878098943,0.14193265878099043
2.5,2.7217429931157807e-05,2.7217429931160918e-05,-97.1694312787035,-97.16943127870293,2.0480735869872026e-05,2.048073586987559e-05,0.14432719090661297,0.14432719090661408
2.75,3.260324876806815e-05,3.2603248768072276e-05,-97.1330501645518,-97.13305016455118,2.2831573414674767e-05,2.2831573414679053e-05,0.14672172208553053,0.14672172208553175
3.0,3.874609592393649e-05,3.874609592394182e-05,-97.09607041780353,-97.09607041780285,2.653696238116147e-05,2.6536962381166564e-05,0.14911625155149488,0.14911625155149624
3.25,4.52580749649945e-05,4.525807496500125e-05,-97.05849594747747,-97.05849594747673,2.5781680412770823e-05,2.5781680412776786e-05,0.1514795111284068,0.1514795111284083
3.5,5.174834136423664e-05,5.174834136424503e-05,-97.02033066223528,-97.02033066223449,2.6363261247792545e-05,2.6363261247799457e-05,0.15384277075444863,0.15384277075445024
3.75,5.8551110818928336e-05,5.8551110818938616e-05,-96.98157456215922,-96.98157456215837,2.8281704839700517e-05,2.828170483970845e-05,0.1562060296733794,0.15620602967338112
4.0,6.600059900133492e-05,6.600059900134739e-05,-96.9422276475206,-96.94222764751969,3.15370110350204e-05,3.1537011035029423e-05,0.15856928712895818,0.15856928712896
4.25,7.372209384085885e-05,7.372209384087379e-05,-96.90229378483203,-96.90229378483106,3.04548420329214e-05,3.0454842032931567e-05,0.16090161448181065,0.1609016144818126
4.5,8.133796719595843e-05,8.133796719597611e-05,-96.86177684025982,-96.8617768402588,3.069203916525855e-05,3.069203916526994e-05,0.16323394207365635,0.1632339420736584
4.75,8.917806060006963e-05,8.91780606000904e-05,-96.82067681383754,-96.82067681383644,3.224860241305622e-05,3.224860241306889e-05,0.16556626915815187,0.16556626915815406
5.0,9.757221556869102e-05,9.757221556871519e-05,-96.77899370578528,-96.77899370578413,3.5124531651790264e-05,3.51245316518043e-05,0.16789859498895385,0.16789859498895615
5.25,0.00010615758026304408,0.00010615758026307199,-96.73673134619116,-96.73673134618996,3.37753915943438e-05,3.377539159435925e-05,0.17020028189138364,0.17020028189138606
5.5,0.00011456841421471261,0.00011456841421474464,-96.69389356480673,-96.69389356480546,3.372828571962232e-05,3.372828571963926e-05,0.17250196918872998,0.1725019691887325
5.75,0.00012313022597201895,0.00012313022597205552,-96.65048036162531,-96.65048036162399,3.498321403139429e-05,3.4983214031412785e-05,0.1748036561444538,0.17480365614445645
6.0,0.00013216852407120733,0.00013216852407124883,-96.6064917368244,-96.60649173682302,3.75401764292662e-05,3.754017642928631e-05,0.1771053420220161,0.17710534202201886
6.25,0.00014133117454061885,0.00014133117454066569,-96.56193148932768,-96.56193148932624,3.59751678458727e-05,3.597516784589448e-05,0.1793766380995254,0.17937663809952825
6.5,0.00015026317825799857,0.00015026317825805118,-96.5168034177312,-96.5168034177297,3.569500242531293e-05,3.5695002425336444e-05,0.18164793469892676,0.18164793469892973
6.75,0.00015928574601899794,0.00015928574601905678,-96.47110752199535,-96.47110752199379,3.669968018999995e-05,3.669968019002526e-05,0.18391923109340585,0.18391923109340894
7.0,0.00016872008861202337,0.00016872008861208888,-96.4248438022622,-96.42484380226058,3.898920105956013e-05,3.8989201059587316e-05,0.18619052655614832,0.1861905265561515
7.25,0.00017822380519381492,0.0001782238051938876,-96.37801603083726,-96.37801603083558,3.725182700584757e-05,3.725182700587669e-05,0.1884316450073816,0.1884316450073849
7.5,0.00018745164982500795,0.00018745164982508826,-96.33062797970655,-96.33062797970481,3.678222546948505e-05,3.678222546951616e-05,0.19067276408283954,0.19067276408284298
7.75,0.00019672056564174888,0.00019672056564183735,-96.28267964880365,-96.28267964880186,3.758039648804041e-05,3.758039648807359e-05,0.19291388306536433,0.19291388306536789
8.0,0.0002063474957768985,0.00020634749577699564,-96.23417103824144,-96.2341710382396,3.964633999766043e-05,3.964633999769575e-05,0.19515500123779822,0.19515500123780188
8.25,0.00021599892440875542,0.0002159989244088618,-96.18510589763324,-96.18510589763133,3.7773556463286236e-05,3.7773556463323756e-05,0.1973661238046185,0.19736612380462226
8.5,0.0002253385077165786,0.00022533850771669475,-96.13548797628039,-96.13548797627843,3.7151577422021944e-05,3.7151577422061714e-05,0.19957724707706156,0.19957724707706545
8.75,0.00023467894683194989,0.00023467894683207638,-96.08531727409493,-96.0853172740929,3.7780402923625516e-05,3.7780402923667623e-05,0.20178837034756816,0.20178837034757216
9.0,0.0002443329428863827,0.0002443329428865202,-96.03459379116579,-96.0345937911637,3.966003291779127e-05,3.966003291783577e-05,0.20399949290857905,0.20399949290858316
9.25,0.00025397513535165077,0.0002539751353518,-95.98332125780158,-95.98332125779943,3.7683160756190936e-05,3.768316075623788e-05,0.20618077419170452,0.20618077419170877
9.5,0.0002632773502457517,0.00026327735024591324,-95.93150340400588,-95.93150340400368,3.6940212366585806e-05,3.694021236663529e-05,0.20836205624410858,0.20836205624411294
9.75,0.0002725480685211702,0.0002725480685213447,-95.87914022967364,-95.87914022967138,3.743118780841135e-05,3.7431187808463423e-05,0.21054333836778108,0.21054333836778558
10.0,0.00028209577113291073,0.00028209577113309884,-95.82623173487427,-95.82623173487195,3.915608704238978e-05,3.915608704244453e-05,0.21272461986471192,0.21272461986471652
10.25,0.0002916026256310767,0.00029160262563127906,-95.77278163353175,-95.77278163352938,3.710160179044452e-05,3.7101601790502016e-05,0.21487619106935044,0.21487619106935515
