time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,0.0,0.0,-97.5,-97.5,0.0,0.0,0.12,0.12
0.25,-8.802795561032369e-06,-8.802795560610912e-06,-97.46937524297499,-97.46937524297493,-6.995114583492615e-05,-6.995114583155456e-05,0.12499806279539005,0.12499806279539012
0.5,-3.473996336119017e-05,-3.4739963359383904e-05,-97.4375009653715,-97.43750096537138,-0.0001370749770020287,-0.00013707497699432214,0.1299961643612951,0.1299961643612953
0.75,-7.710467405969688e-05,-7.710467405542199e-05,-97.40437715769681,-97.40437715769664,-0.00020137148814843703,-0.00020137148813639542,0.1349943030983491,0.13499430309834942
1.0,-0.00013519009700584797,-0.00013519009699802063,-97.37000381085807,-97.37000381085784,-0.00026284067414759785,-0.000262840674131221,0.139992477407183,0.13999247740718346
1.25,-0.00020837304684141983,-0.00020837304682895616,-97.3343809184661,-97.33438091846581,-0.0003221517042110157,-0.0003221517041903036,0.1449906673206849,0.1449906673206855
1.5,-0.0002960303387542241,-0.00029603033873604016,-97.29750847446849,-97.29750847446815,-0.0003786354099963371,-0.00037863540997128966,0.14998888998576385,0.14998888998576457
1.75,-0.0003974551411073348,-0.0003974551410823468,-97.25938647087726,-97.25938647087686,-0.0004322917870020424,-0.0004322917869726595,0.1549871438030485,0.15498714380304937
2.0,-0.000511940621166646,-0.0005119406211337699,-97.22001490010429,-97.22001490010383,-0.0004831208309522088,-0.00048312083091849045,0.15998542717316513,0.15998542717316613
2.25,-0.0006388750050035432,-0.0006388750049616948,-97.17939375759394,-97.17939375759343,-0.000531883018560808,-0.0005318830185227538,0.16498371750719276,0.1649837175071939
2.5,-0.0007776465196969528,-0.0007776465196450482,-97.13752303911873,-97.13752303911816,-0.0005778178771758258,-0.0005778178771334358,0.1699820346254925,0.16998203462549377
2.75,-0.0009275483325365043,-0.0009275483324735801,-97.09440273818251,-97.09440273818188,-0.000620925403139154,-0.0006209254030933913,0.17498037692869053,0.17498037692869198
3.0,-0.0010878736099257107,-0.0010878736098509233,-97.05003284868899,-97.0500328486883,-0.0006612055930199682,-0.0006612055929708326,0.17997874281741114,0.17997874281741272
3.25,-0.0012580227935393372,-0.0012580227934517831,-97.00441336793179,-97.00441336793105,-0.0006995166546839125,-0.0006995166546309223,0.1849771068524131,0.1849771068524148
