time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,0.0,0.0,-97.5,-97.5,0.0,0.0,0.12,0.12
0.25,-8.802668143171054e-06,-8.802668142749597e-06,-97.46937524762876,-97.4693752476287,-6.995013000210593e-05,-6.995012999873434e-05,0.12499802556511795,0.12499802556511802
0.5,-3.473945719982877e-05,-3.4739457198022504e-05,-97.43750098398668,-97.43750098398657,-0.00013707296639693195,-0.0001370729663892254,0.12999608990018222,0.1299960899001824
0.75,-7.710354309433255e-05,-7.710354309005765e-05,-97.40437719958119,-97.404377199581,-0.00020136850383160708,-0.00020136850381956547,0.13499419140583865,0.134994191405839
1.0,-0.00013518810044111304,-0.0001351881004332857,-97.37000388531956,-97.37000388531932,-0.00026283673717957256,-0.00026283673716319574,0.13999232848273016,0.1399923284827306
1.25,-0.00020837000060072624,-0.0002083700005882626,-97.33438103292205,-97.33438103292175,-0.0003221472458554483,-0.00032214724583473625,0.1449904962893978,0.1449904962893984
1.5,-0.0002960261140537994,-0.0002960261140356155,-97.29750863444565,-97.2975086344453,-0.00037863044275813915,-0.00037863044273309175,0.1499886968473511,0.1499886968473518
1.75,-0.00039744961228955957,-0.0003974496122645716,-97.25938668190244,-97.25938668190203,-0.00043228632338552603,-0.0004322863233561432,0.15498692855722582,0.15498692855722665
2.0,-0.000511933665700024,-0.0005119336656671478,-97.22001516770437,-97.2200151677039,-0.00048311488346204715,-0.00048311488342832885,0.15998518981965523,0.1599851898196562
2.25,-0.0006388664513687464,-0.0006388664513268981,-97.17939408913676,-97.17939408913624,-0.0005318761841781396,-0.0005318761841400855,0.16498344331868958,0.1649834433186907
2.5,-0.0007776361487752909,-0.0007776361487233865,-97.13752344381311,-97.13752344381253,-0.0005778101767361527,-0.0005778101766937628,0.1699817236015002,0.16998172360150146
2.75,-0.0009275359304181284,-0.0009275359303552044,-97.09440322523737,-97.09440322523673,-0.0006209168574777064,-0.0006209168574319437,0.17498002906872515,0.17498002906872653
3.0,-0.0010878589679096053,-0.0010878589678348179,-97.05003342731338,-97.05003342731268,-0.0006611962229721803,-0.0006611962229230448,0.17997835812100038,0.17997835812100194
3.25,-0.0012580057084647285,-0.0012580057083771744,-97.0044140472826,-97.00441404728184,-0.0006995064836968498,-0.0006995064836438598,0.1849766857373878,0.1849766857373895
3.5,-0.0014373766007479472,-0.0014373766006466628,-96.95754508270542,-96.95754508270461,-0.0007349894363078041,-0.0007349894362509594,0.18997503422557296,0.18997503422557482
3.75,-0.0016252648173733627,-0.0016252648172573841,-96.90942652856383,-96.90942652856296,-0.0007676450779829759,-0.0007676450779222766,0.19497340198619414,0.19497340198619614
4.0,-0.0018209635302777886,-0.0018209635301461521,-96.86005838023962,-96.8600583802387,-0.0007974734061261319,-0.0007974734060615777,0.19997178741988803,0.1999717874198902
4.25,-0.002023886239955032,-0.0020238862398067733,-96.8094406374211,-96.80944063742012,-0.0008254370547467121,-0.0008254370546783031,0.20497015776489097,0.2049701577648933
4.5,-0.002233446449288888,-0.002233446449123043,-96.75757330010566,-96.75757330010462,-0.0008505734030278281,-0.000850573402955564,0.2099685431287883,0.2099685431287908
4.75,-0.0024489373329405636,-0.002448937332756169,-96.70445636473848,-96.70445636473738,-0.0008728824489757594,-0.0008728824488996402,0.21496694191222282,0.21496694191222548
5.0,-0.002669652065101005,-0.002669652064897097,-96.6500898281646,-96.65008982816344,-0.0008923641908221357,-0.0008923641907421613,0.21996535251583635,0.21996535251583918
5.25,-0.002895018197026658,-0.0028950181968022725,-96.59447368944218,-96.59447368944097,-0.0009100936482389355,-0.0009100936481551056,0.22496375893526113,0.22496375893526413
5.5,-0.0031244632809927977,-0.003124463280746971,-96.5376079479279,-96.53760794792663,-0.0009249958069312627,-0.0009249958068435773,0.22996217458426965,0.22996217458427282
5.75,-0.003357280492166718,-0.0033572804918984857,-96.47949260151425,-96.47949260151293,-0.0009370706657241021,-0.0009370706656325611,0.23496059786350587,0.2349605978635092
6.0,-0.0035927630054500663,-0.0035927630051584654,-96.42012764849362,-96.42012764849224,-0.0009463182236673063,-0.0009463182235719096,0.23995902717361314,0.23995902717361664
6.25,-0.0038303532247533217,-0.003830353224437388,-96.35951309312406,-96.35951309312262,-0.0009539323179929421,-0.0009539323178936897,0.244957416500962,0.2449574165009657
6.5,-0.004069493558041755,-0.0040694935577005225,-96.2976489399509,-96.2976489399494,-0.0009587191354688041,-0.0009587191353656957,0.24995580933580866,0.24995580933581252
6.75,-0.004309477186052454,-0.004309477185684959,-96.2345351882972,-96.23453518829564,-0.000960678675728843,-0.0009606786756218785,0.2549542040788096,0.2549542040788137
7.0,-0.004549597289459224,-0.004549597289064502,-96.17017183788582,-96.1701718378842,-0.0009598109386328355,-0.000959810938522015,0.2599525991306212,0.2599525991306256
7.25,-0.00478931226794262,-0.004789312267519707,-96.10455889457279,-96.10455889457111,-0.0009574376807140017,-0.0009574376805993248,0.26495094715009027,0.26495094715009493
7.5,-0.005028080525567504,-0.005028080525115437,-96.03769636448935,-96.03769636448762,-0.0009522371718179672,-0.0009522371716994338,0.26994929302738574,0.2699492930273907
7.75,-0.0052651952496388585,-0.005265195249156672,-95.96958424837095,-95.96958424836916,-0.0009442094123766722,-0.0009442094122542823,0.274947635163179,0.2749476351631842
8.0,-0.0054999496275980565,-0.005499949627084787,-95.90022254735288,-95.90022254735104,-0.0009333544030493214,-0.0009333544029230745,0.27994597195814164,0.27994597195814713
8.25,-0.005731819193884324,-0.005731819193339008,-95.82961126794412,-95.82961126794221,-0.0009211309229272251,-0.0009211309227971212,0.28494426215973756,0.2849442621597434
8.5,-0.005960279486949071,-0.005960279486370743,-95.75775041691593,-95.75775041691396,-0.0009060802174616851,-0.0009060802173277239,0.28994254464706054,0.28994254464706665
8.75,-0.006184623700604302,-0.006184623699991998,-95.68463999639678,-95.68463999639476,-0.0008882022878733191,-0.0008882022877355005,0.29494081782079656,0.29494081782080295
9.0,-0.006404145028995463,-0.006404145028348218,-95.610280008915,-95.61028000891292,-0.0008674971356090397,-0.0008674971354673635,0.2999390800816324,0.2999390800816391
9.25,-0.006618337339185104,-0.006618337338501953,-95.53467046147937,-95.53467046147723,-0.0008455701456544032,-0.0008455701455088693,0.3049372973363845,0.3049372973363916
9.5,-0.0068266945017724364,-0.006826694501052417,-95.45781136134714,-95.45781136134495,-0.0008208159551044665,-0.0008208159549550746,0.30993550138775666,0.309935501387764
9.75,-0.007028509716853516,-0.007028509716095662,-95.3797027120191,-95.37970271201685,-0.0007932345659559499,-0.0007932345658026999,0.314933690636449,0.31493369063645665
10.0,-0.007223076185051682,-0.00722307618425503,-95.3003445173958,-95.3003445173935,-0.0007628259804304181,-0.0007628259802733098,0.31993186348316294,0.31993186348317093
10.25,-0.007409907262685374,-0.007409907261848959,-95.21973678923958,-95.21973678923722,-0.0007313514475147894,-0.0007313514473538225,0.3249299587993715,0.3249299587993798
10.5,-0.007588516312355293,-0.00758851631147815,-95.13787953954652,-95.1378795395441,-0.0006970497571613879,-0.0006970497569965622,0.3299280355113259,0.32992803551133454
10.75,-0.007758196545042338,-0.0077581965441235025,-95.0547727731676,-95.05477277316513,-0.000659920912130646,-0.0006599209119619613,0.334926092019751,0.33492609201976
11.0,-0.007918241172445623,-0.007918241171484127,-94.9704164953536,-94.97041649535107,-0.0006199649154078297,-0.0006199649152352858,0.33992412672537325,0.3399241267253825
11.25,-0.008068184406264299,-0.008068184405259176,-94.88481072323741,-94.88481072323482,-0.0005791097726898381,-0.0005791097725134347,0.3449220463525906,0.3449220463526002
11.5,-0.008207560467704399,-0.008207560466654686,-94.79795547416992,-94.79795547416728,-0.0005354275369454304,-0.0005354275367651675,0.3499199420691169,0.34991994206912685
11.75,-0.00833566258394331,-0.008335662582848041,-94.70985075432873,-94.70985075432603,-0.0004889182116842096,-0.0004889182115000868,0.3549178122757137,0.35491781227572394
12.0,-0.008451783983064159,-0.00845178398192237,-94.62049657029121,-94.62049657028845,-0.0004395818006425229,-0.0004395818004545403,0.3599156553731443,0.3599156553731549
12.25,-0.008555481598997078,-0.008555481597807803,-94.5298929326528,-94.52989293264997,-0.00038952794961248134,-0.00038952794942063865,0.3649134410153066,0.36491344101531753
12.5,-0.008646312369436594,-0.00864631236819887,-94.43803985220981,-94.43803985220691,-0.00033664703738412263,-0.00033664703718841975,0.36991119754323026,0.36991119754324153
12.75,-0.008723569529609041,-0.008723569528321902,-94.34493733644071,-94.34493733643774,-0.0002809390682024293,-0.000280939068002866,0.37490892335769493,0.37490892335770654
13.0,-0.008786546315830519,-0.008786546314493,-94.25058539322374,-94.25058539322072,-0.00022240404654056526,-0.00022240404633714142,0.3799066168594826,0.3799066168594946
13.25,-0.008834823523402105,-0.00883482352201324,-94.15498404204578,-94.15498404204268,-0.00016334244828487035,-0.00016334244807758575,0.3849041869961318,0.3849041869961442
13.5,-0.008867981957299622,-0.008867981955858447,-94.05813330257655,-94.0581333025734,-0.00010145385795690697,-0.00010145385774576135,0.3899017229230287,0.3899017229230415
13.75,-0.008885314870121144,-0.008885314868626691,-93.9600331835684,-93.96003318356519,-3.673828052346897e-05,-3.67382803084621e-05,0.39489922304099223,0.39489922304100533
14.0,-0.008886115515734717,-0.008886115514186024,-93.86068369417346,-93.86068369417018,3.080427882241142e-05,3.080427904127973e-05,0.3998966857508441,0.3998966857508576
14.25,-0.008869990646908372,-0.00886999064530447,-93.76008485237651,-93.76008485237315,9.866582768564892e-05,9.866582790837894e-05,0.40489404222701275,0.4048940422270266
14.5,-0.008836547024172955,-0.008836547022512882,-93.65823667632566,-93.65823667632225,0.00016935430916879775,0.00016935430939538974,0.40989135951545963,0.40989135951547384
14.75,-0.008785077915077533,-0.008785077913360324,-93.55513917601773,-93.55513917601426,0.00024286971760181702,0.00024286971783227124,0.4148886360170375,0.41488863601705206
15.0,-0.008714876588616903,-0.008714876586841589,-93.45079236184935,-93.45079236184583,0.0003192120470889235,0.0003192120473232403,0.4198858701326023,0.41988587013261724
15.25,-0.00862557753685815,-0.008625577535023767,-93.34519625487152,-93.34519625486794,0.00039565151118275054,0.0003956515114209301,0.42488297848345635,0.4248829784834717
15.5,-0.008516815261182952,-0.008516815259288534,-93.23835087627768,-93.23835087627404,0.0004749178373799677,0.00047491783762201027,0.429880042794224,0.42988004279423964
15.75,-0.008387883046855326,-0.008387883044899907,-93.13025623727773,-93.13025623727403,0.0005570110193239743,0.0005570110195698804,0.4348770614657979,0.43487706146581395
16.0,-0.008238074180756595,-0.008238074178739209,-93.02091234948136,-93.0209123494776,0.0006419310504329264,0.0006419310506826962,0.4398740328990746,0.43987403289909105
16.25,-0.008067052981948427,-0.008067052979868108,-92.91031923690909,-92.91031923690527,0.0007267096707536516,0.0007267096710072855,0.4448708596863216,0.4448708596863384
16.5,-0.007874483780305197,-0.00787448377816098,-92.79847692370137,-92.79847692369748,0.0008143150719617579,0.0008143150722192561,0.4498676377161824,0.44986763771619953
16.75,-0.007659659881478215,-0.007659659879269137,-92.68538542224744,-92.68538542224347,0.0009047472470343043,0.0009047472472956671,0.4548643653895958,0.45486436538961333
17.0,-0.007421874592902864,-0.007421874590627958,-92.57104474533627,-92.57104474533223,0.0009980061887216807,0.0009980061889869089,0.4598610411075048,0.45986104110752274
17.25,-0.007160824366531657,-0.0071608243641899565,-92.45545491993501,-92.45545491993092,0.0010908667377083445,0.001090866737977438,0.46485755334780526,0.4648575533478236
17.5,-0.006876205666631581,-0.00687620566422212,-92.33861597310651,-92.33861597310236,0.0011865539756932466,0.001186553975966206,0.46985401225893203,0.46985401225895074
17.75,-0.006567311821906867,-0.006567311819428679,-92.22052791838294,-92.22052791837874,0.0012850678950083864,0.0012850678952852118,0.47485041624187607,0.47485041624189517
18.0,-0.006233436163007197,-0.006233436160459315,-92.10119076969623,-92.10119076969195,0.0013864084877581529,0.0013864084880388446,0.47984676369763285,0.47984676369765233
18.25,-0.005874309842244901,-0.005874309839626358,-91.98060455569278,-91.98060455568843,0.0014870731777012515,0.0014870731779858097,0.48484293883950885,0.4848429388395287
18.5,-0.005489664024815087,-0.005489664022124917,-91.85876930508852,-91.85876930508411,0.0015905644597348954,0.0015905644600233205,0.48983905623756485,0.4898390562375851
18.75,-0.005078792063727048,-0.005078792060964285,-91.73568503251929,-91.73568503251481,0.0016968823255659768,0.001696882325858269,0.4948351142928469,0.49483511429286753
19.0,-0.0046409873140916226,-0.004640987311255299,-91.61135175302063,-91.6113517530161,0.001806026766675246,0.0018060267669714053,0.4998311114064056,0.49983111140642666
19.25,-0.00417601835083715,-0.0041760183479263,-91.48576949865667,-91.48576949865206,0.001914196020457503,0.00191419602075753,0.5048269133073179,0.5048269133073395
19.5,-0.0036836537636783053,-0.0036836537606919624,-91.35893830153279,-91.35893830152811,0.0020251917564468084,0.0020251917567507037,0.5098226532192331,0.5098226532192555
