time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,1.0,1.0,-70.0,-70.0,0.0,0.0,0.08,0.08
0.25,0.9999942461791367,0.9999942461791377,-69.97982407298883,-69.97982407298878,-4.589787548126171e-05,-4.589787547644541e-05,0.0814074204168532,0.08140742041685325
0.5,0.9999771174081228,0.999977117408126,-69.95929628764677,-69.95929628764665,-9.099960059881348e-05,-9.099960058918082e-05,0.08281486657218796,0.08281486657218809
0.75,0.999948812725001,0.9999488127250078,-69.93841663759547,-69.9384166375953,-0.0001353051717480455,-0.00013530517173359637,0.08422233801563446,0.08422233801563464
1.0,0.9999095311687075,0.999909531168719,-69.9171851165692,-69.91718511656897,-0.0001788145853887591,-0.00017881458536949345,0.0856298342968208,0.08562983429682106
1.25,0.999859103618945,0.9998591036189624,-69.89560405576404,-69.89560405576376,-0.0002244748818901429,-0.00022447488186606068,0.08701865644958359,0.08701865644958391
1.5,0.9997973591933227,0.9997973591933471,-69.87367578621054,-69.8736757862102,-0.00026934959166492343,-0.0002693495916360245,0.08840750420942195,0.08840750420942234
1.75,0.9997244942889716,0.9997244942890043,-69.85140030156249,-69.8514003015621,-0.00031343871112769783,-0.0003134387110939822,0.08979637713194172,0.08979637713194218
2.0,0.9996407053039116,0.9996407053039539,-69.82877759558477,-69.82877759558431,-0.000356742236753976,-0.0003567422367154436,0.09118527477274671,0.09118527477274725
2.25,0.9995458315911632,0.9995458315912161,-69.80580996582178,-69.80580996582127,-0.0004021182696243911,-0.00040211826958104176,0.09255576760946271,0.09255576760946332
2.5,0.999439710767053,0.9994397107671178,-69.78249970965932,-69.78249970965875,-0.00044671912704948746,-0.0004467191270013213,0.09392628589539646,0.09392628589539717
2.75,0.999322536625889,0.9993225366259669,-69.75884682078991,-69.75884682078929,-0.0004905448054646659,-0.0004905448054116825,0.0952968291920433,0.09529682919204409
3.0,0.9991945029628632,0.9991945029629553,-69.73485129301568,-69.734851293015,-0.0005335953013663897,-0.0005335953013085892,0.09666739706089654,0.09666739706089741
3.25,0.9990554567289414,0.9990554567290489,-69.71051539495582,-69.71051539495508,-0.0005786470877803452,-0.0005786470877177275,0.09801979166573002,0.09801979166573098
3.5,0.9989052431602349,0.9989052431603591,-69.68584139507715,-69.68584139507635,-0.0006229339790487782,-0.0006229339789813431,0.09937221153926877,0.09937221153926981
3.75,0.9987440534809738,0.9987440534811161,-69.66082928711657,-69.66082928711572,-0.0006664559716314894,-0.000666455971559237,0.1007246562488235,0.10072465624882464
4.0,0.9985720789162659,0.9985720789164272,-69.63547906491918,-69.63547906491827,-0.0007092130620500054,-0.0007092130619729355,0.10207712536170295,0.10207712536170419
