time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,0.0,0.0,-27.0,-27.0,0.0,0.0,0.12,0.12
0.25,-1.8987056032109425e-08,-1.8987056032104257e-08,-26.970100694441765,-26.97010069444175,-2.2784467177772488e-07,-2.2784467177768354e-07,0.11919444448740706,0.11919444448740711
0.5,-1.5189644643412927e-07,-1.5189644643409973e-07,-26.94040277773483,-26.9404027777348,-9.113786688834695e-07,-9.113786688833179e-07,0.11838888923258997,0.11838888923259008
0.75,-5.126504964622487e-07,-5.126504964621632e-07,-26.91090624978252,-26.910906249782478,-2.050601936634895e-06,-2.050601936634604e-06,0.11758333449332459,0.11758333449332477
1.0,-1.2151715131452182e-06,-1.215171513145034e-06,-26.881611110423734,-26.881611110423677,-3.6455143838948296e-06,-3.6455143838943442e-06,0.1167777805273867,0.11677778052738694
1.25,-2.1221886694062472e-06,-2.122188669405912e-06,-26.852516382196292,-26.85251638219622,-3.6858339313474464e-06,-3.6858339313467417e-06,0.1159800452960144,0.11598004529601469
1.5,-3.0956940108103123e-06,-3.0956940108097672e-06,-26.823621087763204,-26.82362108776312,-4.1774198614931095e-06,-4.177419861492157e-06,0.11518231021508712,0.11518231021508747
1.75,-4.248504128866959e-06,-4.248504128866137e-06,-26.794925227054954,-26.79492522705485,-5.120272135005239e-06,-5.12027213500401e-06,0.11438457553987874,0.11438457553987914
2.0,-5.6934356007414545e-06,-5.6934356007402805e-06,-26.766428799938197,-26.76642879993808,-6.514390676456212e-06,-6.514390676454666e-06,0.11358684152566306,0.11358684152566353
2.25,-7.298160247310246e-06,-7.298160247308638e-06,-26.738130842971927,-26.738130842971795,-6.397890967862598e-06,-6.3978909678607084e-06,0.11279681419356082,0.11279681419356134
2.5,-8.929623320498436e-06,-8.9296233204963e-06,-26.710030392836387,-26.71003039283624,-6.728298087985345e-06,-6.7282980879830715e-06,0.1120067869219605,0.11200678692196109
2.75,-1.0699551524925905e-05,-1.069955152492314e-05,-26.682127449484852,-26.682127449484693,-7.505612010392074e-06,-7.505612010389389e-06,0.11121675996366985,0.11121675996367049
3.0,-1.2719671554135405e-05,-1.2719671554131905e-05,-26.65442201280739,-26.654422012807217,-8.729832672898123e-06,-8.729832672894996e-06,0.11042673357149657,0.11042673357149727
3.25,-1.4862035109763988e-05,-1.4862035109759636e-05,-26.62691313141118,-26.62691313141099,-8.482842728982507e-06,-8.482842728978897e-06,0.10964431757495727,0.10964431757495802
3.5,-1.6997976397433375e-05,-1.6997976397428042e-05,-26.599599854021136,-26.599599854020934,-8.678454529567063e-06,-8.678454529562943e-06,0.10886190156388609,0.10886190156388689
3.75,-1.9238145852050165e-05,-1.923814585204372e-05,-26.572482180609597,-26.57248218060938,-9.316668059002944e-06,-9.316668058998287e-06,0.10807948578865545,0.10807948578865631
4.0,-2.1693193900182772e-05,-2.1693193900175075e-05,-26.545560111086306,-26.545560111086075,-1.0397483266233484e-05,-1.039748326622825e-05,0.10729707049963776,0.10729707049963867
4.25,-2.423906563112925e-05,-2.4239065631120157e-05,-26.51883270439781,-26.518832704397564,-1.0042547814250801e-05,-1.004254781424499e-05,0.10652218297493853,0.10652218297493951
4.5,-2.675099642450922e-05,-2.675099642449858e-05,-26.49229901960525,-26.492299019604992,-1.0125955767511578e-05,-1.0125955767505149e-05,0.10574729537344,0.10574729537344105
4.75,-2.9338572131530038e-05,-2.9338572131517692e-05,-26.46595905669684,-26.465959056696565,-1.0647707119343221e-05,-1.0647707119336147e-05,0.10497240794310576,0.10497240794310686
5.0,-3.211137859734752e-05,-3.211137859733329e-05,-26.439812815598785,-26.439812815598497,-1.1607801828005931e-05,-1.1607801827998178e-05,0.10419752093189932,0.10419752093190048
5.25,-3.494883403309466e-05,-3.494883403307838e-05,-26.41385936411795,-26.41385936411765,-1.1164195843523658e-05,-1.1164195843515198e-05,0.10343009087301608,0.1034300908730173
5.5,-3.772965361293022e-05,-3.77296536129117e-05,-26.388097770172973,-26.388097770172653,-1.1154714983733835e-05,-1.1154714983724627e-05,0.102662660685981,0.10266266068598227
5.75,-4.0562368618845655e-05,-4.056236861882471e-05,-26.36252803376519,-26.362528033764857,-1.1579359249394925e-05,-1.1579359249384937e-05,0.10189523061637143,0.10189523061637276
6.0,-4.3555510328680816e-05,-4.355551032865725e-05,-26.33715015483455,-26.3371501548342,-1.2438128606535635e-05,-1.2438128606524839e-05,0.10112780090976471,0.1011278009097661
6.25,-4.659160729179741e-05,-4.659160729177101e-05,-26.311963208768923,-26.31196320876856,-1.1922303949264378e-05,-1.1922303949252733e-05,0.10036776756667959,0.10036776756668103
6.5,-4.9552490730036186e-05,-4.9552490730006736e-05,-26.286966271065406,-26.28696627106503,-1.183642041152442e-05,-1.18364204115119e-05,0.09960773405340631,0.09960773405340781
6.75,-5.2545645924855357e-05,-5.2545645924822634e-05,-26.262159341736147,-26.262159341735757,-1.2180478000186392e-05,-1.218047800017297e-05,0.09884770061315541,0.09884770061315697
7.0,-5.567855815513142e-05,-5.567855815509519e-05,-26.23754242073249,-26.237542420732083,-1.2954476687725895e-05,-1.2954476687711536e-05,0.09808766748913741,0.09808766748913902
7.25,-5.883655339676344e-05,-5.8836553396723476e-05,-26.213114589917605,-26.213114589917186,-1.2380449641074389e-05,-1.238044964105906e-05,0.09733497897585028,0.09733497897585194
7.5,-6.190426517502839e-05,-6.19042651749844e-05,-26.1888749312616,-26.188874931261164,-1.2232208985604186e-05,-1.2232208985587859e-05,0.09658229025827575,0.09658229025827747
7.75,-6.49881400899136e-05,-6.498814008986534e-05,-26.164823444785437,-26.164823444784982,-1.2509754733174454e-05,-1.2509754733157097e-05,0.09582960157727409,0.09582960157727587
8.0,-6.819462474011338e-05,-6.819462474006059e-05,-26.140960130449862,-26.14096013044939,-1.321308686158169e-05,-1.3213086861563268e-05,0.09507691317370556,0.0950769131737074
8.25,-7.14115728670144e-05,-7.141157286695682e-05,-26.117284075638473,-26.117284075637986,-1.2592774254321081e-05,-1.2592774254301566e-05,0.09433152525898574,0.09433152525898762
8.5,-7.452614991926741e-05,-7.452614991920476e-05,-26.09379436783969,-26.093794367839187,-1.2394118269857372e-05,-1.2394118269836736e-05,0.09358613711262746,0.0935861371126294
8.75,-7.764377005526095e-05,-7.764377005519294e-05,-26.0704910070816,-26.070491007081085,-1.2617118924082924e-05,-1.2617118924061135e-05,0.09284074897315488,0.09284074897315688
9.0,-8.086984743314007e-05,-8.086984743306642e-05,-26.047373993332673,-26.047373993332144,-1.3261776199157822e-05,-1.3261776199134854e-05,0.09209536107909211,0.09209536107909416
9.25,-8.409453139000482e-05,-8.409453138992521e-05,-26.024442418673004,-26.024442418672457,-1.2605286800658293e-05,-1.260528680063411e-05,0.09135723613643588,0.091357236136438
9.5,-8.72072865076892e-05,-8.720728650760333e-05,-26.00169537528558,-26.001695375285014,-1.2366345491684412e-05,-1.2366345491658982e-05,0.09061911094051454,0.09061911094051671
9.75,-9.031249981165994e-05,-9.03124998115675e-05,-25.979132863204185,-25.979132863203606,-1.2544952291351344e-05,-1.254495229132464e-05,0.08988098572752809,0.08988098572753031
10.0,-9.351455832798709e-05,-9.351455832788775e-05,-25.95675488240357,-25.956754882402972,-1.3141107185370651e-05,-1.3141107185342638e-05,0.08914286073367653,0.0891428607336788
10.25,-9.670570730263281e-05,-9.670570730252623e-05,-25.934560528950062,-25.93456052894945,-1.2456994204968746e-05,-1.2456994204939391e-05,0.08841196682993233,0.08841196682993466
10.5,-9.977751022892538e-05,-9.977751022881123e-05,-25.91254889901112,-25.912548899010496,-1.2186338804910601e-05,-1.2186338804879876e-05,0.08768107265613985,0.08768107265614224
10.75,-0.00010283333150534639,-0.00010283333150522432,-25.89071999262502,-25.89071999262438,-1.2329141006848496e-05,-1.2329141006816366e-05,0.08695017844618516,0.0869501784461876
11.0,-0.0001059765355316559,-0.00010597653553152557,-25.869073809771564,-25.86907380977091,-1.2885400799358335e-05,-1.2885400799324767e-05,0.08621928443395432,0.08621928443395682
11.25,-0.00010910129190468384,-0.00010910129190454487,-25.84760944989169,-25.847609449891017,-1.2180880569500875e-05,-1.2180880569465835e-05,0.08549559453869468,0.08549559453869723
11.5,-0.00011210109101066338,-0.00011210109101051541,-25.826326012525794,-25.826326012525108,-1.1885742669635493e-05,-1.1885742669598954e-05,0.08477190436069007,0.08477190436069268
11.75,-0.0001150782784357262,-0.00011507827843556884,-25.80522349771562,-25.80522349771492,-1.1999987123373052e-05,-1.199998712333498e-05,0.08404821413152125,0.08404821413152391
12.0,-0.0001181351997678129,-0.00011813519976764576,-25.784301905445012,-25.7843019054443,-1.252361392157406e-05,-1.2523613921534427e-05,0.083324524082769,0.08332452408277172
12.25,-0.00012116780174134131,-0.00012116780174116402,-25.763560338003355,-25.763560338002627,-1.1804755189472105e-05,-1.1804755189430885e-05,0.08260801538277499,0.08260801538277776
12.5,-0.00012407135402594944,-0.00012407135402576152,-25.742997897777972,-25.74299789777723,-1.1491216417094071e-05,-1.1491216417051217e-05,0.08189150639077594,0.08189150639077877
12.75,-0.0001269471866153791,-0.00012694718661518015,-25.722614584813208,-25.72261458481245,-1.1582997629522861e-05,-1.1582997629478351e-05,0.08117499733605463,0.08117499733605751
13.0,-0.00012989662950558975,-0.00012989662950537936,-25.70241039909608,-25.702410399095307,-1.2080098819416032e-05,-1.2080098819369842e-05,0.08045848844789379,0.08045848844789673
13.25,-0.00013281728041223285,-0.0001328172804120106,-25.68238444531238,-25.68238444531159,-1.135198650081179e-05,-1.1351986500763884e-05,0.07974914175311434,0.07974914175311734
13.5,-0.00013560606179156322,-0.00013560606179132865,-25.6625358282444,-25.6625358282436,-1.1025142607947019e-05,-1.1025142607897363e-05,0.07903979475994932,0.07903979475995238
13.75,-0.00013836329075395289,-0.00013836329075370558,-25.64286454793837,-25.64286454793755,-1.109956716696904e-05,-1.1099567166917608e-05,0.0783304476953896,0.07833044769539271
14.0,-0.00014118928441229808,-0.0001411892844120376,-25.623370604383755,-25.62337060438292,-1.1575260171923929e-05,-1.1575260171870686e-05,0.07762110078642605,0.07762110078642921
14.25,-0.00014398318350846635,-0.00014398318350819224,-25.60405310427488,-25.60405310427403,-1.0842136922559366e-05,-1.0842136922504278e-05,0.07691890001551893,0.07691890001552215
14.5,-0.00014664345503819312,-0.00014664345503790488,-25.584911154401208,-25.58491115440034,-1.0506239647518578e-05,-1.0506239647461612e-05,0.07621669894224828,0.07621669894225155
14.75,-0.0001492694054990803,-0.00014926940549877748,-25.565944754810243,-25.56594475480936,-1.0567568373673136e-05,-1.0567568373614266e-05,0.07551449779131819,0.07551449779132154
15.0,-0.0001519603413914755,-0.00015196034139115761,-25.54715390549331,-25.547153905492415,-1.1026123096116788e-05,-1.102612309605598e-05,0.07481229678743281,0.07481229678743621
15.25,-0.0001546168542504584,-0.00015461685425012495,-25.528537714820917,-25.528537714820008,-1.0291511622281472e-05,-1.029151162221869e-05,0.0741172285225164,0.07411722852251985
15.5,-0.00015713886312793954,-0.00015713886312759004,-25.51009529125743,-25.510095291256505,-9.95009125127617e-06,-9.95009125121138e-06,0.07342215995325334,0.07342215995325685
