time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,0.0,0.0,-27.0,-27.0,0.0,0.0,0.12,0.12
0.25,-1.898060795419843e-08,-1.8980607532772292e-08,-26.97010069444177,-26.970100694441754,-2.2779310620022196e-07,-2.2779310282881256e-07,0.11919444448739226,0.11919444448739232
0.5,-1.5187067325191583e-07,-1.5187067144579995e-07,-26.94040277773484,-26.94040277773481,-9.112756525238537e-07,-9.112756448177461e-07,0.11838888923253124,0.11838888923253137
0.75,-5.125925495255429e-07,-5.125925452510569e-07,-26.910906249782556,-26.910906249782514,-2.0504475817078104e-06,-2.05044756966696e-06,0.11758333449319286,0.11758333449319304
1.0,-1.2150685718727527e-06,-1.2150685640462047e-06,-26.881611110423815,-26.88161111042376,-3.6453088027374333e-06,-3.6453087863617974e-06,0.11677778052715296,0.11677778052715321
1.25,-2.1220284443837004e-06,-2.1220284319213885e-06,-26.852516382196452,-26.85251638219638,-3.6855812609635547e-06,-3.685581240253093e-06,0.11598004529560417,0.11598004529560449
1.5,-3.0954647435632387e-06,-3.095464725381452e-06,-26.82362108776349,-26.823621087763406,-4.177120212394514e-06,-4.177120187349196e-06,0.11518231021447381,0.1151823102144742
1.75,-4.24819408840869e-06,-4.248194063423706e-06,-26.794925227055423,-26.794925227055323,-5.119925616582777e-06,-5.1199255872025455e-06,0.1143845755390358,0.11438457553903626
2.0,-5.693033083327916e-06,-5.693033050456e-06,-26.766428799938907,-26.766428799938794,-6.513997397260199e-06,-6.513997363545012e-06,0.11358684152456403,0.11358684152456457
2.25,-7.297655194749443e-06,-7.29765515290685e-06,-26.73813084297294,-26.73813084297281,-6.39746398375366e-06,-6.397463945703463e-06,0.11279681419225311,0.11279681419225374
2.5,-8.929007319844238e-06,-8.929007267947207e-06,-26.710030392837755,-26.710030392837613,-6.727837505077306e-06,-6.72783746269207e-06,0.1120067869204251,0.1120067869204258
