time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
0.0,0.0,0.0,-97.5,-97.5,0.0,0.0,0.12,0.12
0.25,-8.802837575935771e-06,-8.802837575935735e-06,-97.46937524449639,-97.46937524449633,-6.99514830311944e-05,-6.99514830311942e-05,0.12499805062420392,0.12499805062420398
0.5,-3.474013249710878e-05,-3.47401324971086e-05,-97.43750097145707,-97.43750097145696,-0.00013707565784806678,-0.00013707565784806623,0.12999614001911516,0.12999614001911533
0.75,-7.71050570339896e-05,-7.710505703398913e-05,-97.40437717138929,-97.40437717138911,-0.00020137251908072297,-0.00020137251908072202,0.1349942665853711,0.13499426658537136
1.0,-0.0001351907821428482,-0.00013519078214284727,-97.37000383520011,-97.37000383519988,-0.00026284206158545234,-0.0002628420615854508,0.13999242872360607,0.13999242872360648
1.25,-0.00020837412231254908,-0.0002083741223125475,-97.33438095652969,-97.3343809565294,-0.00032215344053396124,-0.00032215344053395913,0.14499060623192678,0.1449906062319273
1.5,-0.0002960318925958569,-0.0002960318925958545,-97.29750852935489,-97.29750852935454,-0.00037863750172234393,-0.00037863750172234116,0.14998881649202261,0.14998881649202325
1.75,-0.0003974572629831916,-0.00039745726298318806,-97.25938654568769,-97.25938654568729,-0.0004322942406319091,-0.0004322942406319056,0.15498705790452577,0.15498705790452652
2.0,-0.0005119434023635732,-0.0005119434023635682,-97.22001499793993,-97.22001499793947,-0.00048312365297014943,-0.0004831236529701451,0.15998532887006595,0.1599853288700668
2.25,-0.0006388785365184603,-0.0006388785365184535,-97.17939388158665,-97.17939388158614,-0.0005318862001863895,-0.000531886200186384,0.16498360655372302,0.164983606553724
2.5,-0.0007776508922557774,-0.0007776508922557686,-97.13752319243108,-97.1375231924305,-0.0005778214249982754,-0.0005778214249982688,0.16998191102185561,0.1699819110218567
2.75,-0.0009275536385103748,-0.0009275536385103637,-97.09440292397701,-97.09440292397639,-0.0006209293237310165,-0.0006209293237310087,0.17498024067509355,0.17498024067509477
3.0,-0.0010878799433266789,-0.0010878799433266645,-97.05003307012811,-97.05003307012743,-0.0006612098929360064,-0.0006612098929359973,0.17997859391406462,0.17997859391406598
