time_s,x_m,y_m,vx_mps,vy_mps
0.0,0.0,-97.5,0.0,0.12
0.25,-8.802752274097893e-06,-97.4693752476287,-6.995080297904345e-05,0.12499802556531799
0.5,-3.473979365231152e-05,-97.43750098398648,-0.00013707431191910393,0.12999608990096262
0.75,-7.710429994895291e-05,-97.40437719958065,-0.00020137052145034057,0.1349941914075793
1.0,-0.00013518944566414667,-97.3700038853184,-0.0002628394264290948,0.13999232848581036
1.25,-0.0002083720571432266,-97.33438103451597,-0.00032215024828359236,0.1449904835254796
1.5,-0.00029602896105109276,-97.29750864082636,-0.00037863376508742784,0.14998867131661242
1.75,-0.0003974533305555364,-97.25938669626164,-0.0004322899723219534,0.1549868902598482
2.0,-0.0005119383377229599,-97.22001519323372,-0.00048311886569470434,0.15998513875582382
2.25,-0.0006388722017835995,-97.17939412753562,-0.0005318808290659014,0.16498339142638688
2.5,-0.000777643143233944,-97.13752349528853,-0.0005778154841810385,0.1699816708810992
2.75,-0.0009275443345459234,-97.09440328999635,-0.0006209228273653706,0.17497997552059857
3.0,-0.0010878689473010539,-97.0500335055628,-0.0006612028551703356,0.17997830374552085
3.25,-0.0012580174302309001,-97.0044141391425,-0.0006995137904048251,0.18497663122881178
3.5,-0.001437390233446788,-96.95754518820902,-0.0007349974169667061,0.18997497958427947
3.75,-0.001625280529421019,-96.90942664774427,-0.0007676537320173098,0.1949733472125617
4.0,-0.0018209814899445011,-96.86005851312994,-0.0007974827329441501,0.1999717325142948
4.25,-0.0020239066275384533,-96.80944078359208,-0.0008254471508108777,0.20497010642506167
4.5,-0.002233469456761258,-96.75757345866579,-0.0008505842656209603,0.20996849535515447
4.75,-0.002448963151592672,-96.70445653479617,-0.0008728940753634439,0.21496689770521443
5.0,-0.002669680885537988,-96.65009000882813,-0.0008923765782535571,0.2199653118758817
5.25,-0.002895050152157189,-96.59447388179265,-0.0009101063393812643,0.22496370607956115
5.5,-0.0031244984475129575,-96.53760815501921,-0.0009250088079285518,0.22996210951299478
5.75,-0.003357318948306453,-96.47949282640029,-0.0009370839827032307,0.23496052057682998
6.0,-0.0035928048309690603,-96.42012789422822,-0.0009463318627392941,0.2399589376717135
6.25,-0.003830398516890724,-96.35951336215966,-0.0009539464124289522,0.2449573195947088
6.5,-0.004069542431058452,-96.29764923413856,-0.0009587336886251293,0.24995570502545716
6.75,-0.00430952975504629,-96.2345355094879,-0.000960693690944846,0.25495409236461697
7.0,-0.00454965367036081,-96.17017218793049,-0.0009598264192313035,0.2599524800128465
7.25,-0.004789372592320355,-96.10455927476755,-0.0009574537480560596,0.2649508250668299
7.5,-0.005028144940205079,-96.03769677557554,-0.000952253826683217,0.2699491679789686
7.75,-0.005265263901512869,-95.96958469108982,-0.0009442266555287663,0.27494750714993443
