time_s,x_m,y_m,vx_mps,vy_mps
0.0,0.0,-97.5,0.0,0.12
0.25,-8.802879691959207e-06,-97.46937524297493,-6.995181881186363e-05,0.12499806279559009
0.5,-3.47402998136831e-05,-97.4375009653713,-0.00013707632252428205,0.1299961643620755
0.75,-7.710543091435814e-05,-97.40437715769627,-0.00020137350576733488,0.13499430310008972
1.0,-0.00013519144222896374,-97.3700038108569,-0.0002628433633972856,0.13999247741026322
1.25,-0.00020837514757791816,-97.33438091846313,-0.0003221550589858845,0.1449906673318651
1.5,-0.0002960333613227965,-97.29750847446164,-0.00037863942979270897,0.14998889000541926
1.75,-0.0003974592516986035,-97.25938647086436,-0.0004322964712990429,0.1549871438315539
2.0,-0.0005119459858389379,-97.22001490008307,-0.00048312617921235487,0.15998542721089473
2.25,-0.0006388817888923583,-97.17939375756232,-0.0005318890239391599,0.16498371755251057
2.5,-0.0007776548870108796,-97.13752303907478,-0.000577824539101845,0.1699820346787682
2.75,-0.0009275584473394081,-97.09440273812419,-0.000620932721025596,0.17498037699029345
3.0,-0.0010878856361324193,-97.05003284861417,-0.0006612135662617842,0.17997874288770999
3.25,-0.0012580368940885611,-97.00441336783844,-0.0006995252760773711,0.18497710693013122
3.5,-0.0014374126633912377,-96.95754429340971,-0.0007350096565420924,0.18997549184516152
3.75,-0.0016253061113431794,-96.90942562030975,-0.0007676667048172189,0.194973896033427
4.0,-0.0018210104045657074,-96.86005734392016,-0.0007974964182902058,0.19997231789555223
4.25,-0.0020239390534716032,-96.80943946340128,-0.0008254615524644632,0.20497072889209592
4.5,-0.002233505570461302,-96.75757197822247,-0.0008505993626066125,0.20996915490836482
4.75,-0.0024490031242706883,-96.70445488482872,-0.0008729098467056441,0.21496759434498827
5.0,-0.002669724883161167,-96.65008818006488,-0.0008923930029767323,0.21996604560259458
5.25,-0.0028950983362315223,-96.59447186498443,-0.0009101234027884314,0.22496447671272785
5.5,-0.0031245509751002725,-96.53760594093936,-0.0009250264891463385,0.22996291705297067
5.75,-0.0033573759712502275,-96.47949040582206,-0.0009371022608582159,0.23496136502395865
6.0,-0.003592866495894411,-96.42012525792477,-0.0009463507169580087,0.23995981902632674
6.25,-0.003830464986800813,-96.35951050021018,-0.0009539659940858494,0.24495824340835715
6.5,-0.004069613884811103,-96.29764613592825,-0.0009587539737064249,0.24995667129854535
6.75,-0.004309606365495874,-96.23453216440184,-0.0009607146554366994,0.25495510109753616
7.0,-0.004549735604358229,-96.1701685853537,-0.0009598480391198197,0.25995353120597425
7.25,-0.004789460024706113,-96.10455540367575,-0.0009574761109633062,0.26495192199394496
7.5,-0.005028238053500645,-96.03769262453517,-0.0009522769067434888,0.26995031064048397
7.75,-0.00526536287177328,-95.96958024866724,-0.000944250426876301,0.2749486955462485
8.0,-0.005500127660687728,-95.90021827720706,-0.0009333966720038563,0.279947075111896
8.25,-0.005732007939806314,-95.82960671700346,-0.0009211743526971344,0.284945405364545
8.5,-0.005960479232956019,-95.75774557516758,-0.0009061247844346237,0.2899437279035679
8.75,-0.006184834728043679,-95.68463485382775,-0.0008882479684202806,0.29494204112963746
9.0,-0.006404367613305391,-95.6102745555121,-0.0008675439060842397,0.2999403434434271
9.25,-0.006618571697206002,-95.53466468905631,-0.000845617562300037,0.304938586135666
9.5,-0.006826940793121015,-95.45780526354453,-0.0008208640025106458,0.30993681562488323
9.75,-0.0070287680972919535,-95.3796962824774,-0.0007932832286963359,0.3149350303117704
10.0,-0.007223346806483682,-95.30033774975544,-0.000762875243063553,0.3199332285970202
10.25,-0.007410190301459258,-95.2197296762378,-0.000731401520357936,0.32493135657669314
10.5,-0.0075888119685788335,-95.1378720730174,-0.0006971006206540375,0.3299294659525623
10.75,-0.007758505013931131,-95.0547649449451,-0.0006599725466959092,0.3349275551253416
11.0,-0.00791856264431916,-94.97040829727159,-0.000620017301453775,0.33992562249574654
11.25,-0.008068519197095524,-94.88480214292184,-0.000579163931862336,0.34492360845049
11.5,-0.008207909015941938,-94.7979464950388,-0.0005354834305777309,0.3499215704955327
11.75,-0.0083360253183672,-94.70984135979981,-0.0004889758010943737,0.35491950703161423
12.0,-0.008452161322781981,-94.620486743782,-0.00043964104713284705,0.3599174164594765
12.25,-0.008555873819930362,-94.52988266201938,-0.0003895877497401909,0.36491523292234834
12.5,-0.00864671960766475,-94.43802912974697,-0.00033670737250712383,0.36991302027128825
12.75,-0.00872399191654913,-94.34492615444316,-0.00028099991966404477,0.3749107769070655
13.0,-0.008786983978233359,-94.25057374398614,-0.00022246539566751671,0.3799085012304517
13.25,-0.008835276658877733,-94.15497191557388,-0.00016340487889792568,0.3849061204992736
13.5,-0.008868450832587249,-94.05812068658724,-0.00010151734099496617,0.38990370555894627
13.75,-0.008885799744692724,-93.96002006577842,-3.680278690960447e-05,0.39490125481027244
14.0,-0.008886616641790985,-93.86067006229939,3.073877818103357e-05,0.3998987666540576
14.25,-0.00887050822772914,-93.76007069557461,9.8599693977594e-05,0.4048961607462498
14.5,-0.008837081215199289,-93.65822198519189,0.0001692875650014377,0.4098935156510724
14.75,-0.008785628866096773,-93.55512394114795,0.00024280238559757703,0.41489082976936564
15.0,-0.008715444443758947,-93.45077657383935,0.0003191441498848701,0.4198881015019728
15.25,-0.008626162409246147,-93.3451799049883,0.0003955832736894945,0.42488524209976597
15.5,-0.008517417233435843,-93.23833395645947,0.0004748492792268769,0.42988233865766107
15.75,-0.008388502196682787,-93.13023873946273,0.0005569421601557841,0.43487938957654004
16.0,-0.00823871058095531,-93.02089426560771,0.0006418619099088343,0.4398763932572884
16.25,-0.008067706700793709,-92.9103005589981,0.000726640265322675,0.44487325162652813
16.5,-0.007875154881610048,-92.79845764385753,0.0008142454209361107,0.4498700612385286
16.75,-0.007660348424225757,-92.68536553257518,0.0009046773697407814,0.4548668204942179
17.0,-0.0074225806312426335,-92.57102423794001,0.0009979361045021845,0.4598635277945284
17.25,-0.007161547966297389,-92.455433786533,0.0010907963340386069,0.4648600747066017
17.5,-0.00687694690504627,-92.33859420503079,0.0011864832736922192,0.4698565682896797
17.75,-0.006568070770912128,-92.2205055069655,0.0012849969158081232,0.47485300694474175
18.0,-0.006234212889259809,-92.101167706269,0.001386337252505286,0.47984938907277164
18.25,-0.005875104393824489,-91.98058083211164,0.0014870018134711736,0.48484559469537736
18.5,-0.005490476431615649,-91.85874491373329,0.0015904929853324192,0.48984174257423563
18.75,-0.005079622350939642,-91.73565996576976,0.0016968107598097902,0.4948378311103821
19.0,-0.004641835502200896,-91.61132600325658,0.0018059551283979279,0.49983385870485725
19.25,-0.004176884465967374,-91.48574305808421,0.0019141242458404466,0.5048296924758261
19.5,-0.0036845378374589623,-91.35891116218441,0.002025119865135959,0.5098254642578759
19.75,-0.0031640889923176493,-91.23083033125427,0.0021389419774048815,0.514821172452104
20.0,-0.0026148313084335853,-91.1015005813906,0.002255590573541513,0.5198168154596132
20.25,-0.0020365738810825635,-90.97092194735677,0.0023709399097428894,0.5248122459357691
20.5,-0.0014291258217113494,-90.83909446392694,0.0024891156281462313,0.5298076103613097
20.75,-0.0007917805359464888,-90.7060181478136,0.0026101177192975515,0.5348029071374004
21.0,-0.0001238314318062887,-90.57169301612895,0.0027339461735167553,0.5397981346652119
21.25,0.0005748684809667983,-90.43611910670947,0.0028561241713113516,0.5447931291716201
21.5,0.0013044661747610097,-90.29929645736927,0.0029811284200378825,0.5497880537645901
21.75,0.0020656682110640067,-90.16122508578653,0.003108958909696082,0.5547829068453616
22.0,0.002859181148835121,-90.02190501003916,0.0032396156300595865,0.5597776868151801
22.25,0.0036851042811137874,-89.8813362712291,0.0033682404468773097,0.5647722115385061
22.5,0.004543536881195987,-89.73951891039994,0.0034996913707540252,0.5697666627015765
22.75,0.005435185474536677,-89.59645294614157,0.003633968391173738,0.5747610387057127
23.0,0.006360756583933559,-89.45213839744356,0.003771071497394366,0.579755337952242
23.25,0.007320297583536189,-89.30657530891925,0.0039057274918891166,0.5847493575467291
23.5,0.00831385582565766,-89.15976372508452,0.004043209435730856,0.5897433001692683
23.75,0.00934213779626462,-89.01170366538216,0.004183517317921109,0.5947371642212708
24.0,0.01040584997854584,-88.86239514965463,0.00432665112723533,0.5997309481041531
24.25,0.01150498309780672,-88.71183822632207,0.004466884790514357,0.6047244253350424
24.5,0.01263952785516409,-88.56003294366438,0.0046099442301186675,0.6097178224388388
24.75,0.0138101906932734,-88.40697932191313,0.004755829434603591,0.6147111378170508
25.0,0.015017678051900673,-88.25267738169953,0.004904540392298397,0.6197043698711937
25.25,0.01626191868657323,-88.0971271756004,0.005049855617101716,0.6246972652213307
25.5,0.017542841325974154,-87.94032875600564,0.005197996428169,0.6296900775698737
25.75,0.018861152365192754,-87.78228214386544,0.005348962813649072,0.6346828053184392
26.0,0.020217558196327284,-87.6229873605296,0.005502754761464711,0.6396754468686502
26.25,0.021611919593809353,-87.46244446314802,0.00565260731558421,0.6446677180559929
26.5,0.023044097302213257,-87.30065350863232,0.005805285246822563,0.6496599036751092
26.75,0.024514797664296657,-87.13761451857435,0.005960788542965626,0.654652002127734
27.0,0.026024727019735412,-86.97332751496552,0.006119117191573229,0.6596440118156089
27.25,0.027573671339891838,-86.80779256003119,0.00627290822845042,0.6646356131594745
27.5,0.029161416562831298,-86.64100971570211,0.006429524411768148,0.669627126707245
27.75,0.03078866897360249,-86.47297900412707,0.006588965728997212,0.6746185508607857
28.0,0.03245613485409355,-86.3037004478544,0.006751232167382401,0.6796098840219691
28.25,0.034163517592722986,-86.13317411478715,0.006908300557925566,0.6846007657074918
28.5,0.035910520540666166,-85.96140007247148,0.0070681938397792075,0.6895915577430474
28.75,0.037697849919156486,-85.78837834351961,0.0072309120001519565,0.6945822585306453
29.0,0.039526211946201255,-85.6141089509433,0.007396455026026457,0.6995728664723027
29.25,0.0413952185097963,-85.43859196907191,0.007556068251826113,0.7045629734504323
29.5,0.04330448145612555,-85.26182747180887,0.007718506085753122,0.7095529893391038
29.75,0.04525470693560119,-85.0838154821263,0.007883768514812551,0.7145429125404874
30.0,0.04724660109535842,-84.90455602339573,0.008051855525783507,0.7195327414567602
30.25,0.04927967404106875,-84.72404917723804,0.00821319875643813,0.7245220125931634
30.5,0.05135343583130637,-84.54229502477148,0.00837736627983174,0.7295111916615629
30.75,0.05346859253761906,-84.35929358921273,0.008544358082831034,0.7345002770643071
31.0,0.05562585022824305,-84.17504489417792,0.008714174152076764,0.7394892672037517
31.25,0.05782460530307728,-83.9895490296634,0.008876337104347811,0.7444776336235629
31.5,0.060064254108748986,-83.8028060850771,0.009041323996595635,0.7494659075117672
31.75,0.06234550262860722,-83.61481608375159,0.00920913481562138,0.7544540872709127
32.0,0.06466905684267307,-83.42557904941883,0.009379769548000282,0.7594421713035548
32.25,0.06703418552621174,-83.23509508178925,0.009541730511977159,0.7644295544633644
32.5,0.06944015739395298,-83.04336427988859,0.009706515019442585,0.7694168452059407
32.75,0.07188767833012581,-82.85038666702081,0.009874123057213899,0.774404041934056
33.0,0.07437745421563534,-82.6561622668892,0.010044554611882556,0.77939114305049
33.25,0.07690860983666152,-82.46069119057685,0.010205160873310847,0.7843774523062984
33.5,0.07948026991024454,-82.26397354837363,0.010368590230176973,0.7893636699113329
33.75,0.08209314020861427,-82.06600936339184,0.01053484266940668,0.7943497942686192
34.0,0.0847479265007038,-81.86679865914306,0.010703918177699875,0.7993358237811903
34.25,0.08744359019529849,-81.66634156017855,0.01086186181111218,0.8043209530438722
34.5,0.0901790926217579,-81.46463819013316,0.011022628030492969,0.8093059921621286
34.75,0.09295513942497122,-81.26168857174258,0.011186216822981045,0.8142909395392733
35.0,0.09577243624658409,-81.05749272814168,0.011352628175489399,0.8192757935786276
35.25,0.0986297579480576,-80.85205079997043,0.011506415771130495,0.8242596172922096
35.5,0.1015258792990498,-80.64536292681169,0.011663025369569502,0.8292433532125325
35.75,0.10446150579869877,-80.4374291308133,0.011822456958277746,0.8342269997432398
36.0,0.10743734294298221,-80.22824943452224,0.011984710524500794,0.839210555287982
36.25,0.11045195110042144,-80.01782399805361,0.012132624957692087,0.8441929225155607
36.5,0.11350389053267199,-79.80615298030368,0.012283360721000256,0.8491752052724204
36.75,0.1165938665707604,-79.59323640258961,0.01243691780236653,0.8541574019625853
37.0,0.11972258454267037,-79.37907428662758,0.012593296189506433,0.859139510990086
37.25,0.12288835626164535,-79.16366681634582,0.012733347654523431,0.8641202380598522
37.5,0.1260894934155775,-78.94701417426622,0.012876219667277845,0.8691008851070708
37.75,0.1293267011399772,-78.72911638059382,0.013021912216340002,0.8740814505362082
38.0,0.13260068456746918,-78.5099734559326,0.01317042529005458,0.8790619327517373
38.25,0.1359094649584847,-78.28958561371111,0.013300287777154796,0.8840407927767123
38.5,0.13925106342515356,-78.06795306573247,0.013432969893531193,0.8890195785431345
38.75,0.14262618487347273,-77.84507583076068,0.013568471628569284,0.8939982884559896
39.0,0.14603553420675733,-77.62095392795852,0.01370679297142901,0.8989769209202693
39.25,0.14947678966267722,-77.39558760765023,0.013823720433468255,0.9039536305220998
39.5,0.15294762930186792,-77.16897711827589,0.013943466436017696,0.9089302731828135
39.75,0.15644875775826425,-76.9411224767701,0.014066030969497722,0.9139068473080117
40.0,0.15998087966337787,-76.71202370046603,0.014191414024103245,0.9188833513033012
40.25,0.16354126373097322,-76.48168108666448,0.014292128056491882,0.9238575496137891
40.5,0.16712717846120162,-76.25009493047324,0.01439565932380624,0.9288316901551963
40.75,0.17073932816176393,-76.01726524653378,0.014502007817763885,0.9338057713338622
41.0,0.1743784171382622,-75.78319204988601,0.014611173529856993,0.9387797915561312
41.25,0.17804121895350847,-75.5478756995808,0.014691710266756565,0.9437510032926065
41.5,0.181724506908691,-75.31131655210261,0.014775062648254152,0.9487221686744107
41.75,0.1854289849141304,-75.07351461923922,0.014861230667681613,0.9536932861087823
42.0,0.1891553568784522,-74.83446991317658,0.014950214318145558,0.958664354002964
42.25,0.19289978859854956,-74.59418287386482,0.015005708389939417,0.9636319552589638
42.5,0.19665844554688716,-74.35265393822941,0.015064016143308536,0.9685995243270659
