stratum,method,cases,verified_prefix,verified_obstruction,unresolved,budget_miss,contradicted_prefix,unverified_prefix,unverified_obstruction
interior,lag_aware_common_command,32,32,0,0,0,0,0,0
interior,robust_predictive_prefix,32,32,0,0,0,0,0,0
interior,third_order_barrier,32,32,0,0,0,0,0,0
interior,mean_only_prefix,32,32,0,0,0,0,0,0
interior,instantaneous_actuator_ablation,32,32,0,0,0,0,0,0
single_face,lag_aware_common_command,32,19,9,4,0,0,0,0
single_face,robust_predictive_prefix,32,20,0,12,0,0,0,0
single_face,third_order_barrier,32,0,0,32,0,0,0,0
single_face,mean_only_prefix,32,6,0,11,0,15,0,0
single_face,instantaneous_actuator_ablation,32,6,0,6,0,20,0,0
aliased_pair,lag_aware_common_command,32,17,13,2,0,0,0,0
aliased_pair,robust_predictive_prefix,32,18,0,14,0,0,0,0
aliased_pair,third_order_barrier,32,0,0,32,0,0,0,0
aliased_pair,mean_only_prefix,32,7,0,0,0,25,0,0
aliased_pair,instantaneous_actuator_ablation,32,7,0,8,0,17,0,0
aliased_triple,lag_aware_common_command,32,9,23,0,0,0,0,0
aliased_triple,robust_predictive_prefix,32,9,0,23,0,0,0,0
aliased_triple,third_order_barrier,32,0,0,32,0,0,0,0
aliased_triple,mean_only_prefix,32,8,0,0,0,24,0,0
aliased_triple,instantaneous_actuator_ablation,32,8,0,20,0,4,0,0
